question,body,A,B,C,D,E
redação,"A partir da leitura dos textos motivadores seguintes e com base nos conhecimentos construídos ao longo de sua formação, redija texto dissertativo-argumentativo em modalidade escrita formal da língua portuguesa sobre o tema “O histórico desafio de se valorizar o professor” , apresentando proposta de intervenção que respeite os direitos humanos. Selecione, organize e relacione, de forma coerente e coesa, argumentos e fatos para defesa de seu ponto de vista. TEXTO I A escolha profissional passava necessariamente pela ideia de frequentar um curso de qualidade, que dava uma excelente cultura geral e preparo adequado para exercer uma profissão que era reputada como digna e prestigiada, fosse ela exercida por homens ou por mulheres. A figura da mulher que lecionava era bem aceita e apontada às moças como exemplo de honestidade e ideal a ser seguido. O mesmo acontecia com o professor. A família tinha a figura da professora e do professor em grande consideração e estes detinham um prestígio social que estava em claro desacordo com a remuneração salarial percebida. Eles desfrutavam um prestígio advindo do saber, e não do poder aquisitivo. TEXTO II Descrição da imagem: Cartaz do sindicato dos professores do Rio Grande do Sul, em que um mágico retira um livro de uma cartola, com os seguintes dizeres: “Em educação, não tem mágica. Tem trabalho de professor.” TEXTO III O estatuto social e econômico é a chave para o estudo dos professores e da sua profissão. Num olhar rápido temos a impressão que a imagem social e a condição econômica dos professores se encontram num estado de grande degradação, sentimento que é confirmado por certos discursos das organizações sindicais e mesmo das autoridades estatais. Mas, cada vez que a análise é mais fina, os resultados são menos concludentes e a profissão docente continua a revelar facetas atrativas. É evidente que há uma perda de prestígio, associada à alteração do papel tradicional dos professores no meio local: os professores do ensino primário já não são, ao lado dos párocos, os únicos agentes culturais nas aldeias e vilas da província; os professores do ensino secundário já não pertencem à elite social das cidades. TEXTO IV Descrição da imagem: Cartaz do sindicato dos professores do Distrito Federal, em que se apresentam duas professoras e dois professores. Cada um deles segura um objeto: um violão, um pincel, uma máquina fotográfica e uma máscara de teatro. Há os seguintes dizeres: “Feliz dia das(dos) professoras(es). Hashtag sou professora e muito mais. Hashtag sou professor e muito mais. Uma homenagem aos mestres que vão sempre além.” INSTRUÇÕES: •  O rascunho da redação deve ser feito no espaço apropriado. •  O texto definitivo deve ser escrito à tinta, na folha própria, em até 30 linhas. •  A redação que apresentar cópia dos textos da Proposta de Redação ou do Caderno de Questões terá o número de linhas copiadas desconsiderado para efeito de correção. Receberá nota zero, em qualquer das situações expressas a seguir, a redação que: •  tiver até 7 (sete) linhas escrit as, sendo considerada “texto insuficiente”. •  fugir ao tema ou que não atender ao tipo dissertativo-argumentativo. •  apresentar proposta de intervenção que desrespeite os direitos humanos. •  apresentar parte do texto deliberadamente desconectada do tema proposto. LC - 2º dia | Caderno 14 - CINZA - Página 3 2015",,,,,
QUESTÃO 91,"36 hours in Buenos Aires Contemporary Argentine history is a roller coaster of financial booms and cracks, set to gripping political soap operas. But through all the highs and lows, one thing has remained constant: Buenos Aires’s graceful elegance and cosmopolitan cool. This attractive city continues to draw food lovers, design buffs and party people with its riotous night life, fashion-forward styling and a favorable exchange rate. Even with the uncertain economy, the creative energy and enterprising spirit of Porteños, as residents are called, prevail — just look to the growing ranks of art spaces, boutiques, restaurants and hotels. Nesse artigo de jornal, Buenos Aires é apresentada como a capital argentina, que",foi objeto de novelas televisivas baseadas em sua vida noturna e artística.,"manteve sua elegância e espírito cosmopolita, apesar das crises econômicas.",teve sua energia e aspecto empreendedor ofuscados pela incerteza da economia.,"foi marcada historicamente por uma vida financeira estável, com repercussão na arte.","parou de atrair apreciadores da gastronomia, devido ao alto valor de sua moeda."
QUESTÃO 92,"Descrição da imagem: Gráfico com o título Annual Greenhouse Gas Emissions by Sector, apresentando as seguintes informações: Power stations: 21.3 per cent Waste disposal and treatment: 3.4 per centLand use and biomass burning: 10.0 per cent Residential, commercial, and other sources: 10.3 per cent Fossil fuel retrieval processing, and distribution: 11.3 per cent Agricultural by-products: 12.5 per centTransportation fuels: 14,0 per centIndustrial processes: 16.8 per cent A emissão de gases tóxicos na atmosfera traz diversas consequências para nosso planeta. De acordo com o gráfico, retirado do texto Global warming is an international issue , observa-se que",as queimadas poluem um pouco mais do que os combustíveis usados nos meios de transporte.,as residências e comércios são os menores emissores de gases de efeito estufa na atmosfera.,o processo de tratamento de água contribui para a emissão de gases poluentes no planeta.,os combustíveis utilizados nos meios de transportes poluem mais do que as indústrias.,os maiores emissores de gases de efeito estufa na atmosfera são as usinas elétricas.
QUESTÃO 93,"Descrição da imagem: Cartaz mostra uma pera, com o talo para cima, da qual escorre uma lágrima. Ao lado da imagem, há o seguinte texto: A third of the food we buy in the UK ends up being thrown away. Sad, isn’t it? Uma campanha pode ter por objetivo conscientizar a população sobre determinada questão social.Na campanha realizada no Reino Unido, a frase “A third of the food we buy in the UK ends up being thrown away” foi utilizada para enfatizar o(a)",desigualdade social.,escassez de plantações.,reeducação alimentar.,desperdício de comida.,custo dos aliment os.
QUESTÃO 94,"Horse or cow Prior to taking retirement and selling off his land, a farmer needed to get rid of all the animals he owned, so he decided to call on every house in his village. At houses where the man was the boss, he gave a horse; at houses where the woman was the boss, he gave a dairy cow. Approaching one cottage, he saw a couple gardening and called out, ‘Who’s the boss around here?’ ‘I am,’ said the man. The farmer said: ‘I have a black horse and a brown horse. Which one would you like?’ The man thought for a minute and said, ‘The black one.’ ‘No, no, get the brown one,’ said his wife. The farmer said, ‘Here’s your cow.’ O texto relata o caso de um fazendeiro prestes a se aposentar e vender sua fazenda. O aspecto cômico desse texto provém da",constatação pelo fazendeiro da razão de sua aposentadoria.,opinião dos vizinhos referente à forma de se livrar dos animais.,percepção do fazendeiro quanto à relação de poder entre o casal.,agressividade da esposa relacionada a um questionamento inocente.,indecisão dos cônjuges quanto à melhor escolha a ser feita no momento.
QUESTÃO 95,"First Footing One of the major Hogmanay customs was “first- footing”. Shortly after “the bells” — the stroke of midnight when public clocks would chime to signal the start of the new year —, neighbours would visit one another’s houses to wish each other a good new year. This visiting was known as “first-footing”, and the luckiest first-foot into any house was a tall, dark and handsome man — perhaps as a reward to the woman who traditionally had spent the previous day scrubbing her house (another Hogmanay ritual). Women or red heads, however, were always considered bad luck as first-foots. First-foots brought symbolic gifts to “handsel” the house: coal for the fire, to ensure that the house would be warm and safe, and shortbread or black bun (a type of fruit cake) to symbolise that the household would never go hungry that year. First-footing has faded in recent years, particularly with the growth of the major street celebrations in Edinburgh and Glasgow, although not the Scots love of a good party, of which there are plenty on the night! A partir da leitura do texto sobre a comemoração do Ano-novo na Escócia, observa-se que, com o tempo, aspectos da cultura de um povo podem ser",passados para outros povos.,substituídos por outras práticas.,reforçados pelas novas gerações.,valorizados pelas tradições locais.,"representados por festas populares. LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS Questões de 91 a 135 Questões de 91 a 95 (opção espanhol)"
QUESTÃO 91,"Descrição da imagem: Cartaz em que no alto há o texto: No le demos água al dengue e a figura de três mosquitos rajados, que voam carregando pequenas malas. Logo abaixo, há a imagem de uma casa cercada por um jardim, no qual há árvores e objetos espalhados. Por toda a imagem, há números que indicam: (1) Tapar bien los recipientes donde guardamos el agua para nuestro consumo . (2) Lavar periódicamente las pilas y en caso de almacenar el agua utilizar bolsa matalarva. (3) Eliminar de nuestro hogar cualquier objeto inservible: botellas, latas o llantas donde se acumula agua. (4) Cambiar el agua del bebedero de los animales diariamente . (5) Limpiar canaletas y evitar cualquier agua estancada . (6) Cambiar el agua de los floreros cada tres días. Na parte inferior do cartaz, o logo do Ministerio de Salud, com as seguintes informações: Pai Sanito – Nosotros llevamos SALUD , e o logo de El Salvador, com a frase: un gobierno con sentido humano . Os programas de prevenção à dengue não estão restritos a cidades brasileiras. No material elaborado sobre esse tema pelo Ministério da Saúde de El Salvador, país da América Central, objetiva-se",apresentar a sequência de ações necessárias à prevenção da doença.,instruir o leitor sobre como impedir a formação de criadouros do mosquito.,descrever como se dá a proliferação do Aedes aegypti em El Salvador.,convencer o leitor sobre a necessidade do tratamento da doença.,relatar experiências sobre como lidar com a multiplicação do Aedes aegypti.
QUESTÃO 92,"Las lenguas existen para comunicarse y para mantener la diversidad cultural de las sociedades. Perder una lengua es perder parte del patrimonio cultural de los pueblos, de ahí que un proyecto de colaboración on-line  se haya puesto como meta la protección de la diversidad lingüística mundial. Según los expertos, en 2100 solo se hablará la mitad de las lenguas que siguen vivas en la actualidad, de ahí la importancia de esta iniciativa. En el mundo existen más de 3 000 idiomas en peligro de extinción, pero la tecnología puede impulsar su utilización y conservación. Gracias a la digitalización de documentos, grabación de vídeos y audio en alta calidad, y a la capacidad de compartirlos con el resto del mundo se espera que muchas lenguas que solo hablan o escriben unas miles de personas no caigan en el olvido y estén avocadas a la desaparición. Es el caso de la ya extinguida lengua Miami-Illinois, que hablaban comunidades de indios americanos en el actual Medio Oeste de Estados Unidos y cuyos últimos parlantes murieron en la década de los 1960. Años más tarde un ciudadano de la tribu Miami de Oklahoma aprendió la lengua a través de manuscritos y ahora trata de revitalizar el idioma a base de archivos de audio, relatos. Se trata de solo un ejemplo, pero puede servir como muestra de otros muchos trabajos y del uso de la tecnología y la red con fine s lingüísticos. Mais que uma forma de comunicação, o idioma de um povo é a marca de sua cultura. Nesse sentido, o texto informa sobre o(a)",uso da tecnologia como ferramenta para a conservação de línguas em vias de extinção.,importância da valorização da língua oral para a conservação da cultura de um povo.,forma como a língua Miami-Illinois sobreviveu à ameaça de extinção.,"evolução natural das línguas, suas adaptações e seu possível desaparecimento.",tendência à substituição dos meios de comunicação tradicionais por ferramentas digitais.
QUESTÃO 93,"Siete crisantemos Joaquín Sabina A las buenas costumbres nunca me he acostumbrado, del calor de la lumbre del hogar me aburrí. También en el infierno llueve sobre mojado, lo sé porque he pasado m ás de una noche allí. Nessa estrofe da canção Siete crisantemos , do cantor espanhol Joaquín Sabina, a expressão “llueve sobre mojado” faz referência ao(à)",constância necessária para viver.,esperança de uma vida melhor.,desprezo pelos bons costumes.,rotina entediante da vida.,rechaço a uma vida confortável.
QUESTÃO 94,"Soy madre de un pequeño de 3 años y a partir del artículo ”Desenchúfalo… ¡y a jugar!”, me puse a pensar en el tiempo que le dedico a mi hijo. Todos los días, cuando llego a mi casa, mi prioridad es mi hijo y nos turnamos con mi marido para ver quién cocina y quién se tira en el piso a jugar con Santiago. Nuestro hijo tiene toda tecnología a su disposición, porque su papá es técnico en sistemas, pero cuando llegamos a casa después de un agotador día laboral, nos desenchufamos los tres y usamos cualquier cosa que tengamos a mano: una pelota o una sábana para divertirnos. Esa pequeña terapia de risa es altamente curativa contra los bajones anímicos, contra el estrés, contra los pequeños enojos cotidianos, contra todo. O texto é uma carta de leitor sobre a reportagem “¡Desenchúfalo... y a jugar!”, publicada em uma revista. Ao relatar sua experiência pessoal, a leitora retoma o tema da reportagem e confirma a necessidade de",cercar as crianças da tecnologia disponível e treiná-las a usá-la.,desconectar as crianças dos aparelhos tecnológicos e brincar com elas.,oferecer às crianças uma variedade de brinquedos não tecnológicos.,revezar o tempo que cada um dedica às brincadeiras com os filhos.,controlar o tempo de que os filhos dispõem para usar os aparelhos tecnológicos.
