question,body,A,B,C,D,E
QUESTÃO 01,"Na obra Regras para orientação do espírito , Descartes escreve: Nunca nos tornaremos matemáticos, por exemplo, embora nossa memória possua todas as demonstrações feitas por outros, se nosso espírito não for capaz de resolver toda espécie de problemas; não nos tornaríamos ﬁlósofos, por ter lido todos os raciocínios de Platão e Aristóteles, sem poder formular um juízo sólido sobre o que nos é proposto. Assim, de fato, pareceríamos ter aprendido, não ciências, mas histórias. Em sua busca pelo saber verdadeiro, o autor considera o conhecimento, de modo crítico, como resultado da",investigação de natureza empírica.,retomada da tradição intelectual.,imposição de valores ortodoxos.,autonomia do sujeito pensante.,liberdade do agente moral.
QUESTÃO 02,"Pois quem seria tão inútil ou indolente a ponto de não desejar saber como e sob que espécie de constituição os romanos conseguiram em menos de cinquenta e três anos submeter quase todo o mundo habitado ao seu governo exclusivo — fato nunca antes ocorrido? Ou, em outras palavras, quem seria tão apaixonadamente devotado a outros espetáculos ou estudos a ponto de considerar qualquer outro objetivo mais importante que a aquisição desse conhecimento? A experiência a que se refere o historiador Políbio, nesse texto escrito no século II a.C., é a",ampliação do contingente de camponeses livres.,consolidação do poder das falanges hoplitas.,concretização do desígnio imperialista.,adoção do monoteísmo cristão.,libertação do domínio etrusco.
QUESTÃO 03,"Descrição dos quadrinhos: Trecho do livro Persépolis , de Marjane Satrapi, composto por quatro quadros, cada um com sua legenda. No primeiro, a legenda informa: “Essa sou eu, com dez anos de idade, em 1980”. Na imagem, há uma menina sentada, com os braços cruzados e usando um véu que cobre a cabeça. No segundo, a legenda informa: “E essa é a minha classe. Como estou sentada no canto esquerdo, não dá para me ver na foto. Da esquerda para a direita: Golnaz, Mahchid, Marin, Mina”. Na imagem, estão quatro meninas, todas sentadas, com os braços cruzados e usando véu. No terceiro, a legenda informa: “Em 1979 aconteceu uma revolução que depois foi chamada de ‘Revolução Islâmica’”. Na imagem, é representado um grupo de homens e mulheres sem véu, de punhos erguidos em sinal de protesto. No último quadro, a legenda informa: “Então veio 1980: o primeiro ano em que o véu se tornou obrigatório nas escolas”. Na imagem, uma mulher entrega um véu para uma menina na entrada da escola e diz: “Toma, minha ﬁlha”. A memória recuperada pela autora apresenta a relação entre",conflito trabalhista e engajamento sindical.,organização familiar e proteção à infância.,centralização econômica e pregação religiosa.,estrutura educacional e desigualdade de renda.,transformação política e modiﬁcação de costumes.
QUESTÃO 04,"TEXTO I Fragmento B91, do pensamento de Heráclito : Não se pode banhar duas vezes no mesmo rio, nem substância mortal alcançar duas vezes a mesma condição; mas pela intensidade e rapidez da mudança, dispersa e de novo reúne. TEXTO II Fragmento B8, do pensamento de Parmênides: São muitos os sinais de que o ser é ingênito e indestrutível, pois é compacto, inabalável e sem ﬁm; não foi nem será, pois é agora um todo homogêneo, uno, contínuo. Como poderia o que é perecer? Como poderia gerar-se? Os fragmentos do pensamento pré-socrático expõem uma oposição que se insere no campo das",investigações do pensamento sistemático.,preocupações do período mitológico.,discussões de base ontológica.,habilidades da retórica sofística.,verdades do mundo sensível. CH - 1º dia | Caderno 3 - BRANCO - Página 3
QUESTÃO 05,"Participei de uma entrevista com o músico Renato Teixeira. Certa hora, alguém pediu para listar as diferenças entre a música sertaneja antiga e a atual. A resposta dele surpreendeu a todos: “Não há diferença alguma. A música caipira sempre foi a mesma. É uma música que espelha a vida do homem no campo, e a música não mente. O que mudou não foi a música, mas a vida no campo”. Faz todo sentido: a música caipira de raiz exalava uma solidão, um certo distanciamento do país “moderno”. Exigir o mesmo de uma música feita hoje, num interior conectado, globalizado e rico como o que temos, é impossível. Para o bem ou para o mal, a música reflete seu próprio tempo. A questão cultural indicada no texto ressalta o seguinte aspecto socioeconômico do atual campo brasileiro:",Crescimento do sistema de produção extensiva.,Expansão de atividades das novas ruralidades.,Persistência de relações de trabalho compulsório.,Contenção da política de subsídios agrícolas.,Fortalecimento do modelo de organização cooperativa.
QUESTÃO 06,"O número de ﬁlhos por casal diminui rapidamente. Para a maioria dos economistas, isso representa um alerta para o futuro. Descrição do gráfico : Representa a variação da taxa de fecundidade total em seis países (Brasil, China, Coreia do Sul, Portugal, Estados Unidos da América e Japão) no período de 1970 a 2010. Para o Brasil, a taxa de fecundidade observada nesse período foi de 5,8 em 1970, de 4,4 em 1980, de 2,9 em 1990, de 2,4 em 2000 e de 1,9 em 2010. China e a Coreia do Sul apresentam evolução decrescente da taxa de fecundidade, semelhante a do Brasil, ao passo que Portugal, Estados Unidos e Japão apresentam decréscimo, em ritmo menos intenso que o do Brasil, dado que a taxa de fecundidade nesses países varia entre dois e três, no ano de 1970, para entre um e dois no ano de 2010. Uma consequência socioeconômica para os países que vivenciam o fenômeno demográﬁco ilustrado é a diminuição da",oferta de mão de obra nacional.,média de expectativa de vida.,disponibilidade de serviços de saúde.,despesa de natureza previdenciária.,imigração de trabalhadores q ualiﬁcados. CH - 1º dia | Caderno 3 - BRANCO - Página 4
QUESTÃO 07,"No livro Tudo que é sólido desmancha no ar: a aventura da modernidade , Berman escreve: Ser moderno é encontrar-se em um ambiente que promete aventura, poder, alegria, crescimento, autotransformação e transformação das coisas em redor — mas ao mesmo tempo ameaça destruir tudo o que temos, tudo o que sabemos, tudo o que somos. A experiência ambiental da modernidade anula todas as fronteiras geográﬁcas e raciais, de classe e nacionalidade: nesse sentido, pode-se dizer que a modernidade une a espécie humana. Porém, é uma unidade paradoxal, uma unidade de desunidade. O texto apresenta uma interpretação da modernidade que a caracteriza como um(a)",dinâmica social contraditória.,interação coletiva harmônica.,fenômeno econômico estável.,sistema internacional decadente.,processo histórico homogeneizador.
QUESTÃO 08,"Não estou mais pensando como costumava pensar. Percebo isso de modo mais acentuado quando estou lendo. Mergulhar num livro, ou num longo artigo, costumava ser fácil. Isso raramente ocorre atualmente. Agora minha atenção começa a divagar depois de duas ou três páginas. Creio que sei o que está acontecendo. Por mais de uma década venho passando mais tempo on-line , procurando e surfando e algumas vezes acrescentando informação à grande biblioteca da internet. A internet tem sido uma dádiva para um escritor como eu. Pesquisas que antes exigiam dias de procura em jornais ou na biblioteca agora podem ser feitas em minutos. Como disse o teórico da comunicação Marshall McLuhan nos anos 60, a mídia não é apenas um canal passivo para o tráfego de informação. Ela fornece a matéria, mas também molda o processo de pensamento. E o que a net parece fazer é pulverizar minha capacidade de concentração e contemplação. Em relação à internet, a perspectiva defendida no texto ressalta um paradoxo que se caracteriza por",associar uma experiência superﬁcial à abundância de informações.,condicionar uma capacidade individual à desorganização da rede.,agregar uma tendência contemporânea à aceleração do tempo.,aproximar uma mídia inovadora à passividade da recepção.,equiparar uma ferramenta digital à tecnologia analógica.
QUESTÃO 09,"Descrição da imagem: Desenho do comércio de rua em Paris onde é vendido o café do Brasil, publicado na revista “A Illustração Brazileira”, em 1909. Abaixo do desenho, há a seguinte descrição: Uma cena franco-brasileira: “franco” - pelo local e os personagens, o local que é Paris e os personagens que são pessoas do povo da grande capital; “brasileira” pelo que aí se está bebendo: café do Brasil. O letreiro diz a verdade apregoando que esse é o melhor de todos os cafés. (Essa página foi desenhada especialmente para A Illustração Brazileira pelo Sr. Tofani, desenhista do Je Sais Tout.) A página do periódico do início do século XX documenta um importante elemento da cultura francesa, que é revelador do papel do Brasil na economia mundial, indicado no seguinte aspecto:",Prestador de serviços gerais.,Exportador de bens industriais.,Importador de padrões estéticos.,Fornecedor de produtos agrícolas.,Formador de padrões de consumo. CH - 1º dia | Caderno 3 - BRANCO - Página 5
QUESTÃO 10,"A democracia deliberativa aﬁrma que as partes do conflito político devem deliberar entre si e, por meio de argumentação razoável, tentar chegar a um acordo sobre as políticas que seja satisfatório para todos. A democracia ativista desconﬁa das exortações à deliberação por acreditar que, no mundo real da política, onde as desigualdades estruturais influenciam procedimentos e resultados, processos democráticos que parecem cumprir as normas de deliberação geralmente tendem a beneﬁciar os agentes mais poderosos. Ela recomenda, portanto, que aqueles que se preocupam com a promoção de mais justiça devem realizar principalmente a atividade de oposição crítica, em vez de tentar chegar a um acordo com quem sustenta estruturas de poder existentes ou delas se beneﬁcia. As concepções de democracia deliberativa e de democracia ativista apresentadas no texto tratam como imprescindíveis, respectivamente,",a decisão da maioria e a uniformização de direitos.,a organização de eleições e o movimento anarquista.,a obtenção do consenso e a mobilização das minorias.,a fragmentação da participação e a desobediência civil.,a imposição de resistência e o monitoramento da liberdade.
