question,body,A,B,C,D,E
QUESTÃO 91,"É comum em viagens de avião sermos solicitados a desligar aparelhos cujo funcionamento envolva a emissão ou a recepção de ondas eletromagnéticas, como celulares. A justificativa dada para esse procedimento é, entre outras coisas, a necessidade de eliminar fontes de sinais eletromagnéticos que possam interferir nas comunicações, via rádio, dos pilotos com a torre de controle.  Essa interferência poderá ocorrer somente se as ondas emitidas pelo celular e as recebidas pelo rádio do avião",forem ambas audíveis.,tiverem a mesma potência.,tiverem a mesma frequência.,tiverem a mesma intensidade.,propagarem-se com velocidades diferentes.
QUESTÃO 92,"Terpenos com atividade inseticida: uma alternativa para o controle químico de insetos  O Aldrin é um inseticida agrícola organoclorado sintético de baixa polaridade, cuja estrutura molecular simétrica, de fórmula C12H8Cl6, está ilustrada na figura. Introduzido na agricultura a partir da década de 1950, esse composto apresenta alta persistência no meio ambiente e acumulação nos organ ismos, sendo danoso para a saúde.   Descrição da ilustração: Estrutura química da molécula de Aldrin. Essa ilustração não foi descrita, pois suas informações não foram solicitadas para a resolução da questão. (Fim da descrição)   Um pesquisador coletou fluidos biológicos de indivíduos de uma população contaminada por esse inseticida agrícola. Ele analisou amostras de saliva, sangue, lágrima, urina e leite quanto à presença dessa substância.   Em qual dos fluidos o pesquisador provavelmente encontrou a maior concentração dessa substância?","Saliva, por consequência da atividade de enzimas.","Sangue, em função das hemácias e leucócitos.","Lágrima, em razão da concentração de sais.","Urina, pela presença de moléculas de ureia.","Leite, por causa do alto teor de gorduras."
QUESTÃO 93,"Cafeteria adota copo reutilizável feito com casca de café   Uma cafeteria adotou copos fabricados a partir de uma composição de 50 por cento de plástico reciclado não biodegradável e 50 por cento de casca de café. O copo é reutilizável e retornável, pois o material, semelhante a uma cerâmica, suporta a lavagem. Embora ele seja comercializado por um preço considerado alto quando comparado ao de um copo de plástico descartável, essa cafeteria possibilita aos clientes retornarem o copo sujo e levarem o café quente servido em outro copo já limpo e higienizado. O material desse copo oferece também o conforto de não esquentar na parte externa.   Quais duas vantagens esse copo apresenta em comparação ao copo descartável?",Ter a durabilidade de uma cerâmica e ser totalmente biodegradável.,Ser tão durável quanto uma cerâmica e ter alta condutividade térmica.,Ser um mau condutor térmico e aumentar o resíduo biodegradável na natureza.,Ter baixa condutividade térmica e reduzir o resíduo não biodegradável na natureza.,Ter alta condutividade térmica e possibilitar a degradação do material no meio ambiente.
QUESTÃO 94,"Um método simples para avaliar o  teor de sacarose e CO2 em refrigerantes  O consumo exagerado de refrigerantes é preocupante, pois contribui para o aumento de casos de obesidade e diabetes. Considere dois refrigerantes enlatados, um comum e um diet, e que ambos possuam a mesma quantidade de aditivos, exceto pela presença de açúcar. O refrigerante comum contém basicamente água carbonatada e grande quantidade de açúcar; já o refrigerante diet tem água carbonatada e adoçantes, cujas massas são muito pequenas.  Entre as duas versões apresentadas, o refrigerante comum possui",maior densidade.,menor viscosidade.,maior volume de gás dissolvido.,menor massa de solutos dissolvidos.,maior temperatura de congelamento.
QUESTÃO 95,"O descarte de detergentes comuns nos esgotos domésticos ocasiona a formação de uma camada de espuma que impede a entrada de oxigênio na água. Os microrganismos que vivem nessas águas não são capazes de quebrar moléculas ramificadas, ocorrendo assim um dese quilíbrio ambiental nos rios. A fórmula a seguir representa a estrutura química de um tensoativo presente na composição de um detergente não biodegradável.   Descrição da estrutura química: Estrutura do tensoativo não biodegradável, que tem como cadeia principal o grupo benzenossulfonato de sódio (anel aromático ligado a SO3 de carga negativa, que interage com o cátion Na de carga positiva). Ao anel aromático desse grupo encontra-se ligada uma ramificação com uma cadeia carbônica de sete átomos de carbono que contém, em seis deles, ramificações com grupos CH3. (Fim da descrição)  Qual modificação química na estrutura desse tensoativo o tornaria um detergente biodegradável?",Retirar a parte polar da molécula.,Eliminar as insaturações do anel aromático.,Trocar o grupo aniônico por um grupo neutro.,Alterar o grupo aniônico por um grupo catiônico.,Modificar a cadeia carbônica para cadeia normal.
QUESTÃO 96,"Avaliação de substâncias genotóxicas  Micronúcleos em células tumorais:  biologia e implicações para a tumorigênese  O ensaio de micronúcleos é um teste de avaliação de genotoxicidade que associa a presença de micronúcleos (pequenos núcleos que aparecem próximo aos núcleos das células) com lesões genéticas. Os micronúcleos são fragmentos de DNA encapsulados, provenientes do fuso mitótico durante a divisão celular.  Os micronúcleos se originam dos(as)",nucléolos.,lisossomos.,ribossomos.,mitocôndrias.,cromossomos.
QUESTÃO 97,"O petróleo é uma matéria-prima muito valiosa e métodos geofísicos são úteis na sua prospecção. É possível identificar a composição de materiais estratificados medindo-se a velocidade de propagação do som (onda mecânica) através deles. Considere que uma camada de 450 metros de um líquido se encontra presa no subsolo entre duas camadas rochosas, conforme o esquema. Um pulso acústico (que gera uma vibração mecânica) é emitido a partir da superfície do solo, onde são posteriormente recebidas duas vibrações refletidas (ecos). A primeira corresponde à reflexão do pulso na inter face superior do líquido com a camada rochosa. A segunda vibração deve-se à reflexão do pulso na interface inferior. O tempo entre a emissão do pulso e a chegada do primeiro eco é de 0,5 segundo . O segundo eco chega 1,1 segundo após a emissão do pulso.   Descrição do esquema: O esquema apresenta um corte transversal da crosta terrestre em que se tem, de cima para baixo, uma camada de rocha, uma camada de líquido e outra camada de rocha. A espessura da camada de líquido é de 450 metros. Na parte superior da crosta terrestre, tem-se a representação de um emissor e detector de pulsos. (Fim da descrição)    A velocidade do som na camada líquida, em metro por segundo, é",270.,540.,818.,1500.,1800.
QUESTÃO 98,"O manual de um automóvel alerta sobre os cuidados em relação à pressão do ar no interior dos pneus. Recomenda-se que a pressão seja verificada com os pneus frios (à temperatura ambiente). Um motorista, desatento a essa informação, realizou uma viagem longa sobre o asfalto quente e, em seguida, verificou que a pressão P zero no interior dos pneus não era a recomendada pelo fabricante. Na ocasião, a temperatura dos pneus era T zero . Após um longo período em repouso, os pneus do carro atingiram a temperatura ambiente T. Durante o resfriamento, não há alteração no volume dos pneus e na quantidade de ar no seu interior. Considere o ar dos pneus um gás perfeito (também denominado gás ideal).  Durante o processo de resfriamento, os valores de pressão em relação à temperatura (P versus T) são representados pelo gráfico:","Descrição do gráfico: A pressão permanece constante com a diminuição da temperatura entre T zero e T. Em T, a temperatura não se altera, e a pressão diminui. (Fim da descrição)",Descrição do gráfico: A pressão permanece constante com a diminuição da temperatura entre T zero e T . (Fim da descrição),Descrição do gráfico: A pressão aumenta como um arco de parábola para cima com a diminuição da temperatura entre T zero e T. (Fim da descrição),Descrição do gráfico: A pressão aumenta linearmente com a diminuição da temperatura entre T zero e T. (Fim da descrição),Descrição do gráfico: A pressão diminui linearmente com a diminuição da temperatura entre T zero e T. (Fim da descrição)
QUESTÃO 99,"Pais com síndrome de Down  Três anos após dar à luz, mãe portadora de síndrome de Down revela detalhes de seu dia a dia  A síndrome de Down é uma alteração genética associada à trissomia do cromossomo 21, ou seja, o indivíduo possui três cromossomos 21 e não um par, como é normal. Isso ocorre pela união de um gameta contendo um cromossomo 21 com um gameta possuidor de dois cromossomos 21. Embora, normalmente, as mulheres com a síndrome sejam estéreis, em 2008, no interior de São Paulo, uma delas deu à luz uma menina sem a síndrome de Down. Sabendo disso, um jovem casal, ambos com essa síndrome, procura um médico especialista para aconselhamento genético porque querem ter um bebê.  O médico informa ao casal que, com relação ao cromossomo 21, os zigotos formados serão",todos normais.,todos tetrassômicos.,apenas normais ou tetrassômicos.,apenas trissômicos ou tetrassômicos.,"normais, trissômicos ou tetrassômicos."
QUESTÃO 100,"Para que uma molécula dê origem a um medicamento de administração oral, além de apresentar atividade farmacológica, deve ser capaz de atingir o local de ação. Para tanto, essa molécula não deve se degradar no estômago (onde o meio é fortemente ácido e há várias enzimas que reagem mediante catálise ácida), deve ser capaz de atravessar as membranas celulares e ser solúvel no plasma sanguíneo (sistema aquoso). Para os fármacos cujas estruturas são formadas por cadeias carbônicas longas contendo pelo menos um grupamento amino, um recurso tecnológico empregado é sua conversão no cloridrato correspondente. Ess a conversão é representada, de forma genérica, pela equação química:   Descrição da equação química: O reagente R3N mais HCl formam o produto R3NH de carga positiva e Cl de carga negativa. (Fim da descrição)  R3N + HCl (R3NH)+Cl– O aumento da eficiência de circulação do fármaco no sangue, promovido por essa conversão, deve-se ao incremento de seu(sua)",basicidade.,lipofilicidade.,caráter iônico.,cadeia carbônica.,estado de oxidação.
