question,body,A,B,C,D,E
QUESTÃO 01,"Descrição da imagem: Tirinha apresentada em quatro quadrinhos. O primeiro quadrinho apresenta um castelo localizado no alto de uma colina, cercado por floresta e montanhas. O sol está baixo. Duas pessoas conversam dentro dele. Uma delas diz: “Now that you are my bride, you will never leave this castle!”. A outra exclama: “Wow! Your library is amazing!”. No segundo quadrinho, apresentados de forma estilizada, estão um homem grandalhão usando chapéu e segurando um bastão, e uma mulher com os cabelos presos em rabo de cavalo e usando um vestido. Ele fala: “Beyond the castle is a high wall with no gate, and beyond that is a deep, dark forest with no path”. A mulher, que está retirando um livro de uma estante alta e repleta de livros, comenta: “I suppose it’s my library too, now we’re married”. No terceiro quadrinho, o homem ergue o dedo indicador e diz: “The forest is crawling with ravenous wolves, malignant birds and the spirits of long-dead travellers.”. A mulher passa por ele carregando três livros e exclama: “So many books! I can’t believe my luck!”. No último quadrinho, o homem, que está transformado em um ser com asas e patas e voando em direção contrária à da mulher, fala: “When the sun sets, I transform into a wild beast and soar into the night, seized by a terrible bloodlust!”. A mulher está sentada em um banco ao lado de dois livros. Ela segura um terceiro livro nas mãos à frente do rosto enquanto fala: “Ok. I’ll stay here and read. See you in the morning.”. Nessa tirinha, o comportamento da mulher expressa ",A revolta com a falta de sorte. ,B gosto pela prática da leitura. ,C receio pelo futuro do casamento. ,D entusiasmo com os livros de terror. ,E rejeição ao novo tipo de residência. 
QUESTÃO 02,"A Teen’s View of Social Media Instagram is made up of all photos and videos. There is the home page that showcases the posts from people you follow, an explore tab which offers posts from accounts all over the world, and your own page, with a notification tab to show who likes and comments on your posts. It has some downsides though. It is known to make many people feel insecure or down about themselves because the platform showcases the highlights of everyone’s lives, while rarely showing the negatives. This can make one feel like their life is not going as well as others, contributing to the growing rates of anxiety or depression in many teens today. There is an underlying desire for acceptance through the number of likes or followers one has. O termo “downsides” introduz a ideia de que o Instagram é responsável por ",A oferecer recursos de fotografia. ,B divulgar problemas dos usuários. ,C estimular aceitação dos seguidores. ,D provocar ansiedade nos adolescentes. ,E aproximar pessoas ao redor do mundo. 
QUESTÃO 03,"I tend the mobile now like an injured bird We text, text, text our significant words. I re-read your first, your second, your third, Look for your small xx, feeling absurd. The codes we send arrive with a broken chord. I try to picture your hands, their image is blurred. Nothing my thumbs press will ever be heard. Nesse poema de Carol Duffy, o eu lírico evidencia um sentimento de ",A contentamento com a interação virtual. ,B zelo com o envio de mensagens. ,C preocupação com a composição de textos. ,D mágoa com o comportamento de alguém. ,E insatisfação com uma forma de comunicação. 
QUESTÃO 04,"Two hundred years ago, Jane Austen lived in a world where single men boasted vast estates; single ladies were expected to speak several languages, sing and play the piano. In both cases, it was, of course, advantageous if you looked good too. So, how much has — or hasn’t — changed? Dating apps opaquely outline the demands of today’s relationship market; users ruminate long and hard over their choice of pictures and what they write in their biographies to hook in potential lovers, and that’s just your own profile. What do you look for in a future partner’s profile — potential signifiers of a popular personality, a good job, a nice car? These apps are a poignant reminder of the often classist attitudes we still adopt, as well as the financial and aesthetic expectations we demand from potential partners. O texto aborda relações interpessoais com o objetivo de ",A problematizar o papel de gênero em casamentos modernos. ,B apontar a relevância da educação formal na escolha de parceiros. ,C comparar a expectativa de parceiros amorosos em épocas distintas. ,D discutir o uso de aplicativos para proporcionar encontros românticos. ,E valorizar a importância da aparência física na seleção de pretendentes. 
QUESTÃO 05,"As my official bio reads, I was made in Cuba, assembled in Spain, and imported to the United States — meaning my mother, seven months pregnant, and the rest of my family arrived as exiles from Cuba to Madrid, where I was born. Less than two months later, we emigrated once more and settled in New York City, then eventually in Miami, where I was raised and educated. Although technically we lived in the United States, the Cuban community was culturally insular in Miami during the 1970s, bonded together by the trauma of exile. What’s more, it seemed that practically everyone was Cuban: my teachers, my classmates, the mechanic, the bus driver. I didn’t grow up feeling different or treated as a minority. The few kids who got picked on in my grade school were the ones with freckles and funny last names like Dawson and O’Neil. Ao relatar suas vivências, o autor destaca o(a) ",A qualidade da educação formal em Miami. ,B prestígio da cultura cubana nos Estados Unidos. ,C oportunidade de qualificação profissional em Miami. ,D cenário da integração de cubanos nos Estados Unidos. ,E fortalecimento do elo familiar em comunidades estadunidenses. Questões de 01 a 05 (opção: espanhol) 
QUESTÃO 01,"MATERNIDADES EN TIEMPOS DE PANDEMIA Descrição da imagem: Cartaz intitulado Maternidades en tiempos de pandemia. Apresenta seis quadros. O primeiro do lado esquerdo apresenta uma mulher, uma criança e um carrinho de bebê. O primeiro do lado direito, contém a frase: “Maternar nunca ha sido fácil; es agotador y desgastante. El cierre de escuelas y guarderías por covid-19 incrementó el trabajo.”. O segundo quadro à esquerda apresenta o texto: “La maternidad está romantizada. No todas viven las mismas condiciones, pero aún así las madres ponen lo mejor de si para sobrellevarlo.”. O segundo quadro à direita: “Porque en este sistema no hay lugar para la queja, se da por sentado que las mujeres están hechas para asumir la crianza a pesar de las pocas o nulas herramientas que el Estado o la sociedad les da para ejercer la maternidad.”. No quinto quadro, acima do desenho de homens, mulheres, crianças e bebês reunidos lado a lado, está a seguinte frase, em destaque: “Para maternar se necesita una tribu, la crianza no debería vivirse en soledad.”. No sexto quadro, há o logotipo “MURIG (Mujeres en Red para la Igualdad de Género)”, representado pelo desenho estilizado de quatro mulheres dançando, lado a lado. No texto, as palavras “crianza” e “tribu” são usadas para ",A evidenciar a importância de uma rede de apoio para as mães na criação de seus filhos. ,B denunciar a disparidade entre o trabalho das mães de diferentes classes sociais. ,C ressaltar o fechamento de escolas e creches durante o período pandêmico. ,D ratificar a romantização da dedicação das mães na educação das crianças. ,E enfatizar a proteção aos filhos em razão do isolamento social das famílias. 
QUESTÃO 02,"Los niños de nuestro olvido Mercedes Sosa Escribo sobre un destino que apenas puedo tocar en tanto un niño se inventa con pegamento un hogar Mientras busco las palabras para hacer esta canción un niño esquiva las balas que buscan su corazón Acurrucado en mi calle duerme un niño y la piedad arma lejos un pesebre y juega a la navidad Arma lejos un pesebre y juega a la navidad y juega a la navidad y juega, y juega, y juega... La niñez de nuestro olvido pide limosna en un bar y lava tu parabrisas por un peso, por un pan Si las flores del futuro crecen con tanto dolor seguramente mañana será un mañana sin sol No texto, a expressão “un mañana sin sol ” é usada para concluir uma crítica ao(à) ",A descaso diante da problemática de crianças em situação de rua. ,B violência característica do cotidiano das grandes metrópoles. ,C estímulo à mendicância nos centros urbanos. ,D tendência de informalização do trabalho. ,E falta de serviços de saúde adequados. 
QUESTÃO 03,"Pequeño hermano Es, no cabe duda, el instrumento más presente y más poderoso de todos los que entraron en nuestras vidas. Ni la televisión ni el ordenador, no hablemos ya del obsoleto fax o de las agendas o los libros electrónicos, ha tenido tal influencia, tal predicamento sobre nosotros. El móvil somos nosotros mismos. Todo desactivado e inerte, inocuo, ya les digo. Y de repente, tras un viaje y tres o cuatro imprudentes fotos, salta un aviso en la pantalla. Con sonido, además, pese a que tengo también todas las alertas desactivadas. Y mi monstruo doméstico me dice: tienes un recuerdo nuevo. Lo repetiré: tienes un recuerdo nuevo. ¿Y tú qué sabes? ¿Y a ti, máquina demoníaca, qué te importa? ¿Cómo te atreves a decirme qué son o no son mis recuerdos? ¿Qué es esta intromisión, este descaro? El pequeño hermano lo sabe casi todo. Sólo hay una esperanza: que la obsolescencia programada mate antes al pequeño hermano y que nosotros sigamos vivos, con los recuerdos que nos dé la gana. No texto, o autor faz uma crítica ao(à) ",A conhecimento das pessoas sobre as tecnologias. ,B uso do celular alheio por pessoas desautorizadas. ,C funcionamento de recursos tecnológicos obsoletos. ,D ingerência do celular sobre as escolhas dos usuários. ,E falta de informação sobre a configuração de alertas no celular. 
QUESTÃO 04,"En los suburbios de La Habana, llaman al amigo mi tierra o mi sangre. En Caracas, el amigo es mi pana o mi llave: pana, por panadería, la fuente del buen pan para las hambres del alma; y llave por... — Llave, por llave — me dice Mario Benedetti. Y me cuenta que cuando vivía en Buenos Aires, en los tiempos del terror, él llevaba cinco llaves ajenas en su llavero: cinco llaves, de cinco casas, de cinco amigos: las llaves que lo salvaron. Nesse texto, o autor Eduardo Galeano demonstra como as diferentes expressões existentes em espanhol para se referir a “amigo” variam em função ",A das peculiaridades dos subúrbios hispano-americanos. ,B da força da conexão espiritual entre os amigos. ,C do papel da amizade em diferentes contextos. ,D do hábito de reunir amigos em torno da mesa. ,E dos graus de intimidade entre os amigos. 
QUESTÃO 05,"Descrição da imagem: Cartaz com o seguinte texto: “Diidxagola, Binnigula’ sa’, Nisa ri’ biraru’ mani’, Duxhu’dxa’ ndaani (Proverbio zapoteco). ¿Te gustó?”. Logo abaixo, o desenho de um caracol, que representa um ser mitológico, seguido pelo texto: “Las lenguas originarias de nuestra nación guardan gran parte de la riqueza cultural. Son parte viva de nuestro país. Si se hablan, son reconocidas y todos las respetamos, protegemos nuestro patrimonio nacional.”. Na parte inferior do cartaz, os logotipos da “Secretaria de Educación Pública (SEP) e Instituto Nacional de Lenguas Indígenas (INALI) — www.inali.gob.mx”. ? Esse cartaz tem a função social de ",A difundir a arte iconográfica indígena mexicana. ,B resgatar a literatura popular produzida em língua zapoteca. ,C questionar o conhecimento do povo mexicano sobre as línguas ameríndias. ,D destacar o papel dos órgãos governamentais na conservação das línguas no México. ,"E defender a preservação das línguas originárias garantindo a diversidade linguística mexicana. LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS Questões de 06 a 45 "
