question,body,A,B,C,D,E
QUESTÃO 01,"No mundo árabe, países governados há décadas por regimes políticos centralizadores contabilizam metade da população com menos de 30 anos; desses, 56% têm acesso à internet. Sentindo-se sem perspectivas de futuro e diante da estagnação da economia, esses jovens incubam vírus sedentos por modernidade e democracia. Em meados de dezembro, um tunisiano de 26 anos, vendedor de frutas, põe fogo no próprio corpo em protesto por trabalho, justiça e liberdade. Uma série de manifestações eclode na Tunísia e, como uma epidemia, o vírus libertário começa a se espalhar pelos países vizinhos, derrubando em seguida o presidente do Egito, Hosni Mubarak. Sites e redes sociais – como o Facebook e o Twitter – ajudaram a mobilizar manifestantes do norte da África a ilhas do Golfo Pérsico. Considerando os movimentos políticos mencionados no texto, o acesso à internet permitiu aos jovens árabes",reforçar a atuação dos regimes políticos existentes.,tomar conhecimento dos fatos sem se envolver.,manter o distanciamento necessário à sua segurança.,disseminar vírus capazes de destruir programas dos computadores.,difundir ideias revolucionárias que mobilizaram a população.
QUESTÃO 02,"O Movimento dos Caras-Pintadas, ocorrido no início dos anos de 1990, arrebatou milhares de jovens no Brasil. Nesse contexto, a juventude, movida por um forte sentimento cívico,",aliou-se aos partidos de oposição e organizou a campanha Diretas Já.,manifestou-se contra a corrupção e pressionou pela aprovação da Lei da Ficha Limpa.,engajou-se nos protestos relâmpago e utilizou a internet para agendar suas manifestações.,espelhou-se no movimento estudantil de 1968 e protagonizou ações revolucionárias armadas.,tornou-se porta-voz da sociedade e influenciou no processo de impeachment do então presidente Collor.
QUESTÃO 03,"O brasileiro tem noção clara dos comportamentos éticos e morais adequados, mas vive sob o espectro da corrupção, revela pesquisa. Se o país fosse resultado dos padrões morais que as pessoas dizem aprovar, pareceria mais com a Escandinávia do que com Bruzundanga (corrompida nação fictícia de Lima Barreto). No texto, há referência ao distanciamento entre “reconhecer” e “cumprir” efetivamente o que é moral. Esse distanciamento constitui uma ambiguidade inerente ao humano, porque as normas morais s ão","decorrentes da vontade divina e, por esse motivo, utópicas.","parâmetros idealizados, cujo cumprimento é destituído de obrigação.",amplas e vão além da capacidade de o indivíduo conseguir cumpri-las integralmente.,"criadas pelo homem, que concede a si mesmo a lei à qual deve se submeter.",cumpridas por aqueles que se dedicam inteiramente a observar as normas jurídicas.
QUESTÃO 04,"A Floresta Amazônica, com toda a sua imensidão, não vai estar aí para sempre. Foi preciso alcançar toda essa taxa de desmatamento de quase 20 mil quilômetros quadrados ao ano, na última década do século XX, para que uma pequena parcela de brasileiros se desse conta de que o maior patrimônio natural do país está sendo torrado. Um processo econômico que tem contribuído na atualidade para acelerar o problema ambiental descrito no texto é a","expansão do Projeto Grande Carajás, com incentivos à chegada de novas empresas mineradoras.",difusão do cultivo da soja com a implantação de monoculturas mecanizadas.,"construção da rodovia Transamazônica, com o objetivo de interligar a região Norte ao restante do país.",criação de áreas extrativistas do látex das seringueiras para os chamados povos da floresta.,"ampliação do polo industrial da Zona Franca de Manaus, visando atrair empresas nacionais e estrangeiras."
QUESTÃO 05,"O café é tido como uma das maiores riquezas do país; entretanto, é uma das maiores pobrezas. Os proprietários dos latifúndios vivem nas cidades, gastando à larga, levando vida de nababos e com fumaças de aristocratas. Quando o café não lhes dá o bastante para as suas imponências e as da família, começam a clamar que o país vai à garra; que é preciso salvar a lavoura; que o café é a base da vida econômica do país; e — zás — arranjam meios e modos de o governo central decretar um empréstimo de milhões para valorizar o produto. O texto Os bruzundangas, de Lima Barreto, publicado pela primeira vez em 1923, descreve a relação entre a economia cafeicultora e a política governamental, que foi característica da Primeira República (1889-1930). O cenário e as práticas descritas se relacionavam com a","importância sociopolítica das elites cafeicultoras, que insuflavam as camadas populares em busca de melhor qualidade de vida junto ao governo federal.","importância dada às tradições na sociedade brasileira, o que levou as elites cafeicultoras a sensibilizar a Igreja Católica para interceder junto ao governo federal.","admiração despertada pelas elites cafeicultoras nas diferentes classes sociais, o que legitimava os subsídios e juros privilegiados obtidos por elas junto aos bancos públicos.","importância econômica da cafeicultura, uma vez que a valorização do café garantiria a ampliação massiva do número de empregos no país.","utilização da hegemonia política das elites cafeicultoras, que transferiam para a população o ônus, mantendo os privilégios através da proposital manipulação do câmbio."
QUESTÃO 06,"O Centro-Oeste apresentou-se como extremamente receptivo aos novos fenômenos da urbanização, já que era praticamente virgem, não possuindo infraestrutura de monta, nem outros investimentos fixos vindos do passado. Pôde, assim, receber uma infraestrutura nova, totalmente a serviço de uma economia moderna. Nesse texto, Milton Santos trata da ocupação de uma parcela do território brasileiro. O processo econômico diretamente associado a essa ocupação foi o avanço da",industrialização voltada para o setor de base.,economia da borracha no sul da Amazônia.,fronteira agropecuária que degradou parte do cerrado.,exploração mineral na Chapada dos Guimarães.,extrativismo na região pantaneira.
QUESTÃO 07,"Um dos principais objetivos de se dar continuidade às pesquisas em erosão dos solos é o de procurar resolver os problemas oriundos desse processo, que, em última análise, geram uma série de impactos ambientais. Além disso, para a adoção de técnicas de conservação dos solos, é preciso conhecer como a água executa seu trabalho de remoção, transporte e deposição de sedimentos. A erosão causa, quase sempre, uma série de problemas ambientais, em nível local ou até mesmo em grandes áreas. No que diz respeito à erosão do solo, tema tratado no texto, verifica-se que a preservação do solo, principalmente em áreas de encostas, pode ser uma solução para evitar catástrofes em função da intensidade de fluxo hídrico. A prática humana que segue no caminho contrário a essa solução é",a aração.,o terraceamento.,o pousio.,a drenagem.,o desmatamento.
QUESTÃO 08,"Uma empresa norte-americana de bioenergia está expandindo suas operações para o Brasil para explorar o mercado de pinhão manso. Com sede na Califórnia, a empresa desenvolveu sementes híbridas de pinhão manso, oleaginosa utilizada hoje na produção de biodiesel e de querosene de aviação. A melhoria agronômica das sementes de pinhão manso, referida no texto, abre para o Brasil a oportunidade econômica de",ampliar as regiões produtoras pela adaptação do cultivo a diferentes condições climáticas.,beneficiar os pequenos produtores camponeses de óleo pela venda direta ao varejo.,abandonar a energia automotiva derivada do petróleo em favor de fontes alternativas.,baratear cultivos alimentares substituídos pelas culturas energéticas de valor econômico superior.,reduzir o impacto ambiental pela não emissão de gases do efeito estu fa para a atmosfera.
QUESTÃO 09,"A araucária é uma árvore que faz parte de um importante bioma brasileiro que, no entanto, já foi bastante degradado pela ocupação humana. Uma das formas de intervenção humana relacionada à degradação desse bioma foi",o avanço do extrativismo de minerais metálicos voltados para a exportação na região Sudeste.,a contínua ocupação agrícola intensiva de grãos na região Centro-Oeste do Brasil.,o processo de desmatamento motivado pela expansão da atividade canavieira no Nordeste brasileiro.,"o avanço da indústria de papel e celulose a partir da exploração da madeira, extraída principalmente no Sul do Brasil.",o adensamento do processo de favelização sobre áreas da Serra do Mar na região Sudeste.
QUESTÃO 10,"SOBRADINHO O homem chega, já desfaz a natureza Tira gente, põe represa, diz que tudo vai mudar O São Francisco lá pra cima da Bahia Diz que dia menos dia vai subir bem devagar E passo a passo vai cumprindo a profecia do beato que dizia que o Sertão ia alagar. Esse trecho de uma música de Sá e Guarabyra, gravada em 1977, faz referência a uma importante obra na região do rio São Francisco. Uma consequência socioespacial dessa construção foi",a migração forçada da população ribeirinha.,o rebaixamento do nível do lençol freático local.,a preservação da memória histórica da região.,a ampliação das áreas de clima árido.,a redução das áreas de agricultura irriga da.
