question,body,A,B,C,D,E
QUESTÃO 01,"Torna-se claro que quem descobriu a África no Brasil, muito antes dos europeus, foram os próprios africanos trazidos como escravos. E esta descoberta não se restringia apenas ao reino linguístico, estendia-se também a outras áreas culturais, inclusive à da religião. Há razões para pensar que os africanos, quando misturados e transportados ao Brasil, não demoraram em perceber a existência entre si de elos culturais mais profundos. Com base no texto, ao favorecer o contato de indivíduos de diferentes partes da África, a experiência da escravidão no Brasil tornou possível a",formação de uma identidade cultural afro-brasileira.,superação de aspectos culturais africanos por antigas tradições europeias.,reprodução de conflitos entre grupos étnicos africanos.,manutenção das características culturais específicas de cada etnia.,resistência à incorporação de elementos culturais indígenas.
QUESTÃO 02,"No discurso intitulado Eu tenho um sonho , proferido em agosto de 1963, Martin Luther King Jr afirma: Nós nos recusamos a acreditar que o banco da justiça é falível. Nós nos recusamos a acreditar que há capitais insuficientes de oportunidade nesta nação. Assim nós viemos trocar este cheque, um cheque que nos dará o direito de reclamar as riquezas de liberdade e a segurança da justiça. O cenário vivenciado pela população negra, no sul dos Estados Unidos nos anos 1950, conduziu à mobilização social. Nessa época, surgiram reivindicações que tinham como expoente Martin Luther King e objetivavam",a conquista de d ireitos civis para a população negra.,o apoio aos atos violentos patrocinados pelos negros em espaço urbano.,a supremacia das instituições religiosas em meio à comunidade negra sulista.,a incorporação dos negros no mercado de trabalho.,a aceitação da cultura negra como representante do modo de vida americano .
QUESTÃO 03,"Na obra Do Espírito das Leis, Montesquieu escreve: É verdade que nas democracias o povo parece fazer o que quer; mas a liberdade política não consiste nisso. Deve-se ter sempre presente em mente o que é independência e o que é liberdade. A liberdade é o direito de fazer tudo o que as leis permitem; se um cidadão pudesse fazer tudo o que elas proíbem, não teria mais liberdade, porque os outros também teriam tal poder. A característica de democracia ressaltada por Montesquieu diz respeito",ao status de cidadania que o indivíduo adquire ao tomar as decisões por si mesmo.,ao condicionamento da liberdade dos cidadãos à conformidade às leis.,"à possibilidade de o cidadão participar no poder e, nesse caso, livre da submissão às leis.","ao livre-arbítrio do cidadão em relação àquilo que é proibido, desde que ciente das consequências.",ao direito do cidadão exercer sua vontade de acordo com seus valores pessoais.
QUESTÃO 04,"Considere a seguinte descrição do cartum O dilema de Lord Willingdon : Gandhi está em uma cela. Do lado de fora milhares de pessoas com o rosto igual ao de Gandhi observam o preso. Lord Willingdon, que está em frente à porta da cela, demonstra dúvida sobre abrir ou fechar o cadeado da cela. O cartum, publicado em 1932, ironiza as consequências sociais das constantes prisões de Mahatma Gandhi pelas autoridades britânicas, na Índia, demonstrando",a ineficiência do sistema judiciário inglês no território indiano.,o apoio da população hindu à prisão de Gandhi.,o caráter violento das manifestações hindus frente à ação inglesa.,a impossibilidade de deter o movimento liderado por Gandhi.,a indiferença das autoridades britânicas frente ao apelo po pular hindu.
QUESTÃO 05,"Diante dessas inconsistências e de outras que ainda preocupam a opinião pública, nós, jornalistas, estamos encaminhando este documento ao Sindicato dos Jornalistas Profissionais no Estado de São Paulo, para que o entregue à Justiça; e da Justiça esperamos a realização de novas diligências capazes de levar à completa elucidação desses fatos e de outros que porventura vierem a ser levantados. A morte do jornalista Vladimir Herzog, ocorrida durante o regime militar, em 1975, levou a medidas como o abaixo- assinado feito por profissionais da imprensa de São Paulo. A análise dessa medida tomada indica a",certeza do cumprimento das leis.,superação do governo de exceção.,violência dos terroristas de esquerda.,punição dos torturadores da polícia.,expectativa da investigação dos culpados.
QUESTÃO 06,"Dom Lourenço de Almeida, em 1722, fez a seguinte afirmação: Em todas estas Minas, não há mulheres que hajam de casar, e quando há alguma que viesse em companhia de seus pais (que são raras), são tantos os casamentos que lhe saem, que se vê o pai da noiva em grande embaraço sobre a escolha que há de fazer do genro. No texto, identifica-se uma característica da sociedade mineradora no período colonial cuja explicação está relacionada à",violência dos índios devido à luta contra a escravidão.,influência dos jesuítas devido à rígida moralidade cristã.,falta de ourives devido à oferta de trabalho na metrópole.,fuga dos cativos devido ao enfraquecimento do poder senhorial.,preponderância de colonos devido ao potencial econômico da região.
QUESTÃO 07,"No Dicionário do Brasil Imperial , organizado pelo historiador Ronaldo Vainfas, encontra-se o seguinte trecho: Após o retorno de uma viagem a Minas Gerais, onde Pedro I fora recebido com grande frieza, seus partidários prepararam uma série de manifestações a favor do imperador no Rio de Janeiro, armando fogueiras e luminárias na cidade. Contudo, na noite de 11 de março, tiveram início os conflitos que ficaram conhecidos como a Noite das Garrafadas, durante os quais os “brasileiros” apagavam as fogueiras “portuguesas” e atacavam as casas iluminadas, sendo respondidos com cacos de garrafas jogadas das janelas. Os anos finais do I Reinado (1822-1831) se caracterizaram pelo aumento da tensão política. Nesse sentido, a análise dos episódios descritos em Minas Gerais e no Rio de Janeiro revela",estímulos ao racismo.,apoio ao xenofobismo.,críticas ao federalismo.,repúdio ao republicanismo.,questionamentos ao autoritarismo.
QUESTÃO 08,"No livro Terra dos homens: a geografia , Paul Claval escreve: Portadora de memória, a paisagem ajuda a construir os sentimentos de pertencimento; ela cria uma atmosfera que convém aos momentos fortes da vida, às festas, às comemorações. No texto, é apresentada uma forma de integração da paisagem geográfica com a vida social. Nesse sentido, a paisagem, além de existir como forma concreta, apresenta uma dimensão",política de apropriação efetiva do espaço.,econômica de uso de recursos do espaço.,privada de limitação sobre a utilização do espaço.,natural de composição por elementos físicos do espaço.,simbólica de relação subjetiva do indivíduo com o espaço.
QUESTÃO 09,"No livro A era das Revoluções: 1789-1848 , o historiador Eric Hobsbawm escreve: Em tempo de revolução, nada é mais poderoso do que a queda de símbolos. A queda da Bastilha, que fez do 14 de julho de 1789 a festa nacional francesa, ratificou a queda do despotismo e foi saudada em todo o mundo como o princípio de libertação. De acordo com o texto, a simbologia em torno da Revolução Francesa ensejou uma ruptura com o passado, porque",consolidou os direitos de cidadania conquistados pelos trabalhadores urbanos e rurais.,estabeleceu a igualdade social como direito individual e coletivo garantido pelo Estado.,legitimou o direito à insurreição diante de qualquer opressão exercida pelas autoridades.,estabeleceu o sufrágio universal masculino adequado aos interesses da burguesia.,instituiu a liberdade e a igualdade civil como direitos naturais e inalienáveis do homem.
QUESTÃO 10,"Em seu texto Resposta à pergunta: o que é Esclarecimento?, o filósofo Immanuel Kant afirma: Esclarecimento é a saída do homem de sua menoridade, da qual ele próprio é culpado. A menoridade é a incapacidade de fazer uso de seu entendimento sem a direção de outro indivíduo. O homem é o próprio culpado dessa menoridade se a causa dela não se encontra na falta de entendimento, mas na falta de decisão e coragem de servir-se de si mesmo sem a direção de outrem. Tem coragem de fazer uso de teu próprio entendimento, tal é o lema do esclarecimento. A preguiça e a covardia são as causas pelas quais uma tão grande parte dos homens, depois que a natureza de há muito os libertou de uma condição estranha, continuem, no entanto, de bom grado menores durante toda a vida. Kant destaca no texto o conceito de Esclarecimento, fundamental para a compreensão do contexto filosófico da Modernidade. Esclarecimento, no sentido empregado por Kant, representa",a reivindicação de autonomia da capacidade racional como expressão da maioridade.,o exercício da racionalidade como pressuposto menor diante das verdades eternas.,"a imposição de verdades matemáticas, com caráter objetivo, de forma heterônoma.",a compreensão de verdades religiosas que libertam o homem da falta de entendimento.,a emancipação da subjetividade humana de ideologias produzidas pela própria razão.
