question,body,A,B,C,D,E
redação,"A partir da leitura dos textos motivadores seguintes e com base nos conhecimentos construídos ao longo de sua formação, redija texto dissertativo-argumentativo na modalidade escrita formal da língua portuguesa sobre o tema “ Efeitos da implantação da Lei Seca no Brasil ”, apresentando proposta de intervenção, que respeite os direitos humanos. Selecione, organize e relacione, de forma coerente e coesa, argumentos e fatos para defesa de seu ponto de vista. TExTO I Qual o objetivo da “Lei Seca ao volante”? De acordo com a Associação Brasileira de Medicina de Tráfego (Abramet), a utilização de bebidas alcoólicas é responsável por 30% dos acidentes de trânsito. E metade das mortes, segundo o Ministério da Saúde, está relacionada ao uso do álcool por motoristas. Diante deste cenário preocupante, a Lei 11.705/2008 surgiu com uma enorme missão: alertar a sociedade para os perigos do álcool associado à direção. Para estancar a tendência de crescimento de mortes no trânsito, era necessária uma ação enérgica. E coube ao Governo Federal o primeiro passo, desde a proposta da nova legislação à aquisição de milhares de etilômetros. Mas para que todos ganhem, é indispensável a participação de estados, municípios e sociedade em geral. Porque para atingir o bem comum, o desafio deve ser de todos. Descrição da primeira imagem : Cartaz em que se lê “Não deixe a bebida mudar seu destino. Dirigir alcoolizado é crime e pode dar cadeia.” O cartaz apresenta a imagem de um copo gigante cheio de cerveja, contra o qual um automóvel se chocou frontalmente. Descrição da segunda imagem : Esquema intitulado “Lei Seca em Números” com quatro informações: • Diminuição em 13% do atendimento hospitalar, segundo a Secretaria Municipal de Saúde (RJ). • 97% das pessoas aprovaram o uso dos bafômetros, segundo o IBPS. • Diminuição em 27% do número de vítimas de acidente no Grande Rio, segundo o ISP-RJ. • Redução de 6,2% na média nacional de vítimas fatais, segundo o DataSUS. TExTO II Repulsão magnética a beber e dirigir A lei da física que comprova que dois polos opostos se atraem em um campo magnético é um dos conceitos mais populares desse ramo do conhecimento. Tulipas de chope e bolachas de papelão não servem, em condições normais, como objetos de experimento para confirmar essa proposta. A ideia de uma agência de comunicação em Belo Horizonte foi bem simples. Ímãs foram inseridos em bolachas utilizadas para descansar os copos, de forma imperceptível para o consumidor. Em cada lado, há uma opção para o cliente: dirigir ou chamar um táxi depois de beber. Ao mesmo tempo, tulipas de chope também receberam pequenos pedaços de metal mascarados com uma pequena rodela de papel na base do copo. Durante um fim de semana, todas as bebidas servidas passaram a pregar uma peça no cliente. Ao tentar descansar seu copo com a opção dirigir virada para cima, os ímãs apresentavam a mesma polaridade e, portanto, causando repulsão, fazendo com que o descanso fugisse do copo; se estivesse virada mostrando o lado com o desenho de um táxi, ela rapidamente grudava na base do copo. A ideia surgiu da necessidade de passar a mensagem de uma forma leve e no exato momento do consumo. INSTRUÇÕES: • O rascunho da redação deve ser feito no espaço apropriado. • O texto definitivo deve ser escrito à tinta, na folha própria, em até 30 linhas. • A redação que apresentar cópia dos textos da Proposta de Redação ou do Caderno de Questões terá o número de linhas copiadas desconsiderado para efeito de correção. Receberá nota zero, em qualquer das situações expressas a seguir, a redação que: • tiver até 7 (sete) linhas escritas, sendo considerada “insuficiente”. • fugir ao tema ou que não atender ao tipo dissertativo-argumentativo. • apresentar proposta de intervenção que desrespeite os direitos humanos. • apresentar parte do texto deliberadamente desconectada com o tema proposto.",,,,,
QUESTÃO 91,"After prison blaze kills hundreds in Honduras, UN warns on overcrowding 15 February 2012 A United Nations human rights official today called on Latin American countries to tackle the problem of prison overcrowding in the wake of an overnight fire at a jail in Honduras that killed hundreds of inmates. More than 300 prisoners are reported to have died in the blaze at the prison, located north of the capital, Tegucigalpa, with dozens of others still missing and presumed dead. Antonio Maldonado, human rights adviser for the UN system in Honduras, told UN Radio today that overcrowding may have contributed to the death toll. “But we have to wait until a thorough investigation is conducted so we can reach a precise cause,” he said. “But of course there is a problem of overcrowding in the prison system, not only in this country, but also in many other prisons in Latin America.”Os noticiários destacam acontecimentos diários, que são veiculados em jornal impresso, rádio, televisão e internet. Nesse texto, o acontecimento reportado é a",ocorrência de um incêndio em um presídio superlotado em Honduras.,questão da superlotação nos presídios em Honduras e na América Latina.,investigação da morte de um oficial das Nações Unidas em visita a um presídio.,conclusão do relatório sobre a morte de mais de trezentos detentos em Honduras.,causa da morte de doze detentos em um presídio superlotado ao norte de Honduras.
QUESTÃO 92,"National Geographic News Christine Dell’AmorePublished April 26, 2010Our bodies produce a small steady amount of natural morphine, a new study suggests. Traces of the chemical are often found in mouse and human urine, leading scientists to wonder whether the drug is being made naturally or being delivered by something the subjects consumed. The new research shows that mice produce the “incredible painkiller” — and that humans and other mammals possess the same chemical road map for making it, said study co-author Meinhart Zenk, who studies plant-based pharmaceuticals at the Donald Danforth Plant Science Center in St. Louis, Missouri.Ao ler a matéria publicada na National Geographic, para a realização de um trabalho escolar, um estudante descobriu que","os compostos químicos da morfina, produzidos por humanos, são manipulados no Missouri.",os ratos e os humanos possuem a mesma via metabólica para produção de morfina.,a produção de morfina em grande quantidade minimiza a dor em ratos e humanos.,os seres humanos têm uma predisposição genética para inibir a dor.,a produção de morfina é um traço incomum entre os animais.
QUESTÃO 93,"Steve Jobs: A Life Remembered 1955-2011 Readersdigest.ca takes a look back at Steve Jobs, and his contribution to our digital world . CEO. Tech-Guru. Artist. There are few corporate figures as famous and well-regarded as former-Apple CEO Steve Jobs. His list of achievements is staggering, and his contribution to modern technology, digital media, and indeed the world as a whole, cannot be downplayed. With his passing on October 5, 2011, readersdigest.ca looks back at some of his greatest achievements, and pays our respects to a digital pioneer who helped pave the way for a generation of technology, and possibilities, few could have imagined.Informações sobre pessoas famosas são recorrentes na mídia, divulgadas de forma impressa ou virtualmente. Em relação a Steve Jobs, este texto propõe",expor as maiores conquistas da sua empresa.,descrever suas criações na área da tecnologia.,enaltecer sua contribuição para o mundo digital.,lamentar sua ausência na criação de novas tecnologias.,discutir o impacto de seu trabalho para a geração digital.
QUESTÃO 94,"Descrição da imagem: Tirinha, composta por quatro quadrinhos. No primeiro quadrinho, Calvin entra na sala e diz a seu pai, que está lendo: — I’ve concluded that nothing bad I do is my fault. O seu pai questiona: — Oh? No segundo quadrinho, Calvin explica: — Right! Being young and impressionable, I’m the helpless victim of countless bad influences! An unwholesome culture panders to my undeveloped values and pushes me to maleficence. No terceiro quadrinho, Calvin complementa: — I take no responsibility for my behavior! I’m an innocent pawn! It’s society’s fault! O pai, sem tirar os olhos do livro, aponta para fora de casa e diz: —Then you need to build more character. Go shovel the walk. No quarto quadrinho, aparece Calvin retirando a neve acumulada na calçada de casa com uma pá. Calvin diz: — These discussions never go where they’re supposed to. A partir da leitura dessa tirinha, infere-se que o discurso de Calvin teve um efeito diferente do pretendido, uma vez que ele",decide tirar a neve do quintal para convencer seu pai sobre seu discurso.,culpa o pai por exercer influência negativa na formação de sua personalidade.,comenta que suas discussões com o pai não correspondem às suas expectativas.,conclui que os acontecimentos ruins não fazem falta para a sociedade.,reclama que é vítima de valores que o levam a atitudes inadequadas.
QUESTÃO 95,"Do one thing for diversity and inclusion The United Nations Alliance of Civilizations (UNAOC) is launching a campaign aimed at engaging people around the world to Do One Thing to support Cultural Diversity and Inclusion. Every one of us can do ONE thing for diversity and inclusion; even one very little thing can become a global action if we all take part in it. Simple things YOU can do to celebrate the World Day for Cultural Diversity for Dialogue and Development on May 21 . 1. Visit an art exhibit or a museum dedicated to other cultures. 2. Read about the great thinkers of other cultures. 3. Visit a place of worship different than yours and participate in the celebration.4. Spread your own culture around the world and learn about other cultures.5. Explore music of a different culture.There are thousands of things that you can do, are you taking part in it? Internautas costumam manifestar suas opiniões sobre artigos on-line por meio da postagem de comentários. O comentário que exemplifica o engajamento proposto na quarta dica da campanha apresentada no texto é:","“Lá na minha escola, aprendi a jogar capoeira para uma apresentação no Dia da Consciência Negra.”","“Outro dia assisti na TV uma reportagem sobre respeito à diversidade. Gente de todos os tipos, várias tribos. Curti bastante.”",“Eu me inscrevi no Programa Jovens Embaixadores para mostrar o que tem de bom em meu país e conhecer outras formas de ser.”,“Curto muito bater papo na internet. Meus amigos estrangeiros me ajudam a aperfeiçoar minha proficiência em língua estrangeira.”,"“Pesquisei em sites de culinária e preparei uma festa árabe para uns amigos da escola. Eles adoraram, principalmente, os doces!”"
QUESTÃO 91,"Descrição da imagem: Na charge, dois homens, aparentando serem mafiosos, estão frente a frente, quando alguém que não aparece na cena fala: — Ya no es como antes... Então o homem da esquerda fala: — ¡Lo reto a un duelo!  E o da direita responde: — Está bien, pardo. Pero yo con el joystick y usté con las teclas. A charge evoca uma situação de disputa. Seu efeito humorístico reside no(a)",aceitação imediata da provocação.,descaracterização do convite a um desafio.,sugestão de armas não convencionais para um duelo.,deslocamento temporal do comentário lateral.,posicionamento relaxado dos personagens.
QUESTÃO 92,"Cabra sola Gloria Fuertes Hay quien dice que soy como la cabra; Lo dicen lo repiten, ya lo creo; Pero soy una cabra muy extraña  Que lleva una medalla y siete cuernos.  ¡Cabra! En vez de  mala leche yo doy llanto.  ¡Cabra! Por lo más peligroso me paseo.  ¡Cabra! Me llevo bien con alimañas todas,  ¡Cabra! Y escribo en los tebeos.  Vivo sola, cabra sola, — que no quise cabrito en compañía — cuando subo a lo alto de este valle siempre encuentro un lirio de alegría. Y vivo por mi cuenta, cabra sola;  Que yo a ningún rebaño pertenezco.  Si sufrir es estar como una cabra, Entonces sí lo estoy, no dudar de ello. No poema, o eu lírico se compara à cabra e no quinto verso utiliza a expressão “mala leche” para se autorrepresentar como uma pessoa",influenciável pela opinião das demais.,consciente de sua diferença perante as outras.,conformada por não pertencer a nenhum grupo.,corajosa diante de situações arriscadas.,capaz de transformar mau humor em pranto.
QUESTÃO 93,"Pero un día, le fue presentado a Cortés un tributo bien distinto: un obsequio de veinte esclavas llegó hasta el campamento español y entre ellas, Cortés escogió a una. Descrita por el cronista de la expedición, Bernal Díaz del Castillo, como mujer de “buen parecer y entremetida y desenvuelta”, el nombre indígena de esta mujer era Malintzin, indicativo de que había nacido bajo signos de contienda y desventura. Sus padres la vendieron como esclava; los españoles la llamaron doña Marina, pero su pueblo la llamó la Malinche, la mujer del conquistador, la traidora a los indios. Pero con cualquiera de estos nombres, la mujer conoció un extraordinario destino. Se convirtió en “mi lengua”, pues Cortés la hizo su intérprete y amante, la lengua que habría de guiarle a lo largo y alto del Imperio azteca, demostrando que algo estaba podrido en el reino de Moctezuma, que en efecto existía gran descontento y que el Imperio tenía pies de barro. Malinche, ou Malintzin, foi uma fi gura chave na história da conquista espanhola na América, ao atuar como","intérprete do conquistador, possibilitando-lhe conhecer as fragilidades do Império.","escrava dos espanhóis, colocando-se a serviço dos objetivos da Coroa.","amante do conquistador, dando origem à miscigenação étnica.","voz do seu povo, defendendo os interesses políticos do Império asteca.","maldição dos astecas, infundindo a corrupção no governo de Montezuma."
QUESTÃO 94,"Duerme negrito Duerme, duerme, negrito, que tu mamá está en el campo, negrito...Te va a traer codornices para ti. Te va a traer rica fruta para ti. Te va a traer carne de cerdo para ti. Te va a traer muchas cosas para ti [...]Duerme, duerme, negrito, que tu mamá está en el campo, negrito... Trabajando, trabajando duramente, trabajando sí. Trabajando y no le pagan, trabajando sí. Duerme negrito é uma cantiga de ninar da cultura popular hispânica, cuja letra problematiza uma questão social, ao",destacar o orgulho da mulher como provedora do lar.,evidenciar a ausência afetiva da mãe na criação do filho.,retratar a precariedade das relações de trabalho no campo.,ressaltar a inserção da mulher no mercado de trabalho rural.,exaltar liricamente a voz materna na formação cidadã do filho.
