question,body,A,B,C,D,E
redação,"Com base na leitura dos textos motivadores seguintes e nos conhecimentos construídos ao longo de sua formação, redija texto dissertativo-argumentativo em norma padrão da língua portuguesa sobre o tema vivER Em REDE nO SéculO 21: OS limiTES EnTRE O PúblicO E O PRiv ADO , apresentando proposta de conscientização social que respeite os direitos humanos. Selecione, organize e relacione, de forma coerente e coesa, argumentos e fatos para defesa de seu ponto de vista. Liberdade sem fio A ONU acaba de declarar o acesso à rede um direito fundamental do ser humano – assim como saúde, moradia e educação. No mundo todo, pessoas começam a abrir seus sinais privados de wi-fi , organizações e governos se mobilizam para expandir a rede para espaços públicos e regiões onde ela ainda não chega, com acesso livre e gratuito. A internet tem ouvidos e memória Uma pesquisa da consultoria Forrester Research revela que, nos Estados Unidos, a população já passou mais tempo conectada à internet do que em frente à televisão. Os hábitos estão mudando. No Brasil, as pessoas já gastam cerca de 20% de seu tempo on-line em redes sociais. A grande maioria dos internautas (72%, de acordo com o Ibope Mídia) pretende criar, acessar e manter um perfil em rede. “Faz parte da própria socialização do indivíduo do século 21 estar numa rede social. Não estar equivale a não ter uma identidade ou um número de telefone no passado”, acredita Alessandro Barbosa Lima, CEO da e.Life, empresa de monitoração e análise de mídias. As redes sociais são ótimas para disseminar ideias, tornar alguém popular e também arruinar reputações. Um dos maiores desafios dos usuários de internet é saber ponderar o que se publica nela. Especialistas recomendam que não se deve publicar o que não se fala em público, pois a internet é um ambiente social e, ao contrário do que se pensa, a rede não acoberta anonimato, uma vez que mesmo quem se esconde atrás de um pseudônimo pode ser rastreado e identificado. Aqueles que, por impulso, se exaltam e cometem gafes podem pagar caro. Considere uma tirinha, cujo título é QUADRINHOS DOS ANOS 10, formada de três quadrinhos. Primeiro quadrinho – Um homem, vestindo camisa social e gravata e usando óculos, olha em direção a uma câmera de filmagem posicionada no canto superior direito do quadrinho e exclama: “Malditas câmeras, somos monitorados o tempo todo!” Segundo quadrinho – O mesmo personagem do quadrinho anterior dirige-se, de braços abertos à câmera, e diz: “Se você está me ouvindo, saiba que podemos lutar contra a Sociedade do Controle juntos!” Terceiro quadrinho – Um guarda de segurança, com semblante sério, sentado, observa a tela de um computador. No canto superior direito do quadrinho, atrás do local onde o guarda está sentado, existe uma câmera de filmagem, direcionada para ele. inSTRuÇÕES: • O rascunho da redação deve ser feito no espaço apropriado. • O texto definitivo deve ser escrito à tinta , na folha própria , em até 30 linhas . • A redação com até 7 (sete) linhas escritas será considerada “insuficiente” e receberá nota zero. • A redação que fugir ao tema ou que não atender ao tipo dissertativo-argumentativo receberá nota zero. • A redação que apresentar cópia dos textos da Proposta de Redação ou do Caderno de Questões terá o número de linhas copiadas desconsiderado para efeito de correção.",,,,,
QuESTÃO 93,"Considere uma charge em que uma aluna, em frente a um quadro negro onde se lê a frase “REPORTS DUE TODAY!”, diz à sua professora: Na fase escolar, é prática comum que os professores passem atividades extraclasse e marquem uma data para que as mesmas sejam entregues para correção. No caso da cena da charge, a professora ouve uma estudante apresentando argumentos p ara",discutir sobre o conteúdo do seu trabalho já entregue.,elogiar o tema proposto para o relatório solicitado.,sugerir temas para novas pesquisas e relatórios.,reclamar do curto prazo para entrega do trabalho.,"convencer de que fez o relatório solicitad o. linGuAGEnS, cÓDiGOS E SuAS TEcnOlOGiAS Questões de 91 a 135 Questões de 91 a 95 (opção inglês)"
QuESTÃO 91,"Going to university seems to reduce the risk of dying from coronary heart disease. An American study that involved 10 000 patients from around the world has found that people who leave school before the age of 16 are five times more likely to suffer a heart attack and die than university graduates. Em relação às pesquisas, a utilização da expressão university graduates evidencia a intenção de informar que",as doenças do coração atacam dez mil pacientes.,as doenças do coração ocorrem na faixa dos dezesseis anos.,as pesquisas sobre doenças são divulgadas no meio acadêmico.,jovens americanos são alertados dos riscos de doenças do coração.,maior nível de estudo reduz riscos de ataques do coração.
QuESTÃO 92,"How’s your mood? Considere uma figura em que, em um alto e comprido muro de rua, esteja grafitada, com grande destaque, a palavra HAPPINESS. For an interesting attempt to measure cause and effect try Mappiness, a project run by the London School of Economics, which offers a phone app that prompts you to record your mood and situation. The Mappiness website says: “We’re particularly interested in how people’s happiness is affected by their local environment ― air pollution, noise, green spaces, and so on ― which the data from Mappiness will be absolutely great for investigating.” Will it work? With enough people, it might. But there are other problems. We’ve been using happiness and well-being interchangeably. Is that ok? The difference comes out in a sentiment like: “We were happier during the war.” But was our we ll-being also greater then?",ao nível de felicidade das pessoas em tempos de guerra",à dificuldade de medir o nível de felicidade das pessoas a partir de seu humor.,"ao nível de felicidade das pessoas enquanto falam ao celular com seus familiares",à relação entre o nível de felicidade das pessoas e o ambiente no qual se encontram.,à influência das imagens grafitadas pelas ruas no aumento do nível de felicidade das pessoas.
QuESTÃO 94,"Considere uma tirinha, formada de três quadrinhos, em que Jon, dono do gato Garfield, conversa com ele. Primeiro quadrinho – Jon, dono do gato Garfield, diz ao animal: “REMEMBER MY OLD GIRLFRIEND JODELL?” Segundo quadrinho – Jon continua falando: “YOU KNOW... THE PSYCHO?” Terceiro quadrinho – Garfield pensa: “YOU’LL HAVE TO BE MORE SPECIFIC.” A tira, definida como um segmento de história em quadrinhos, pode transmitir uma mensagem com efeito de humor. A presença desse efeito no diálogo entre Jon e Garfield acontece porque",Jon pensa que sua ex-namorada é maluca e que Garfield não sabia disso.,"Jodell é a única namorada maluca que Jon teve, e Garfield acha isso estranho.","Garfield tem certeza de que a ex-namorada de Jon é sensata, o maluco é o amigo.",Garfield conhece as ex-namoradas de Jon e considera mais de uma como maluca.,Jon caracteriza a ex-namorada como maluca e Garfield concorda.
QUESTÃO 95,"War Until the philosophy which holds one race superior And another inferior  Is finally and permanently discredited and abandoned,  Everywhere is war ― Me say war.  That until there is no longer First class and second class citizens of any nation,  Until the color of a man’s skin Is of no more significance than the color of his eyes ― Me say war. […] And until the ignoble and unhappy regimes that hold our brothers in Angola, in Mozambique, South Africa, sub-human bondage have been toppled,  Utterly destroyed ― Well, everywhere is war ― Me say war. Bob Marley foi um artista popular e atraiu muitos fãs com suas canções. Ciente de sua influência social, na música War , o cantor se utiliza de sua arte para alertar sobre",a inércia do continente africano diante das injustiças sociais.,a persistência da guerra enquanto houver diferenças raciais e sociais.,as acentuadas diferenças culturais entre os países africanos.,as discrepâncias sociais entre moçambicanos e angolanos como causa de conflitos.,"a fragilidade das diferenças raciais e sociais como justificativas para o iníci o de uma guerra. War in the east, war in the west, War up north, war down south ―  War ― war ― Rumors of war. And until that day, the African continent will not know peace.  We, Africans, will fight ― we find it necessary ―  And we know we shall win  As we are confident in the victory. […]"
QuESTÃO 91,"‘Desmachupizar’ el turismo Es ya un lugar común escuchar aquello de que hay que desmachupizar el turismo en Perú y buscar visitantes en las demás atracciones (y son muchas) que tiene el país, naturales y arqueológicas, pero la ciudadela inca tiene un imán innegable. La Cámara Nacional de Turismo considera que Machu Picchu significa el 70% de los ingresos por turismo en Perú, ya que cada turista que tiene como primer destino la ciudadela inca visita entre tres y cinco lugares más (la ciudad de Cuzco, la de Arequipa, las líneas de Nazca, el Lago Titicaca y la selva) y deja en el país un promedio de 2 200 dólares (unos 1 538 euros). Carlos Canales, presidente de Canatur, señaló que la ciudadela tiene capacidad para recibir más visitantes que en la actualidad (un máximo de 3 000) con un sistema planificado de horarios y rutas, pero no quiso avanzar una cifra. Sin embargo, la Unesco ha advertido en varias ocasiones que el monumento se encuentra cercano al punto de saturación y el Gobierno no debe emprender ninguna política de captación de nuevos visitantes, algo con lo que coincide el viceministro Roca Rey. A reportagem do jornal espanhol mostra a preocupação diante de um problema no Peru, que pode ser resumido pelo vocábulo “desmachupizar”, referindo-se",à escassez de turistas no país.,ao difícil acesso ao lago Titicaca.,à destruição da arqueologia no país.,ao excesso de turistas na terra dos incas.,à falta de atrativos turísticos em Arequipa.
QuESTÃO 92,"Bienvenido a Brasília El Gobierno de Brasil, por medio del Ministerio de la Cultura y del Instituto del Patrimonio Histórico y Artístico Nacional (IPHAN), da la bienvenida a los participantes de la 34ª Sesión del Comité del Patrimonio Mundial, encuentro realizado por la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO). Respaldado por la Convención del Patrimonio Mundial, de 1972, el Comité reúne en su 34ª sesión más de 180 delegaciones nacionales para deliberar sobre las nuevas candidaturas y el estado de conservación y de riesgo de los bienes ya declarados Patrimonio Mundial, con base en los análisis del Consejo Internacional de Monumentos y Sitios (Icomos), del Centro Internacional para el Estudio de la Preservación y la Restauración del Patrimonio Cultural (ICCROM) y de la Unión Internacional para la Conservación de la Naturaleza (IUCN). O Comitê do Patrimônio Mundial reúne-se regularmente para deliberar sobre ações que visem à conservação e à preservação do patrimônio mundial. Entre as tarefas atribuídas às delegações nacionais que participaram da 34ª Sessão do Comitê do Patrimônio Mundial, destaca-se a",participação em reuniões do Conselho Internacional de Monumentos e Sítios.,realização da cerimônia de recepção da Convenção do Patrimônio Mundial.,organização das análises feitas pelo Ministério da Cultura brasileiro.,discussão sobre o estado de conservação dos bens já declarados patrimônios mundiais.,estruturação da próxima reunião do Comitê do Patrimônio Mundial.
QuESTÃO 93,"Los fallos de software en aparatos médicos, como marcapasos, van a ser una creciente amenaza para la salud pública, según el informe de Software Freedom Law Center (SFLC) que ha sido presentado hoy en Portland (EEUU), en la Open Source Convention (OSCON). La ponencia “Muerto por el código: transparencia de software en los dispositivos médicos implantables” aborda el riesgo potencialmente mortal de los defectos informáticos en los aparatos médicos implantados en las personas. Según SFLC, millones de personas con condiciones crónicas del corazón, epilepsia, diabetes, obesidad e, incluso, la depresión dependen de implantes, pero el software permanece oculto a los pacientes y sus médicos. La SFLC recuerda graves fallos informáticos ocurridos en otros campos, como en elecciones, en la fabricación de coches, en las líneas aéreas comerciales o en los mercados finan cieros. O título da palestra, citado no texto, antecipa o tema que será tratado e mostra que o autor tem a intenção de",relatar novas experiências em tratamento de saúde.,alertar sobre os riscos mortais de determinados softwares de uso médico para o ser human o.,denunciar falhas médicas na implantação de softwares em seres humanos.,divulgar novos softwares presentes em aparelhos médicos lançados no mercado.,apresentar os defeitos mais comuns de softwares em aparelhos médicos.
QuESTÃO 94,"Es posible reducir la basura En México se producen más de 10 millones de m3 de basura mensualmente, depositados en más de 50 mil tiraderos de basura legales y clandestinos, que afectan de manera directa nuestra calidad de vida, pues nuestros recursos naturales son utilizados desproporcionalmente, como materias primas que luego desechamos y tiramos convirtiéndolos en materiales inútiles y focos de infección. Todo aquello que compramos y consumimos tiene una relación directa con lo que tiramos. Consumiendo racionalmente, evitando el derroche y usando sólo lo indispensable, directamente colaboramos con el cuidado del ambiente. Si la basura se compone de varios desperdicios y si como desperdicios no fueron basura, si los separamos adecuadamente, podremos controlarlos y evitar posteriores problemas. Reciclar se traduce en importantes ahorros de energía, ahorro de agua potable, ahorro de materias primas, menor impacto en los ecosistemas y sus recursos naturales y ahorro de tiempo, dinero y esfuerzo. Es necesario saber para empezar a actuar... A partir do que se afirma no último parágrafo: “Es necesario saber para empezar a actuar...”, pode-se constatar que o texto foi escrito com a intenção de",informar o leitor a respeito da importância da reciclagem para a conservação do meio ambiente.,indicar os cuidados que se deve ter para não consumir alimentos que podem ser focos de infecção.,"denunciar o quanto o consumismo é nocivo, pois é o gerador dos dejetos produzidos no México.","ensinar como economizar tempo, dinheiro e esforço a partir dos 50 mil depósitos de lixo legalizados.",alertar a população mexicana para os perigos causados pelos consumidores de matéria-prima reciclável.
QUESTÃO 95,"El tango Ya sea como danza, música, poesía o cabal expresión de una filosofía de vida, el tango posee una larga y valiosa trayectoria, jalonada de encuentros y desencuentros, amores y odios, nacida desde lo más hondo de la historia argentina. El nuevo ambiente es el cabaret, su nuevo cultor la clase media porteña, que ameniza sus momentos de diversión con nuevas composiciones, sustituyendo el carácter malevo del tango primitivo por una nueva poesía más acorde con las concepciones estéticas provenientes de Londres y París. Ya en la década del ‘20 el tango se anima incluso a traspasar las fronteras del país, recalando en lujosos salones parisinos donde es aclamado por públicos selectos que adhieren entusiastas a la sensualidad del nuevo baile. Ya no es privativo de los bajos fondos porteños; ahora se escucha y se baila en salones elegantes, clubs y casas particulares. El tango revive con juveniles fuerzas en ajironadas versiones de grupos rockeros, presentaciones en elegantes reductos de San Telmo, Barracas y La Boca y películas foráneas que lo divulgan por el mundo entero. Sabendo-se que a produção cultural de um país pode influenciar, retratar ou, inclusive, ser reflexo de acontecimentos de sua história, o tango, dentro do contexto histórico argentino, é reconhecido por",manter-se inalterado ao longo de sua história no país.,"influenciar os subúrbios, sem chegar a outras regiões.","sobreviver e se difundir, ultrapassando as fronteiras do país.",manifestar seu valor primitivo nas diferentes camadas sociais.,"ignorar a influência de países europeus, como Inglaterra e França."
QuESTÃO 96,"Considere a seguinte descrição de um infográfico. Título: AMIZADE PÓS-MODERNA Subtítulo: A internet e as redes sociais se baseiam em dois tipos de relação • AMIZADE SIMÉTRICA – é recíproca: se eu quiser ter você como amigo e acessar o seu perfil, você precisa autorizar o pedido e se tornar meu amigo também. ◦ PRÓ: privacidade – você decide quem terá acesso às suas informações. ◦ CONTRA: reduz a possibilidade de conhecer gente nova. ◦ EXEMPLOS: Facebook, Orkut, Flickr, Linkedin, MSN, Last.fm • AMIZADE ASSIMÉTRICA – não é recíproca: eu posso adicionar ou seguir você sem precisar pedir permissão (e posso inclusive fazer isso sem que você saiba). ◦ PRÓ: torna muito mais fácil a formação de laços e comunidades. ◦ CONTRA: mais difícil de virar amizade íntima, pois a interação é pública. ◦ EXEMPLOS: Twitter, Buzz, Tumblr, Blip.fm Os amigos são um dos principais indicadores de bem-estar na vida social das pessoas. Da mesma forma que em outras áreas, a internet também inovou as maneiras de vivenciar a amizade. Da leitura da descrição do infográfico, depreendem-se dois tipos de amizade virtual, a simétrica e a assimétrica, ambas com seus prós e contras. Enquanto a primeira se baseia na relação de reciprocidade, a segunda","reduz o número de amigos virtuais, ao limitar o acesso à rede.",parte do anonimato obrigatório para se difundir.,reforça a configuração de laços mais profundos de amizade.,facilita a interação entre pessoas em virtude de interesses comuns.,tem a responsabilidade de promover a proximidade física.
