question,body,A,B,C,D,E,year,question_number,test,answer,language,gpt-3.5-turbo_answer,gpt-3.5-turbo_probs
QUESTÃO 136,"A esperança de vida ao nascer é o número médio de anos que um indivíduo tende a viver a partir de seu nascimento, considerando dados da população. No Brasil, esse número vem aumentando consideravelmente, como mostra o gráfico. Descrição da imagem: Gráfico intitulado Esperança de vida ao nascer , em que o eixo horizontal refere-se aos anos de 2008 a 2013 e eixo vertical refere-se às idades de 72 a 75 anos, é formado por segmentos de reta ascendentes. O gráfico inicia-se no ponto (2008; 72,78), ascende até (2009; 73,09), ascende até (2010; 73,4), ascende até (2011; 73,67), ascende até (2012; 73,95) e ascende até o ponto final (2013; 74,23). Pode-se observar que a esperança de vida ao nascer em 2012 foi exatamente a média das registradas nos anos de 2011 e 2013. Suponha que esse fato também ocorreu com a esperança de vida ao nascer em 2013, em relação às esperanças de vida de 2012 e de 2014. Caso a suposição feita tenha sido confirmada, a esperança de vida ao nascer no Brasil no ano de 2014 terá sido, em ano, igual a","74,23.","74,51.","75,07.","75,23.","78,49.",2022,136,MT,B,portuguese,A,"{'A': 0.5490799452173878, 'B': 0.2550027554055005, 'C': 0.11437476290271541, 'D': 0.05774436971934959, 'E': 0.0001}"
QUESTÃO 137,"Um minuto-luz é uma unidade de medida de distância que corresponde à distância percorrida pela luz durante 1 minuto. Uma outra unidade de medida é o parsec, descrita a seguir. Considere que a órbita da Terra seja circular e que o tempo que a luz do Sol demora para chegar à Terra seja de 8 minutos. Suponha que a Terra (T), o Sol (S) e uma estrela (E) formem um triângulo retângulo como na figura seguinte. Se o ângulo T, E, S medir 1 segundo (isto é, 1 grau dividido por 3 600) dizemos que a distância da estrela E ao sol S é de 1 parsec. Descrição da imagem: Figura representa um triângulo retângulo de vértices T, E e S, com ângulo reto em S. O cateto ST é o menor. Há uma circunferência tracejada, representando uma órbita, centrada em S, com raio ST e com T pertencente à circunferência. Use 5 vezes, abre parêntese, 10 elevado a menos 6, fecha parêntese, como valor aproximado para tangente de, abre parêntese, 1 grau dividido por 3 600, fecha parêntese. Quantos minutos-luz tem 10 parsec aproximadamente?","4 vezes, abre parêntese, 10 elevado a menos 5, fecha parêntese","4 vezes, abre parêntese, 10 elevado a menos 4, fecha parêntese","8 vezes, abre parêntese , 10 elevado a 5, fecha parêntese","1,6 vezes, abre parêntese, 10 elevado a 6, fecha parêntese","1,6 vezes, abre parêntese, 10 elevado a 7, fecha parêntese",2022,137,MT,E,portuguese,A,"{'A': 0.8694759043397644, 'D': 0.03189683636375168, 'B': 0.024871717917458652, 'C': 0.0014050437362751534, 'E': 0.0001}"
QUESTÃO 138,"Ao escutar a notícia de que um filme recém-lançado arrecadou, no primeiro mês de lançamento, 1,35 bilhão de reais em bilheteria, um estudante escreveu corretamente o número que representa essa quantia, com todos os seus algarismos. O número escrito pelo estudante foi","135 000,00.","1 350 000,00.","13 500 000,00.","135 000 000,00.","1 350 000 000,00.",2022,138,MT,E,portuguese,E,"{'E': 0.8537804460010928, 'A': 0.10066264441275798, 'D': 0.019013490846255372, 'C': 0.0001, 'B': 0.0001}"
QUESTÃO 139,"O governo de um estado pretende realizar uma obra de infraestrutura para auxiliar na integração e no processo de escoamento da produção agrícola de duas cidades. O projeto consiste na interligação direta das cidades A e B com a Rodovia 003, pela construção das Rodovias 001 e 002. As duas rodovias serão construídas em linha reta e deverão se conectar à Rodovia 003 em um mesmo ponto, conforme esboço apresentado na figura, na qual estão também indicadas as posições das cidades A e B, considerando o eixo x posicionado sobre a Rodovia 003, e cinco localizações sugeridas para o ponto de conexão entre as três rodovias. Descrição da imagem: Gráfico apresenta um sistema de eixos cartesianos em que ambos os eixos têm o quilômetro como unidade de medida. O eixo x se situa sobre a Rodovia 003. A cidade A está situada no ponto de coordenadas (20; 40), e a cidade B está situada no ponto de coordenadas (50; 20). Há cinco pontos marcados sobre o eixo x , que indicam cinco sugestões para o ponto de conexão entre as três rodovias. Os trajetos sugeridos para a Rodovia 001 estão representados por segmentos de reta tracejados, e para a Rodovia 002 estão representados por segmentos de reta cheios. Coordenadas dos pontos de conexão: Ponto 1: (20; 0); Ponto 2: (30; 0); Ponto 3: (35; 0); Ponto 4: (40; 0); Ponto 5: (50; 0).  Pretende-se que a distância percorrida entre as duas cidades, pelas Rodovias 001 e 002, passando pelo ponto de conexão, seja a menor possível. Dadas as exigências do projeto, qual das localizações sugeridas deve ser a escolhida para o ponto de conexão?",1,2,3,4,5,2022,139,MT,D,portuguese,A,"{'A': 0.6414856016356162, 'D': 0.23789423614669952, 'C': 0.018935848829835605, 'E': 0.014993606680806628, 'B': 0.0001}"
QUESTÃO 140,"Uma pessoa precisa contratar um operário para fazer um serviço em sua casa. Para isso, ela postou um anúncio em uma rede social. Cinco pessoas responderam informando preços por hora trabalhada, gasto diário com transporte e tempo necessário para conclusão do serviço, conforme valores apresentados no quadro. Descrição da imagem: Quadro que apresenta informações do Operário em relação ao preço por hora em real, preço do transporte em real e tempo até conclusão em hora, mostra os seguintes dados: Operário 1: Preço por hora, 120 reais; preço do transporte, zero real; tempo até conclusão, 8 horas; Operário 2: Preço por hora, 180 reais; preço do transporte, zero real; tempo até conclusão, 6 horas; Operário 3: Preço por hora, 170 reais; preço do transporte, 20 reais; tempo até conclusão, 6 horas; Operário 4: Preço por hora, 110 reais; preço do transporte, 10 reais; tempo até conclusão, 9 horas; Operário 5: Preço por hora, 110 reais; preço do transporte, zero real; tempo até conclusão, 10 horas.  Se a pessoa pretende gastar o mínimo possível com essa contratação, irá contratar o operário",1.,2.,3.,4.,5.,2022,140,MT,A,portuguese,A,"{'A': 0.6592434465310235, 'D': 0.15387059922016863, 'C': 0.03542187561071995, 'B': 0.031961651207828935, 'E': 0.0001}"
QUESTÃO 141,"Uma cozinheira produz docinhos especiais por encomenda. Usando uma receita-base de massa, ela prepara uma porção, com a qual produz 50 docinhos maciços de formato esférico, com 2 centímetros de diâmetro. Um cliente encomenda 150 desses docinhos, mas pede que cada um tenha formato esférico com 4 centímetros de diâmetro. A cozinheira pretende preparar o número exato de porções da receita-base de massa necessário para produzir os docinhos dessa encomenda. Quantas porções da receita-base de massa ela deve preparar para atender esse cliente?",2,3,6,12,24,2022,141,MT,E,portuguese,A,"{'A': 0.5671704195948036, 'C': 0.2036176198076465, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
QUESTÃO 142,"Nos cinco jogos finais da última temporada, com uma média de 18 pontos por jogo, um jogador foi eleito o melhor do campeonato de basquete. Na atual temporada, cinco jogadores têm a chance de igualar ou melhorar essa média. No quadro estão registradas as pontuações desses cinco jogadores nos quatro primeiros jogos das finais deste ano. Descrição da imagem: Quadro que relaciona jogadores à quantidade de pontos marcados por jogo, mostra os seguintes dados: jogador 1: 12 no jogo 1; 25 no jogo 2; 20 no jogo 3; 20 no jogo 4; jogador 2: 12 no jogo 1; 12 no jogo 2; 27 no jogo 3; 20 no jogo 4; jogador 3: 14 no jogo 1; 14 no jogo 2; 17 no jogo 3; 26 no jogo 4; jogador 4: 15 no jogo 1; 18 no jogo 2; 21 no jogo 3; 21 no jogo 4; jogador 5: 22 no jogo 1; 15 no jogo 2; 23 no jogo 3; 15 no jogo 4.   O quinto e último jogo será realizado para decidir a equipe campeã e qual o melhor jogador da temporada. O jogador que precisa fazer a menor quantidade de pontos no quinto jogo, para igualar a média de pontos do melhor jogador da temporada passada, é o",1,2,3,4,5,2022,142,MT,A,portuguese,A,"{'A': 0.5095912060920509, 'D': 0.16463515068781456, 'C': 0.12215664757337891, 'B': 0.1128500016198769, 'E': 0.0001}"
QUESTÃO 143,"Um casal planeja construir em sua chácara uma piscina com o formato de um paralelepípedo reto retângulo com capacidade para 90 000 litros de água. O casal contratou uma empresa de construções que apresentou cinco projetos com diferentes combinações nas dimensões internas de profundidade, largura e comprimento. A piscina a ser construída terá revestimento interno em suas paredes e fundo com uma mesma cerâmica, e o casal irá escolher o projeto que exija a menor área de revestimento. As dimensões internas de profundidade, largura e comprimento, respectivamente, para cada um dos projetos, são: • projeto 1: 1,8 metro , 2,0 metros e 25,0 metros ; • projeto 2: 2,0 metros , 5,0 metros e 9,0 metros ; • projeto 3: 1,0 metro , 6,0 metros e 15,0 metros ; • projeto 4: 1,5 metro , 15,0 metros e 4,0 metros ; • projeto 5: 2,5 metros , 3,0 metros e 12,0 metros . O projeto que o casal deverá escolher será o",1,2,3,4,5,2022,143,MT,B,portuguese,A,"{'A': 0.45044000984407645, 'D': 0.22764534298936373, 'C': 0.09791466212670062, 'B': 0.08539942815400589, 'E': 0.0001}"
QUESTÃO 144,"Uma instituição de ensino superior ofereceu vagas em um processo seletivo de acesso a seus cursos. Finalizadas as inscrições, foi divulgada a relação do número de candidatos por vaga em cada um dos cursos oferecidos. Esses dados são apresentados no quadro. Descrição da imagem: Quadro que relaciona curso com número de vagas oferecidas e número de candidatos por vaga, mostra os seguintes dados: Administração: 30 vagas oferecidas e 6 candidatos por vaga; Ciências Contábeis: 40 vagas oferecidas e 6 candidatos por vaga; Engenharia Elétrica: 50 vagas oferecidas e 7 candidatos por vaga; História: 30 vagas oferecidas e 8 candidatos por vaga; Letras: 25 vagas oferecidas e 4 candidatos por vaga; Pedagogia: 25 vagas oferecidas e 5 candidatos por vaga.   Qual foi o número total de candidatos inscritos nesse processo seletivo?",200,400,1 200,1 235,7 200,2022,144,MT,D,portuguese,A,"{'A': 0.8458901698368954, 'C': 0.0016710394004344651, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
QUESTÃO 145,"Peças metálicas de aeronaves abandonadas em aeroportos serão recicladas. Uma dessas peças é maciça e tem o formato cilíndrico, com a medida do raio da base igual a 4 centímetros e a da altura igual a 50 centímetros. Ela será derretida, e o volume de metal resultante será utilizado para a fabricação de esferas maciças com diâmetro de 1 centímetro, a serem usadas para confeccionar rolamentos. Para estimar a quantidade de esferas que poderão ser produzidas a partir de cada uma das peças cilíndricas, admite-se que não ocorre perda de material durante o processo de derretimento. Quantas dessas esferas poderão ser obtidas a partir de cada peça cilíndrica?",800,1 200,2 400,4 800,6 400,2022,145,MT,D,portuguese,A,"{'A': 0.5231674891011246, 'C': 0.0001, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
