question,answer,test
91,A,spanish
91,A,english
92,D,spanish
92,D,english
93,A,spanish
93,D,english
94,C,spanish
94,B,english
95,B,spanish
95,B,english
96,A,
97,A,
98,D,
99,A,
100,E,
101,B,
102,D,
103,D,
104,C,
105,E,
106,B,
107,E,
108,E,
109,E,
110,D,
111,E,
112,C,
113,D,
114,A,
115,B,
116,E,
117,A,
118,C,
119,B,
120,D,
121,B,
122,A,
123,A,
124,A,
125,A,
126,D,
127,E,
128,D,
129,A,
130,A,
131,B,
132,A,
133,E,
134,A,
135,D,
136,E,
137,A,
138,B,
139,E,
140,E,
141,E,
142,C,
143,B,
144,D,
145,A,
146,D,
147,E,
148,D,
149,C,
150,C,
151,C,
152,B,
153,D,
154,E,
155,B,
156,D,
157,E,
158,C,
159,D,
160,B,
161,C,
162,A,
163,E,
164,E,
165,B,
166,E,
167,D,
168,B,
169,D,
170,E,
171,D,
172,A,
173,D,
174,B,
175,D,
176,D,
177,C,
178,A,
179,B,
180,A,
