question,answer,test
1,D,
2,C,
3,E,
4,C,
5,B,
6,A,
7,A,
8,A,
9,D,
10,C,
11,B,
12,B,
13,E,
14,C,
15,A,
16,E,
17,D,
18,C,
19,E,
20,D,
21,D,
22,A,
23,C,
24,C,
25,B,
26,D,
27,D,
28,A,
29,C,
30,E,
31,D,
32,D,
33,B,
34,A,
35,D,
36,B,
37,C,
38,A,
39,D,
40,B,
41,C,
42,B,
43,C,
44,E,
45,E,
46,E,
47,B,
48,E,
49,E,
50,C,
51,A,
52,D,
53,B,
54,C,
55,A,
56,B,
57,E,
58,C,
59,D,
60,D,
61,B,
62,E,
63,A,
64,D,
65,C,
66,C,
67,A,
68,B,
69,D,
70,E,
71,A,
72,B,
73,E,
74,B,
75,C,
76,A,
77,D,
78,B,
79,A,
80,D,
81,D,
82,C,
83,C,
84,C,
85,E,
86,D,
87,B,
88,B,
89,C,
90,A,
