question,answer,test
91,B,
92,C,
93,A,
94,C,
95,E,
96,E,
97,B,
98,B,
99,B,
100,D,
101,A,
102,C,
103,E,
104,D,
105,E,
106,C,
107,A,
108,A,
109,D,
110,D,
111,D,
112,A,
113,B,
114,D,
115,B,
116,C,
117,C,
118,A,
119,C,
120,D,
121,C,
122,B,
123,C,
124,E,
125,D,
126,E,
127,D,
128,A,
129,B,
130,E,
131,B,
132,E,
133,A,
134,E,
135,A,
136,A,
137,D,
138,A,
139,E,
140,D,
141,A,
142,B,
143,B,
144,C,
145,A,
146,A,
147,D,
148,B,
149,E,
150,anulada,
151,E,
152,B,
153,B,
154,D,
155,E,
156,E,
157,A,
158,D,
159,C,
160,C,
161,C,
162,C,
163,D,
164,A,
165,C,
166,E,
167,D,
168,D,
169,A,
170,B,
171,C,
172,B,
173,C,
174,A,
175,A,
176,E,
177,B,
178,B,
179,D,
180,D,
