question,answer,test
91,C,
92,E,
93,D,
94,A,
95,E,
96,E,
97,D,
98,E,
99,E,
100,C,
101,C,
102,D,
103,B,
104,A,
105,D,
106,C,
107,C,
108,C,
109,A,
110,B,
111,B,
112,A,
113,D,
114,C,
115,A,
116,A,
117,C,
118,D,
119,D,
120,D,
121,A,
122,C,
123,D,
124,B,
125,E,
126,A,
127,B,
128,D,
129,C,
130,D,
131,B,
132,E,
133,A,
134,B,
135,D,
136,E,
137,B,
138,anulada,
139,E,
140,E,
141,B,
142,D,
143,A,
144,D,
145,D,
146,A,
147,B,
148,C,
149,C,
150,B,
151,C,
152,C,
153,A,
154,B,
155,B,
156,A,
157,D,
158,D,
159,B,
160,D,
161,D,
162,A,
163,E,
164,A,
165,E,
166,A,
167,B,
168,C,
169,B,
170,E,
171,D,
172,E,
173,C,
174,A,
175,D,
176,C,
177,E,
178,C,
179,C,
180,B,
