question,answer,test
91,C,
92,A,
93,A,
94,D,
95,A,
96,E,
97,E,
98,D,
99,B,
100,C,
101,E,
102,C,
103,B,
104,D,
105,D,
106,C,
107,B,
108,A,
109,C,
110,C,
111,A,
112,A,
113,D,
114,D,
115,D,
116,E,
117,B,
118,E,
119,C,
120,B,
121,C,
122,B,
123,C,
124,E,
125,C,
126,A,
127,E,
128,C,
129,E,
130,D,
131,D,
132,A,
133,E,
134,D,
135,E,
136,E,
137,B,
138,D,
139,A,
140,D,
141,C,
142,C,
143,B,
144,C,
145,A,
146,E,
147,B,
148,A,
149,C,
150,E,
151,D,
152,B,
153,D,
154,A,
155,C,
156,E,
157,B,
158,C,
159,D,
160,B,
161,C,
162,B,
163,D,
164,E,
165,D,
166,E,
167,A,
168,C,
169,C,
170,D,
171,C,
172,D,
173,E,
174,D,
175,B,
176,B,
177,B,
178,B,
179,C,
180,A,
