question,answer
91,A
92,D
93,C
94,D
95,C
96,D
97,B
98,B
99,B
100,E
101,C
102,D
103,C
104,C
105,D
106,C
107,B
108,C
109,B
110,D
111,A
112,B
113,C
114,A
115,A
116,D
117,C
118,B
119,E
120,B
121,A
122,B
123,E
124,E
125,B
126,B
127,B
128,C
129,A
130,B
131,E
132,D
133,E
134,D
135,E
136,D
137,D
138,C
139,A
140,B
141,D
142,C
143,C
144,A
145,E
146,D
147,C
148,E
149,B
150,B
151,D
152,B
153,D
154,A
155,E
156,E
157,B
158,A
159,D
160,C
161,A
162,E
163,C
164,D
165,B
166,C
167,C
168,C
169,C
170,D
171,D
172,C
173,E
174,E
175,B
176,A
177,B
179,E
180,E
