question,answer,test
1,A,
2,B,
3,C,
4,D,
5,D,
6,C,
7,E,
8,E,
9,C,
10,D,
11,E,
12,E,
13,D,
14,A,
15,C,
16,D,
17,C,
18,C,
19,D,
20,C,
21,C,
22,B,
23,E,
24,A,
25,D,
26,A,
27,A,
28,E,
29,E,
30,E,
31,D,
32,C,
33,D,
34,C,
35,C,
36,B,
37,C,
38,A,
39,B,
40,B,
41,B,
42,D,
43,E,
44,D,
45,A,
46,D,
47,A,
48,D,
49,D,
50,D,
51,A,
52,B,
53,B,
54,B,
55,C,
56,B,
57,C,
58,E,
59,C,
60,E,
61,B,
62,C,
63,D,
64,C,
65,B,
66,C,
67,D,
68,B,
69,E,
70,C,
71,C,
72,A,
73,B,
74,A,
75,D,
76,A,
77,A,
78,D,
79,C,
80,E,
81,B,
82,B,
83,C,
84,C,
85,C,
86,D,
87,C,
88,C,
89,D,
90,C,
