question,answer,test
1,A,
2,A,
3,B,
4,D,
5,E,
6,E,
7,E,
8,E,
9,E,
10,A,
11,C,
12,E,
13,B,
14,C,
15,E,
16,B,
17,D,
18,B,
19,D,
20,D,
21,C,
22,C,
23,D,
24,D,
25,A,
26,E,
27,C,
28,A,
29,B,
30,E,
31,E,
32,E,
33,C,
34,D,
35,A,
36,C,
37,E,
38,A,
39,D,
40,A,
41,E,
42,E,
43,E,
44,C,
45,A,
46,E,
47,E,
48,D,
49,A,
50,B,
51,A,
52,E,
53,B,
54,C,
55,B,
56,A,
57,E,
58,E,
59,A,
60,B,
61,D,
62,C,
63,D,
64,C,
65,D,
66,C,
67,D,
68,D,
69,A,
70,B,
71,E,
72,C,
73,E,
74,E,
75,B,
76,E,
77,B,
78,A,
79,C,
80,B,
81,B,
82,A,
83,C,
84,E,
85,D,
86,A,
87,B,
88,E,
89,C,
90,C,
