question,answer,test
1,C,
2,D,
3,E,
4,A,
5,B,
6,C,
7,D,
8,D,
9,B,
10,B,
11,B,
12,C,
13,B,
14,D,
15,A,
16,B,
17,C,
18,A,
19,E,
20,E,
21,B,
22,E,
23,D,
24,B,
25,C,
26,C,
27,B,
28,E,
29,B,
30,A,
31,B,
32,E,
33,A,
34,C,
35,B,
36,A,
37,C,
38,A,
39,C,
40,C,
41,A,
42,C,
43,C,
44,A,
45,C,
46,B,
47,E,
48,B,
49,D,
50,A,
51,B,
52,C,
53,B,
54,B,
55,A,
56,C,
57,B,
58,E,
59,D,
60,A,
61,A,
62,B,
63,E,
64,C,
65,D,
66,A,
67,A,
68,E,
69,B,
70,C,
71,B,
72,C,
73,D,
74,B,
75,A,
76,A,
77,B,
78,C,
79,E,
80,C,
81,D,
82,A,
83,E,
84,B,
85,D,
86,B,
87,A,
88,A,
89,D,
90,B,
