CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
74;CN;57922;A;16;0;;1.4166;0.54418;0.11396;Branco;133;
87;CN;58005;A;28;0;;2.93646;-0.44097;0.11813;Branco;133;
101;LC;58193;C;16;0;;1.36373;1.15475;0.12693;Amarelo;125;
99;LC;58193;C;16;0;;1.36373;1.15475;0.12693;Cinza;126;
99;LC;58193;C;16;0;;1.36373;1.15475;0.12693;Azul;127;
103;LC;58193;C;16;0;;1.36373;1.15475;0.12693;Rosa;128;
76;CN;58433;E;12;0;;1.16192;0.57173;0.06736;Branco;133;
113;LC;59041;B;16;0;;1.01513;1.09347;0.05916;Amarelo;125;
110;LC;59041;B;16;0;;1.01513;1.09347;0.05916;Cinza;126;
115;LC;59041;B;16;0;;1.01513;1.09347;0.05916;Rosa;128;
113;LC;59041;B;16;0;;1.01513;1.09347;0.05916;Azul;127;
104;LC;59047;A;12;0;;2.41737;0.3578;0.37829;Cinza;135;
115;LC;59053;D;23;0;;1.37445;-0.03088;0.07084;Azul;127;
112;LC;59053;D;23;0;;1.37445;-0.03088;0.07084;Cinza;126;
111;LC;59053;D;23;0;;1.37445;-0.03088;0.07084;Rosa;128;
115;LC;59053;D;23;0;;1.37445;-0.03088;0.07084;Amarelo;125;
92;LC;59061;E;6;0;;1.83982;-0.14281;0.16056;Cinza;135;1
119;LC;59073;C;24;0;;1.88668;0.51902;0.19895;Cinza;135;
109;LC;59146;E;23;0;;1.60467;-0.46437;0.13861;Azul;127;
108;LC;59146;E;23;0;;1.60467;-0.46437;0.13861;Cinza;126;
106;LC;59146;E;23;0;;1.60467;-0.46437;0.13861;Amarelo;125;
105;LC;59146;E;23;0;;1.60467;-0.46437;0.13861;Rosa;128;
105;LC;59158;A;18;0;;2.10932;0.31152;0.13545;Cinza;126;
109;LC;59158;A;18;0;;2.10932;0.31152;0.13545;Amarelo;125;
108;LC;59158;A;18;0;;2.10932;0.31152;0.13545;Rosa;128;
106;LC;59158;A;18;0;;2.10932;0.31152;0.13545;Azul;127;
106;LC;59160;E;23;0;;1.64488;0.44953;0.11816;Cinza;135;
80;CN;59227;B;29;0;;2.38181;0.53674;0.21637;Branco;133;
63;CN;59277;E;22;0;;1.14962;2.57131;0.11924;Amarelo;122;
67;CN;59277;E;22;0;;1.14962;2.57131;0.11924;Branco;123;
64;CN;59277;E;22;0;;1.14962;2.57131;0.11924;Rosa;124;
67;CN;59277;E;22;0;;1.14962;2.57131;0.11924;Azul;121;
71;CN;59323;E;27;0;;2.65373;-0.25868;0.06743;Branco;133;
72;CN;59346;B;6;0;;0.86647;1.37055;0.07651;Branco;133;
95;LC;59556;A;8;0;;2.08909;0.50623;0.2154;Cinza;135;1
114;LC;59582;C;16;0;;2.19629;2.44452;0.13754;Cinza;135;
102;LC;59583;D;17;0;;1.82576;0.74516;0.1882;Azul;127;
101;LC;59583;D;17;0;;1.82576;0.74516;0.1882;Cinza;126;
100;LC;59583;D;17;0;;1.82576;0.74516;0.1882;Rosa;128;
98;LC;59583;D;17;0;;1.82576;0.74516;0.1882;Amarelo;125;
121;LC;59586;B;25;0;;1.76722;0.03687;0.12587;Cinza;135;
102;LC;59604;D;12;0;;1.27481;-0.29353;0.12459;Cinza;135;
127;LC;59702;B;28;0;;2.0184;0.52632;0.12131;Cinza;135;
111;LC;70012;A;1;0;;1.26532;0.27696;0.17019;Azul;127;
114;LC;70012;A;1;0;;1.26532;0.27696;0.17019;Cinza;126;
114;LC;70012;A;1;0;;1.26532;0.27696;0.17019;Rosa;128;
112;LC;70012;A;1;0;;1.26532;0.27696;0.17019;Amarelo;125;
93;LC;70028;E;7;0;;3.10614;0.26757;0.20257;Cinza;135;0
159;MT;70034;A;23;0;;2.87279;1.68092;0.16149;Azul;131;
160;MT;70034;A;23;0;;2.87279;1.68092;0.16149;Amarelo;129;
156;MT;70034;A;23;0;;2.87279;1.68092;0.16149;Rosa;132;
160;MT;70034;A;23;0;;2.87279;1.68092;0.16149;Cinza;130;
142;MT;70038;E;2;0;;1.56364;2.07818;0.11765;Cinza;136;
82;CN;70044;D;1;0;;0.85761;2.75834;0.17474;Branco;133;
56;CN;70052;C;21;0;;1.50263;0.97069;0.13153;Azul;121;
54;CN;70052;C;21;0;;1.50263;0.97069;0.13153;Rosa;124;
52;CN;70052;C;21;0;;1.50263;0.97069;0.13153;Branco;123;
57;CN;70052;C;21;0;;1.50263;0.97069;0.13153;Amarelo;122;
171;MT;70053;D;16;0;;1.81642;1.0908;0.24672;Amarelo;129;
168;MT;70053;D;16;0;;1.81642;1.0908;0.24672;Rosa;132;
167;MT;70053;D;16;0;;1.81642;1.0908;0.24672;Cinza;130;
166;MT;70053;D;16;0;;1.81642;1.0908;0.24672;Azul;131;
76;CN;70057;E;3;0;;1.33898;0.81039;0.11803;Azul;121;
79;CN;70057;E;3;0;;1.33898;0.81039;0.11803;Branco;123;
80;CN;70057;E;3;0;;1.33898;0.81039;0.11803;Amarelo;122;
