CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;CH;67718;E;16;0;;2.55238;0.46672;0.26522;Azul;195;;
2;CH;24323;C;5;0;;1.78029;0.86701;0.2147;Azul;195;;
3;CH;59956;B;29;0;;1.17717;3.04416;0.10704;Azul;195;;
4;CH;49310;D;4;0;;0.92824;1.73009;0.1265;Azul;195;;
5;CH;46855;A;20;0;;2.2357;0.85492;0.15776;Azul;195;;
6;CH;67994;D;8;0;;3.08701;1.4265;0.14773;Azul;195;;
7;CH;25276;A;18;0;;1.18532;0.01861;0.2096;Azul;195;;
8;CH;59833;D;3;0;;3.59227;0.50242;0.26104;Azul;195;;
9;CH;63625;E;17;0;;2.73114;1.10084;0.1605;Azul;195;;
10;CH;54201;C;18;0;;3.15175;0.77756;0.32448;Azul;195;;
11;CH;25454;A;24;0;;2.31205;0.41073;0.18311;Azul;195;;
12;CH;30991;A;23;0;;2.10172;0.70392;0.15742;Azul;195;;
13;CH;25354;B;26;0;;0.89886;0.64478;0.23257;Azul;195;;
14;CH;24800;B;12;0;;3.09471;0.52391;0.1787;Azul;195;;
15;CH;11476;E;11;0;;1.61838;2.20531;0.22184;Azul;195;;
16;CH;42142;C;5;0;;2.49341;0.82321;0.18585;Azul;195;;
17;CH;44452;B;22;0;;0.34104;0.60682;0.16604;Azul;195;;
18;CH;49583;C;11;0;;1.72415;0.43534;0.013;Azul;195;;
19;CH;24631;C;4;0;;3.64335;0.41592;0.21298;Azul;195;;
20;CH;55791;E;27;0;;1.38636;0.82831;0.06684;Azul;195;;
21;CH;38143;A;13;0;;1.21691;-0.05997;0.20758;Azul;195;;
22;CH;15260;D;27;0;;2.60708;2.30179;0.14975;Azul;195;;
23;CH;56013;B;7;0;;2.88684;0.37426;0.27551;Azul;195;;
24;CH;63472;A;1;0;;1.4864;0.78624;0.0483;Azul;195;;
25;CH;66217;B;1;0;;1.64831;1.90451;0.09338;Azul;195;;
26;CH;54668;D;6;0;;2.85822;1.20972;0.1217;Azul;195;;
27;CH;63269;E;19;0;;2.0277;1.48294;0.15376;Azul;195;;
28;CH;24456;E;24;0;;1.35744;1.07;0.24935;Azul;195;;
29;CH;8831;C;15;0;;1.94892;2.27327;0.12949;Azul;195;;
30;CH;67091;A;25;0;;2.79763;0.6892;0.17227;Azul;195;;
31;CH;38733;A;2;0;;0.89558;2.01594;0.25981;Azul;195;;
32;CH;68462;D;10;0;;1.84372;1.40633;0.05687;Azul;195;;
33;CH;68887;E;10;0;;1.8402;1.23224;0.15407;Azul;195;;
34;CH;47424;C;28;0;;1.16371;1.90465;0.24597;Azul;195;;
35;CH;66895;E;29;0;;1.96287;1.96008;0.12172;Azul;195;;
36;CH;68255;D;6;0;;1.37171;1.33586;0.07794;Azul;195;;
37;CH;25323;C;9;0;;2.44388;1.16416;0.17099;Azul;195;;
38;CH;48878;E;30;0;;1.59948;2.30342;0.178;Azul;195;;
39;CH;67274;B;13;0;;2.20052;1.38117;0.13293;Azul;195;;
40;CH;26036;D;29;0;;2.55496;1.69571;0.07739;Azul;195;;
41;CH;37340;B;21;0;;2.65576;1.42138;0.17486;Azul;195;;
42;CH;68434;A;14;0;;2.35318;1.4709;0.20182;Azul;195;;
43;CH;55399;B;8;0;;4.04769;1.4331;0.1523;Azul;195;;
44;CH;54534;C;9;0;;2.85672;1.6576;0.08903;Azul;195;;
45;CH;24561;A;15;0;;1.28675;1.26525;0.19317;Azul;195;;
1;CH;67091;A;25;0;;2.79763;0.6892;0.17227;Amarelo;196;;
2;CH;38733;A;2;0;;0.89558;2.01594;0.25981;Amarelo;196;;
3;CH;68462;D;10;0;;1.84372;1.40633;0.05687;Amarelo;196;;
4;CH;68887;E;10;0;;1.8402;1.23224;0.15407;Amarelo;196;;
5;CH;25454;A;24;0;;2.31205;0.41073;0.18311;Amarelo;196;;
6;CH;30991;A;23;0;;2.10172;0.70392;0.15742;Amarelo;196;;
7;CH;25354;B;26;0;;0.89886;0.64478;0.23257;Amarelo;196;;
8;CH;24800;B;12;0;;3.09471;0.52391;0.1787;Amarelo;196;;
9;CH;11476;E;11;0;;1.61838;2.20531;0.22184;Amarelo;196;;
10;CH;38143;A;13;0;;1.21691;-0.05997;0.20758;Amarelo;196;;
11;CH;15260;D;27;0;;2.60708;2.30179;0.14975;Amarelo;196;;
12;CH;56013;B;7;0;;2.88684;0.37426;0.27551;Amarelo;196;;
13;CH;63472;A;1;0;;1.4864;0.78624;0.0483;Amarelo;196;;
14;CH;66217;B;1;0;;1.64831;1.90451;0.09338;Amarelo;196;;
15;CH;59956;B;29;0;;1.17717;3.04416;0.10704;Amarelo;196;;
16;CH;49310;D;4;0;;0.92824;1.73009;0.1265;Amarelo;196;;
17;CH;46855;A;20;0;;2.2357;0.85492;0.15776;Amarelo;196;;
18;CH;67994;D;8;0;;3.08701;1.4265;0.14773;Amarelo;196;;
19;CH;44452;B;22;0;;0.34104;0.60682;0.16604;Amarelo;196;;
20;CH;49583;C;11;0;;1.72415;0.43534;0.013;Amarelo;196;;
21;CH;24631;C;4;0;;3.64335;0.41592;0.21298;Amarelo;196;;
22;CH;55791;E;27;0;;1.38636;0.82831;0.06684;Amarelo;196;;
23;CH;67718;E;16;0;;2.55238;0.46672;0.26522;Amarelo;196;;
24;CH;24323;C;5;0;;1.78029;0.86701;0.2147;Amarelo;196;;
25;CH;47424;C;28;0;;1.16371;1.90465;0.24597;Amarelo;196;;
26;CH;66895;E;29;0;;1.96287;1.96008;0.12172;Amarelo;196;;
27;CH;68255;D;6;0;;1.37171;1.33586;0.07794;Amarelo;196;;
28;CH;24456;E;24;0;;1.35744;1.07;0.24935;Amarelo;196;;
29;CH;8831;C;15;0;;1.94892;2.27327;0.12949;Amarelo;196;;
30;CH;55399;B;8;0;;4.04769;1.4331;0.1523;Amarelo;196;;
31;CH;54534;C;9;0;;2.85672;1.6576;0.08903;Amarelo;196;;
32;CH;24561;A;15;0;;1.28675;1.26525;0.19317;Amarelo;196;;
33;CH;67274;B;13;0;;2.20052;1.38117;0.13293;Amarelo;196;;
34;CH;26036;D;29;0;;2.55496;1.69571;0.07739;Amarelo;196;;
35;CH;37340;B;21;0;;2.65576;1.42138;0.17486;Amarelo;196;;
36;CH;68434;A;14;0;;2.35318;1.4709;0.20182;Amarelo;196;;
37;CH;42142;C;5;0;;2.49341;0.82321;0.18585;Amarelo;196;;
38;CH;25323;C;9;0;;2.44388;1.16416;0.17099;Amarelo;196;;
39;CH;48878;E;30;0;;1.59948;2.30342;0.178;Amarelo;196;;
40;CH;54668;D;6;0;;2.85822;1.20972;0.1217;Amarelo;196;;
41;CH;63269;E;19;0;;2.0277;1.48294;0.15376;Amarelo;196;;
42;CH;25276;A;18;0;;1.18532;0.01861;0.2096;Amarelo;196;;
43;CH;59833;D;3;0;;3.59227;0.50242;0.26104;Amarelo;196;;
44;CH;63625;E;17;0;;2.73114;1.10084;0.1605;Amarelo;196;;
45;CH;54201;C;18;0;;3.15175;0.77756;0.32448;Amarelo;196;;
1;CH;25276;A;18;0;;1.18532;0.01861;0.2096;Branco;197;;
2;CH;59833;D;3;0;;3.59227;0.50242;0.26104;Branco;197;;
3;CH;63625;E;17;0;;2.73114;1.10084;0.1605;Branco;197;;
4;CH;54201;C;18;0;;3.15175;0.77756;0.32448;Branco;197;;
5;CH;67718;E;16;0;;2.55238;0.46672;0.26522;Branco;197;;
6;CH;24323;C;5;0;;1.78029;0.86701;0.2147;Branco;197;;
7;CH;44452;B;22;0;;0.34104;0.60682;0.16604;Branco;197;;
8;CH;49583;C;11;0;;1.72415;0.43534;0.013;Branco;197;;
9;CH;24631;C;4;0;;3.64335;0.41592;0.21298;Branco;197;;
10;CH;55791;E;27;0;;1.38636;0.82831;0.06684;Branco;197;;
11;CH;42142;C;5;0;;2.49341;0.82321;0.18585;Branco;197;;
12;CH;25454;A;24;0;;2.31205;0.41073;0.18311;Branco;197;;
13;CH;30991;A;23;0;;2.10172;0.70392;0.15742;Branco;197;;
14;CH;25354;B;26;0;;0.89886;0.64478;0.23257;Branco;197;;
15;CH;24800;B;12;0;;3.09471;0.52391;0.1787;Branco;197;;
16;CH;11476;E;11;0;;1.61838;2.20531;0.22184;Branco;197;;
17;CH;55399;B;8;0;;4.04769;1.4331;0.1523;Branco;197;;
18;CH;54534;C;9;0;;2.85672;1.6576;0.08903;Branco;197;;
19;CH;24561;A;15;0;;1.28675;1.26525;0.19317;Branco;197;;
20;CH;67274;B;13;0;;2.20052;1.38117;0.13293;Branco;197;;
21;CH;26036;D;29;0;;2.55496;1.69571;0.07739;Branco;197;;
22;CH;37340;B;21;0;;2.65576;1.42138;0.17486;Branco;197;;
23;CH;68434;A;14;0;;2.35318;1.4709;0.20182;Branco;197;;
24;CH;24456;E;24;0;;1.35744;1.07;0.24935;Branco;197;;
25;CH;8831;C;15;0;;1.94892;2.27327;0.12949;Branco;197;;
26;CH;25323;C;9;0;;2.44388;1.16416;0.17099;Branco;197;;
27;CH;48878;E;30;0;;1.59948;2.30342;0.178;Branco;197;;
28;CH;54668;D;6;0;;2.85822;1.20972;0.1217;Branco;197;;
29;CH;63269;E;19;0;;2.0277;1.48294;0.15376;Branco;197;;
30;CH;59956;B;29;0;;1.17717;3.04416;0.10704;Branco;197;;
31;CH;49310;D;4;0;;0.92824;1.73009;0.1265;Branco;197;;
32;CH;46855;A;20;0;;2.2357;0.85492;0.15776;Branco;197;;
33;CH;67994;D;8;0;;3.08701;1.4265;0.14773;Branco;197;;
34;CH;47424;C;28;0;;1.16371;1.90465;0.24597;Branco;197;;
35;CH;66895;E;29;0;;1.96287;1.96008;0.12172;Branco;197;;
36;CH;68255;D;6;0;;1.37171;1.33586;0.07794;Branco;197;;
37;CH;38143;A;13;0;;1.21691;-0.05997;0.20758;Branco;197;;
38;CH;15260;D;27;0;;2.60708;2.30179;0.14975;Branco;197;;
39;CH;56013;B;7;0;;2.88684;0.37426;0.27551;Branco;197;;
40;CH;63472;A;1;0;;1.4864;0.78624;0.0483;Branco;197;;
41;CH;66217;B;1;0;;1.64831;1.90451;0.09338;Branco;197;;
42;CH;67091;A;25;0;;2.79763;0.6892;0.17227;Branco;197;;
43;CH;38733;A;2;0;;0.89558;2.01594;0.25981;Branco;197;;
44;CH;68462;D;10;0;;1.84372;1.40633;0.05687;Branco;197;;
45;CH;68887;E;10;0;;1.8402;1.23224;0.15407;Branco;197;;
1;CH;25454;A;24;0;;2.31205;0.41073;0.18311;Rosa;198;;
2;CH;30991;A;23;0;;2.10172;0.70392;0.15742;Rosa;198;;
3;CH;25354;B;26;0;;0.89886;0.64478;0.23257;Rosa;198;;
4;CH;24800;B;12;0;;3.09471;0.52391;0.1787;Rosa;198;;
5;CH;11476;E;11;0;;1.61838;2.20531;0.22184;Rosa;198;;
6;CH;67091;A;25;0;;2.79763;0.6892;0.17227;Rosa;198;;
7;CH;38733;A;2;0;;0.89558;2.01594;0.25981;Rosa;198;;
8;CH;68462;D;10;0;;1.84372;1.40633;0.05687;Rosa;198;;
9;CH;68887;E;10;0;;1.8402;1.23224;0.15407;Rosa;198;;
10;CH;38143;A;13;0;;1.21691;-0.05997;0.20758;Rosa;198;;
11;CH;15260;D;27;0;;2.60708;2.30179;0.14975;Rosa;198;;
12;CH;56013;B;7;0;;2.88684;0.37426;0.27551;Rosa;198;;
13;CH;63472;A;1;0;;1.4864;0.78624;0.0483;Rosa;198;;
14;CH;66217;B;1;0;;1.64831;1.90451;0.09338;Rosa;198;;
15;CH;47424;C;28;0;;1.16371;1.90465;0.24597;Rosa;198;;
16;CH;66895;E;29;0;;1.96287;1.96008;0.12172;Rosa;198;;
17;CH;68255;D;6;0;;1.37171;1.33586;0.07794;Rosa;198;;
18;CH;59956;B;29;0;;1.17717;3.04416;0.10704;Rosa;198;;
19;CH;49310;D;4;0;;0.92824;1.73009;0.1265;Rosa;198;;
20;CH;46855;A;20;0;;2.2357;0.85492;0.15776;Rosa;198;;
21;CH;67994;D;8;0;;3.08701;1.4265;0.14773;Rosa;198;;
22;CH;54668;D;6;0;;2.85822;1.20972;0.1217;Rosa;198;;
23;CH;63269;E;19;0;;2.0277;1.48294;0.15376;Rosa;198;;
24;CH;24456;E;24;0;;1.35744;1.07;0.24935;Rosa;198;;
25;CH;8831;C;15;0;;1.94892;2.27327;0.12949;Rosa;198;;
26;CH;67718;E;16;0;;2.55238;0.46672;0.26522;Rosa;198;;
27;CH;24323;C;5;0;;1.78029;0.86701;0.2147;Rosa;198;;
28;CH;25323;C;9;0;;2.44388;1.16416;0.17099;Rosa;198;;
29;CH;48878;E;30;0;;1.59948;2.30342;0.178;Rosa;198;;
30;CH;25276;A;18;0;;1.18532;0.01861;0.2096;Rosa;198;;
31;CH;59833;D;3;0;;3.59227;0.50242;0.26104;Rosa;198;;
32;CH;63625;E;17;0;;2.73114;1.10084;0.1605;Rosa;198;;
33;CH;54201;C;18;0;;3.15175;0.77756;0.32448;Rosa;198;;
34;CH;67274;B;13;0;;2.20052;1.38117;0.13293;Rosa;198;;
35;CH;26036;D;29;0;;2.55496;1.69571;0.07739;Rosa;198;;
36;CH;37340;B;21;0;;2.65576;1.42138;0.17486;Rosa;198;;
37;CH;68434;A;14;0;;2.35318;1.4709;0.20182;Rosa;198;;
38;CH;42142;C;5;0;;2.49341;0.82321;0.18585;Rosa;198;;
39;CH;55399;B;8;0;;4.04769;1.4331;0.1523;Rosa;198;;
