CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;TP_VERSAO_DIGITAL
26;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;LARANJA - BRAILE;623;;1;
43;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;BRANCA;620;;0;
26;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;LARANJA;624;;1;
26;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;ROSA;619;;0;
41;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;AZUL;617;;0;
26;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;LARANJA - BRAILE;663;;1;
41;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;AZUL;657;;0;
16;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;AMARELA;618;;0;
26;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;LARANJA;664;;1;
16;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;AMARELA;658;;0;
26;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;ROSA;659;;0;
43;LC;7099;D;15;0;;1.33337;-0.37357;0.00658;BRANCA;660;;0;
42;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;ROSA;694;;0;0
29;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;AZUL;691;;0;0
11;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;BRANCA;693;;0;0
20;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;BRANCA;693;;0;1
32;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;AMARELA;692;;0;0
29;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;AZUL;691;;0;1
6;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;AMARELA;692;;0;1
24;LC;7150;A;19;0;;0.74573;-0.31056;0.20127;ROSA;694;;0;1
13;LC;7228;C;14;0;;2.24633;0.60648;0.20215;AZUL;617;;0;
13;LC;7228;C;14;0;;2.24633;0.60648;0.20215;AZUL;657;;0;
24;LC;7228;C;14;0;;2.24633;0.60648;0.20215;BRANCA;620;;0;
44;LC;7228;C;14;0;;2.24633;0.60648;0.20215;LARANJA;664;;1;
44;LC;7228;C;14;0;;2.24633;0.60648;0.20215;ROSA;659;;0;
44;LC;7228;C;14;0;;2.24633;0.60648;0.20215;LARANJA - BRAILE;663;;1;
24;LC;7228;C;14;0;;2.24633;0.60648;0.20215;BRANCA;660;;0;
10;LC;7228;C;14;0;;2.24633;0.60648;0.20215;AMARELA;618;;0;
10;LC;7228;C;14;0;;2.24633;0.60648;0.20215;AMARELA;658;;0;
44;LC;7228;C;14;0;;2.24633;0.60648;0.20215;ROSA;619;;0;
