question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_HABILIDADE,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
QUESTÃO 01,"As autoridades de Kiribati, arquipélago do Oceano Pacífico formado por 33 atóis e uma ilha de coral, estão conscientizando sua população para que aceitem que, nas próximas décadas, terão de fugir do país. A estimativa é que, em um período de 50 anos, as ilhas podem desaparecer. O governo convocou os líderes de todas as ilhas para convencê-los da importância de mudar a mentalidade das pessoas, com pleno conhecimento que é uma questão muito sensível porque ameaça a própria identidade de um país. Kiribati já antecipou convênios com Austrália e Nova Zelândia para enviar seus cidadãos aos países vizinhos, algo que muitos dos moradores do arquipélago não aceitam. No texto, faz-se referência a um problema que se tornou um tema recorrente na agenda global. Nesse sentido, a preocupação apresentada pela população de Kiribati fundamenta-se na previsão de","submersão de terras habitadas, decorrente da elevação do nível do mar.","ocorrência de tsunamis , derivada de mudanças no eixo de rotação do planeta.","erupções vulcânicas frequentes, visto que estão assentados sobre o Círculo do Fogo.","terremotos com magnitude extrema, devido à proximidade de bordas de placas tectônicas.","furacões de grande intensidade, em função de redução da temperatura média do Oceano Pacífico.",2015,1,CH,A,portuguese,,2.49222,-0.05818,0.2057,273
QUESTÃO 02,"Energia de Noronha virá da força das águas A energia de Fernando de Noronha virá do mar, do ar, do sol e até do lixo produzido por seus moradores e visitantes. É o que promete o projeto de substituição da matriz energética da ilha, que prevê a troca dos geradores atuais, que consomem 310 mil litros de diesel por mês. No texto, está apresentada a nova matriz energética do Parque Nacional Marinho de Fernando de Noronha. A escolha por essa nova matriz prioriza o(a)","expansão da oferta de energia, para aumento da atividade turística.","uso de fontes limpas, para manutenção das condições ecológicas da região.","barateamento dos custos energéticos, para estímulo da ocupação permanente.","desenvolvimento de unidades complementares, para solução da carência energética local.","diminuição dos gastos operacionais de transporte, para superação da distância do continente.",2015,2,CH,B,portuguese,,3.41151,0.57673,0.19108,273
QUESTÃO 03,"No livro Por uma outra globalização , Milton Santos escreve: Falava-se, antes, de autonomia da produção para significar que uma empresa, ao assegurar uma produção, buscava também manipular a opinião pela via da publicidade. Nesse caso, o fato gerador do consumo seria a produção. Mas, atualmente, as empresas hegemônicas produzem o consumidor antes mesmo de produzirem os produtos. Um dado essencial do entendimento do consumo é que a produção do consumidor, hoje, precede a produção dos bens e dos serviços. O tipo de relação entre produção e consumo discutido no texto pressupõe o(a)",aumento do poder aquisitivo.,estímulo à livre concorrência.,criação de novas necessidades.,formação de grandes estoques.,implantação de linhas de montagem.,2015,3,CH,C,portuguese,,1.93621,0.68272,0.18356,273
QUESTÃO 04,"Descrição da imagem: Cartum composto por três quadrinhos: no primeiro quadrinho, um homem cadeirante segura um jornal com a palavra “emprego” em destaque. No segundo quadrinho, o homem, sorridente, movimenta-se com a cadeira de rodas, segurando um pedaço de papel com a mão direita. No terceiro quadrinho, ele está perplexo e parado em frente a um cartaz com os dizeres: “Vagas para deficientes”. Na parte de baixo do cartaz, está escrito “Entre” em uma seta que aponta para uma escada. O cartum evidencia um desafio que o tema da inclusão social impõe às democracias contemporâneas. Esse desafio exige a combinação entre",participação política e formação profissional diferenciada.,exercício da cidadania e políticas de transferência de renda.,modernização das leis e ampliação do mercado de trabalho.,universalização de direitos e reconhecimento das diferenças.,crescimento econômico e flexibilização dos processos seletivos.,2015,4,CH,D,portuguese,,1.30403,0.3666,0.21187,273
QUESTÃO 05,"Confidência do itabirano De Itabira trouxe prendas diversas que ora te ofereço: esta pedra de ferro, futuro aço do Brasil;este São Benedito do velho santeiro Alfredo Durval;este couro de anta, estendido no sofá de visitas; este orgulho, esta cabeça baixa. Tive ouro, tive gado, tive fazendas. Hoje sou funcionário público. Itabira é apenas uma fotografia na parede. Mas como dói. O poeta Carlos Drummond de Andrade pensa a região como lugar, pleno de afetos. A longa história da ocupação de Minas Gerais, iniciada com a mineração, deixou marcas que se atualizam em Itabira, pequena cidade onde nasceu o poeta. Nesse sentido, a evocação poética indica o(a)",pujança da natureza resistindo à ação humana.,sentido de continuidade do progresso.,cidade como imagem positiva da identidade mineira.,percepção da cidade como paisagem da memória.,valorização do processo de ocupação da região.,2015,5,CH,D,portuguese,,1.17246,0.65825,0.18784,273
QUESTÃO 06,"Na obra Política , Aristóteles escreve: A utilidade do escravo é semelhante à do animal. Ambos prestam serviços corporais para atender às necessidades da vida. A natureza faz o corpo do escravo e do homem livre de forma diferente. O escravo tem corpo forte, adaptado naturalmente ao trabalho servil. Já o homem livre tem corpo ereto, inadequado ao trabalho braçal, porém apto à vida do cidadão. O trabalho braçal é considerado, na filosofia aristotélica, como",indicador da imagem do homem no estado de natureza.,condição necessária para a realização da virtude humana.,atividade que exige força física e uso limitado da racionalidade.,referencial que o homem deve seguir para viver uma vida ativa.,mecanismo de aperfeiçoamento do trabalho por meio da experiência.,2015,6,CH,C,portuguese,,0.94434,0.37485,0.22738,273
QUESTÃO 07,"No livro O povo brasileiro , Darcy Ribeiro escreve: É simplesmente espantoso que esses núcleos tão desiguais e tão diferentes se tenham mantido aglutinados numa só nação. Durante o período colonial, cada um deles teve relação direta com a metrópole. Ocorreu o extraordinário, fizemos um povo-nação, englobando todas aquelas províncias ecológicas numa só entidade cívica e política. Após a conquista da autonomia, a questão primordial do Brasil residia em como garantir sua unidade político-territorial diante das características e práticas herdadas da colonização. Relacionando o projeto de independência à construção do Estado nacional brasileiro, a sua particularidade decorreu da","ordenação de um pacto que reconheceu os direitos políticos aos homens, independentemente de cor, sexo ou religião.",estruturação de uma sociedade que adotou os privilégios de nascimento como critério de hierarquização social.,"realização de acordos entre as elites regionais, que evitou confrontos armados contrários ao projeto luso-brasileiro.","concessão da autonomia política regional, que atendeu aos interesses socioeconômicos dos grandes proprietários.","afirmação de um regime constitucional monárquico, que garantiu a ordem associada à permanência da escravidão.",2015,7,CH,E,portuguese,,2.179,1.787,0.073,273
QUESTÃO 08,"Descrição da imagem: Charge que mostra um aglomerado de casas simples, no alto de um morro. No local não existe planejamento urbano nem saneamento básico. O esgoto é lançado diretamente numa vala que passa bem próximo às casas. Em destaque estão três personagens: a mãe e dois filhos, um deles está brincando dentro da vala. De dentro de uma das casas a mãe liga de seu aparelho celular para o filho que está na outra margem da vala: - Alô, filho, tire seu irmão da vala negra. O filho, ao celular, responde: - Sim, mãe. As novas tecnologias foram massificadas, alcançando e impactando de diferentes formas os lugares. A ironia proposta pela charge indica que o acesso à tecnologia está",vinculado a mudanças na paisagem.,garantido de forma equitativa aos cidadãos.,priorizado para resolver as desigualdades.,relacionado a uma ação redentora na vida social.,dissociado de revoluções na realidade socioespacial.,2015,8,CH,E,portuguese,,2.6852,1.48248,0.16279,273
QUESTÃO 09,"No livro Costumes em comum , Edward Thompson escreve: Se vamos ter mais tempo de lazer no futuro automatizado, o problema não é como as pessoas vão consumir essas unidades adicionais de tempo de lazer, mas que capacidade para a experiência terão as pessoas com esse tempo livre. Mas se a notação útil do emprego do tempo se torna menos compulsiva, as pessoas talvez tenham de reaprender algumas das artes de viver que foram perdidas na Revolução Industrial: como preencher os interstícios de seu dia com relações sociais e pessoais; como derrubar mais uma vez as barreiras entre o trabalho e a vida. A partir da reflexão do historiador, um argumento contrário à transformação promovida pela Revolução Industrial na relação dos homens com o uso do tempo livre é o(a)",intensificação da busca do lucro econômico.,flexibilização dos períodos de férias trabalhistas.,esquecimento das formas de sociabilidade tradicionais.,aumento das oportunidades de confraternização familiar.,multiplicação das possibilidades de entretenimento virtual.,2015,9,CH,C,portuguese,,1.51407,1.3896,0.21081,273
QUESTÃO 10,"A razão principal que leva o capitalismo como sistema a ser tão terrivelmente destrutivo da biosfera é que, na maioria dos casos, os produtores que lucram com a destruição não a registram como um custo de produção, mas sim, precisamente ao contrário, como uma redução no custo. Por exemplo, se um produtor joga lixo em um rio, poluindo suas águas, esse produtor considera que está economizando o custo de outros métodos mais seguros, porém mais caros de dispor do lixo. A pressão dos movimentos socioambientais, na tentativa de reverter a lógica descrita no texto, aponta para a",emergência de um sistema econômico global que secundariza os lucros.,redução dos custos de tratamento de resíduos pela isenção fiscal das empresas.,flexibilização do trabalho como estratégia positiva de corte de custos empresariais.,incorporação de um sistema normativo ambiental no processo de produção industrial.,minimização do papel do Estado em detrimento das organizações não governamentais.,2015,10,CH,D,portuguese,,1.37383,1.01427,0.17713,273
