question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_PROVA
QUESTÃO 46,"Na natureza a matéria é constantemente transformada por meio dos ciclos biogeoquímicos. Além do ciclo da água, existem os ciclos do carbono, do enxofre, do fósforo, do nitrogênio e do oxigênio. O elemento que está presente em todos os ciclos nomeados é o",fósforo.,enxofre.,carbono.,oxigênio.,nitrogênio.,2015,46,CN,D,portuguese,277
QUESTÃO 47,"Bioindicador ou indicador biológico é uma espécie ou grupo de espécies que reflete o estado biótico ou abiótico de um meio ambiente, o impacto produzido sobre um hábitat, comunidade ou ecossistema, entre outras funções. A posição trófica do organismo bioindicador é uma das características mais relevantes quanto ao seu grau de importância para essa função: quanto mais baixo o nível trófico do organismo, maior é a sua utilidade, pois pressupõe-se que toda a cadeia trófica é contaminada a partir dele. O grupo de organismos mais adequado para essa condição, do ponto de vista da sua posição na cadeia trófica, é constituído por",algas.,peixes.,baleias.,camarões.,anêmonas.,2015,47,CN,A,portuguese,277
QUESTÃO 48,"Durante uma aula experimental de física, os estudantes construíram um sistema ressonante com pêndulos simples. As características de cada pêndulo são apresentadas no quadro. Inicialmente, os estudantes colocaram apenas o pêndulo A para oscilar. Descrição da imagem: Quadro apresenta três colunas: na primeira coluna, estão representados os pêndulos a serem estudados. Na segunda coluna, suas respectivas massas. E na terceira coluna, os comprimentos do barbante. O pêndulo A tem mass a M e comprimento L. O pêndulo 1 tem massa M e comprimento L.O pêndulo 2 tem massa M sobre 2 e comprimento 2 L.O pêndulo 3 tem massa 2 M e comprimento L sobre 2. O pêndulo 4 tem massa M sobre 2 e comprimento L sobre 2. O pêndulo 5 tem massa de 2 M e comprimento L. Quais pêndulos, além desse, passaram também a oscilar?","1, 2, 3, 4 e 5.","1, 2 e 3.",1 e 4.,1 e 5.,3 e 4.,2015,48,CN,D,portuguese,277
QUESTÃO 49,"Descrição da imagem: Esquema que representa um ciclo no qual as moléculas de C6H12O6 e de CO2 estão relacionadas por processos identificados pelas setas 1 e 2. A seta de número 1 parte da molécula de C6H12O6 e chega à molécula de CO2. Já a seta de número 2, parte da molécula de CO2 e chega à molécula de C6H12O6. No esquema representado, o processo identificado pelo número 2 é realizado por",seres herbívoros.,fungos fermentadores.,bactérias heterótrofas.,organismos produtores.,microrganismos decompositores. ,2015,49,CN,D,portuguese,277
QUESTÃO 50,"Para irrigar sua plantação, um produtor rural construiu um reservatório a 20 metros de altura a partir da barragem de onde será bombeada a água. Para alimentar o motor elétrico das bombas, ele instalou um painel fotovoltaico. A potência do painel varia de acordo com a incidência solar, chegando a um valor de pico de 80 watts ao meio-dia. Porém, entre as 11 horas e 30 minutos e as 12 horas e 30 minutos, disponibiliza uma potência média de 50 watts. Considere a aceleração da gravidade igual a 10 metros por segundo ao quadrado e uma eficiência de transferência energética de 100 por cento. Qual é o volume de água, em litros, bombeado para o reservatório no intervalo de tempo citado?",150,250,450,900,1 440,2015,50,CN,D,portuguese,277
QUESTÃO 51,"A fotografia feita sob luz polarizada é usada por dermatologistas para diagnósticos. Isso permite ver detalhes da superfície da pele que não são visíveis com o reflexo da luz branca comum. Para se obter luz polarizada, pode-se utilizar a luz transmitida por um polaroide ou a luz refletida por uma superfície na condição de Brewster, como mostra a figura. Nessa situação, o feixe da luz refratada forma um ângulo de 90 graus com o feixe da luz refletida, fenômeno conhecido como Lei de Brewster. Nesse caso, o ângulo de incidência teta p, também chamado de ângulo de polarização, e o ângulo de refração teta r estão em conformidade com a Lei de Snell. Descrição da imagem: Esquema que apresenta um raio de luz não polarizado incidindo sobre a superfície de uma lâmina com um ângulo de incidência teta p. Parte do raio sofre reflexão e torna-se totalmente polarizado. O ângulo de reflexão é idêntico ao ângulo de incidência. A outra parte do raio sofre refração e torna-se parcialmente polarizado. O ângulo de refração é igual a teta r. Dado: Seno de 30 graus igual a cosseno de 60 graus igual a um meio. Seno de 60 graus igual a cosseno de 30 graus igual a abre parêntese raiz de 3 fecha parêntese sobre 2. Considere um feixe de luz não polarizada proveniente de um meio com índice de refração igual a 1, que incide sobre uma lâmina e faz um ângulo de refração teta r de 30 graus. Nessa situação, qual deve ser o índice de refração da lâmina para que o feixe refletido seja polarizado?",Raiz de 3,Abre parêntese raiz de 3 fecha parêntese sobre 3,2,Um meio,Abre parêntese raiz de 3 fecha parêntese sobre 2  ,2015,51,CN,A,portuguese,277
QUESTÃO 52,"A toxina botulínica (produzida pelo bacilo Clostridium botulinum ) pode ser encontrada em alimentos malconservados, causando até a morte de consumidores. No entanto, essa toxina modificada em laboratório está sendo usada cada vez mais para melhorar a qualidade de vida das pessoas com problemas físicos e/ou estéticos, atenuando problemas como o blefaroespasmo, que provoca contrações involuntárias das pálpebras. O alívio dos sintomas do blefaroespasmo é consequência da ação da toxina modificada sobre o tecido","glandular, uma vez que ela impede a produção de secreção de substâncias na pele.","muscular, uma vez que ela provoca a paralisia das fibras que formam esse tecido.","epitelial, uma vez que ela leva ao aumento da camada de queratina que protege a pele.","conjuntivo, uma vez que ela aumenta a quantidade de substância intercelular no tecido.","adiposo, uma vez que ela reduz a espessura da camada de células de gordura do tecido.",2015,52,CN,B,portuguese,277
QUESTÃO 53,"A cafeína é um alcaloide, identificado como 1,3,7-trimetilxantina (massa molar igual a 194 gramas por mol), cuja estrutura química contém uma unidade de purina, conforme representado. Esse alcaloide é encontrado em grande quantidade nas sementes de café e nas folhas de chá-verde. Uma xícara de café contém, em média, 80 miligramas de cafeína. Considerando que a xícara descrita contém um volume de 200 mililitros de café, a concentração, em mol por litro, de cafeína nessa xícara é mais próxima de:","0,0004.","0,002.","0,4.",2.,4.,2015,53,CN,B,portuguese,277
QUESTÃO 54,"A reprodução vegetativa de plantas por meio de estacas é um processo natural. O homem, observando esse processo, desenvolveu uma técnica para propagar plantas em escala comercial. A base genética dessa técnica é semelhante àquela presente no(a)",transgenia.,clonagem.,hibridização.,controle biológico.,melhoramento genético.,2015,54,CN,B,portuguese,277
QUESTÃO 55,"O acúmulo de plásticos na natureza pode levar a impactos ambientais negativos, tanto em ambientes terrestres quanto aquáticos. Uma das formas de minimizar esse problema é a reciclagem, para a qual é necessária a separação dos diferentes tipos de plásticos. Em um processo de separação foi proposto o seguinte procedimento: I. Coloque a mistura de plásticos picados em um tanque e acrescente água até a metade da sua capacidade. II. Mantenha essa mistura em repouso por cerca de 10 minutos. III. Retire os pedaços que flutuaram e transfira-os para outro tanque com uma solução de álcool. IV. Coloque os pedaços sedimentados em outro tanque com solução de sal e agite bem. Qual propriedade da matéria possibilita a utilização do procedimento descrito?",Massa.,Volume.,Densidade.,Porosidade.,Maleabilidade.  ,2015,55,CN,C,portuguese,277
