question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 46,"Portadores de diabetes insipidus reclamam da confusão feita pelos proﬁssionais da saúde quanto aos dois tipos de diabetes: mellitus e insipidus . Enquanto o primeiro tipo está associado aos níveis ou à ação da insulina, o segundo não está ligado à deﬁciência desse hormônio. O diabetes insipidus é caracterizado por um distúrbio na produção ou no funcionamento do hormônio antidiurético (na sigla em inglês, ADH), secretado pela neuro-hipóﬁse para controlar a reabsorção de água pelos túbulos renais. Tendo em vista o papel funcional do ADH, qual é um sintoma clássico de um paciente acometido por diabetes insipidus ?",Alta taxa de glicose no sangue.,Aumento da pressão arterial.,Ganho de massa corporal.,Anemia crônica.,Desidratação.,2016,46,CN,E,portuguese
QUESTÃO 47,"A magnetohipertermia é um procedimento terapêutico que se baseia na elevação da temperatura das células de uma região especíﬁca do corpo que estejam afetadas por um tumor. Nesse tipo de tratamento, nanopartículas magnéticas são fagocitadas pelas células tumorais, e um campo magnético alternado externo é utilizado para promover a agitação das nanopartículas e consequente aquecimento da célula. A elevação de temperatura descrita ocorre porque",o campo magnético gerado pela oscilação das nanopartículas é absorvido pelo tumor.,"o campo magnético alternado faz as nanopartículas girarem, transferindo calor por atrito.","as nanopartículas interagem magneticamente com as células do corpo, transferindo calor.",o campo magnético alternado fornece calor para as nanopartículas que o transfere às células do corpo.,"as nanopartículas são aceleradas em um único sentido em razão da interação com o campo magnético, fazendo-as colidir com as células e transferir calor.",2016,47,CN,B,portuguese
QUESTÃO 48,"Pesticidas são produtos usados para controlar pragas. A segurança ao lidar, misturar, aplicar e guardar esses produtos é muito importante para evitar envenenamentos. A toxicidade aguda (oral ou dermal) é medida pela LD 50 (do inglês, letal dose ), que representa a dose letal para 50 por cento de uma população. A dose é geralmente expressa como a massa do produto por quilograma de massa corporal, pressupondo-se que a toxicidade é inversamente proporcional ao tamanho do animal. O quadro mostra os valores de LD 50 para cinco diferentes pesticidas: Descrição do quadro: O quadro apresenta duas colunas: na primeira coluna, os nomes dos pesticidas e, na segunda coluna, seus respectivos valores de dose letal, LD 50, em miligramas por quilograma. • Pesticida: Atrazina; dose letal: 1 870. • Pesticida: DDT; dose letal: 100. • Pesticida: Malation; dose letal: 1 200. • Pesticida: Paration; dose letal: 3,6. • Pesticida: DEET; dose letal: 2 700. Nesse contexto, qual pesticida é o mais tóxico?",DDT.,DEET.,Atrazina.,Malation.,Paration.,2016,48,CN,E,portuguese
QUESTÃO 49,"Apesar da grande diversidade biológica, a hipótese de que a vida na Terra tenha tido uma única origem comum é aceita pela comunidade cientíﬁca.  Uma evidência que apoia essa hipótese é a observação de processos biológicos comuns a todos os seres vivos atualmente existentes. Um exemplo de tal processo é o(a)",desenvolvimento embrionário.,reprodução sexuada.,respiração aeróbica.,excreção urinária.,síntese proteica. ,2016,49,CN,E,portuguese
QUESTÃO 50,Um dos problemas do uso de reatores nucleares é a poluição térmica. O descarte da água de refrigeração dessas instalações pode elevar a temperatura de rios e lagos vizinhos em 14 graus Celsius ou mais. Qual é o principal dano ambiental gerado pelo despejo dessa água em rios e lagos?,Diminuição da pressão de vapor da água.,Aumento da capacidade de autodepuração do rio.,Diminuição da solubilidade do gás oxigênio na água.,Elevação da solubilidade do CO2 e aumento da acidez da água.,Decréscimo da atividade metabólica de microrganismos decompositores.,2016,50,CN,C,portuguese
QUESTÃO 51,"Um tubo de vidro com água a 25 graus Celsius foi imerso em um grande recipiente contendo água em ebulição a 100 graus Celsius . Após determinado intervalo de tempo, a água no tubo atingiu 100 graus Celsius . O sistema foi observado por um grande intervalo de tempo em que a quantidade de água e a temperatura de ebulição no recipiente externo foram mantidas constantes. No decorrer do experimento, se observou que a água presente no interior do tubo não entrou em fervura. A água no interior do tubo, após atingir 100 graus Celsius , não entrou em fervura",por não existir diferença de temperatura entre o líquido no tubo e o da imersão.,por ter o líquido no tubo de ensaio realizado trabalho ao longo do experimento.,porque o calor contido na água do tubo era o mesmo contido no recipiente externo.,em função do uso de aquecimento elétrico em vez de aquecimento por combustão.,"por causa da baixa condutividade térmica do vidro, material do qual o tubo é composto.",2016,51,CN,A,portuguese
QUESTÃO 52,"Plásticos são constituídos de macromoléculas que, dependendo de sua composição, apresentam propriedades físicas e químicas diferentes. Propriedades como resistência térmica, densidade, resistência à ação química e propriedades mecânicas determinam a utilidade do polímero. Durante seu processo de reciclagem, em uma etapa inicial, os materiais plásticos são colocados em tanques contendo soluções aquosas de etanol, em diferentes concentrações. O principal objetivo desse procedimento com a mistura de polímeros a ser reciclada é","esterilizar, eliminando os diferentes microrganismos presentes no lixo.","testar a resistência térmica, antes de submetê-los ao processo de fusão.","avaliar a resistência mecânica, testando se os materiais se tornarão quebradiços.","separar os materiais, de acordo com sua flutuabilidade em diferentes concentrações de etanol.","veriﬁcar a reatividade química, testando a sua solubilidade em diferentes concentrações de etanol.",2016,52,CN,D,portuguese
QUESTÃO 53,"Uma invenção que signiﬁcou um grande avanço tecnológico na Antiguidade, a polia composta ou a associação de polias, é atribuída a Arquimedes (287 antes de Cristo a 212 antes de Cristo). O aparato consiste em associar uma série de polias móveis a uma polia ﬁxa. É relatado que Arquimedes teria demonstrado o aparato para o rei Hierão, movendo sozinho, sobre a areia da praia, um navio repleto de passageiros e cargas, algo que seria impossível sem a participação de muitos homens. Suponha que a massa do navio era de 3 000 quilogramas , que o coeﬁciente de atrito estático entre o navio e a areia era de 0,8 e que Arquimedes tenha puxado o navio com uma força paralela à direção do movimento e de módulo igual a 400 newtons . Considere os ﬁos e as polias ideais, a aceleração da gravidade igual a 10 metros por segundo ao quadrado e que a superfície da praia é perfeitamente horizontal. O número mínimo de polias móveis usadas, nessa situação, por Arquimedes foi",3.,6.,7.,8.,10. ,2016,53,CN,B,portuguese
QUESTÃO 54,"Biodiversidade e diversidade química e genética O Brasil possui um grande número de espécies distintas entre animais, vegetais e microrganismos envoltos em uma imensa complexidade e distribuídas em uma grande variedade de ecossistemas. O incremento da variabilidade ocorre em razão da permuta genética, a qual propicia a troca de segmentos entre cromátides não irmãs na meiose. Essa troca de segmentos é determinante na",produção de indivíduos mais férteis.,transmissão de novas características adquiridas.,recombinação genética na formação dos gametas.,ocorrência de mutações somáticas nos descendentes.,variação do número de cromossomos característico da espécie.,2016,54,CN,C,portuguese
QUESTÃO 55,"Num experimento, um professor deixa duas bandejas de mesma massa, uma de plástico e outra de alumínio, sobre a mesa do laboratório. Após algumas horas, ele pede aos alunos que avaliem a temperatura das duas bandejas, usando para isso o tato. Seus alunos aﬁrmam, categoricamente, que a bandeja de alumínio encontra-se numa temperatura mais baixa. Intrigado, ele propõe uma segunda atividade, em que coloca um cubo de gelo sobre cada uma das bandejas, que estão em equilíbrio térmico com o ambiente, e os questiona em qual delas a taxa de derretimento do gelo será maior. O aluno que responder corretamente ao questionamento do professor dirá que o derretimento ocorrerá","mais rapidamente na bandeja de alumínio, pois ela tem uma maior condutividade térmica que a de plástico.","mais rapidamente na bandeja de plástico, pois ela tem inicialmente uma temperatura mais alta que a de alumínio.","mais rapidamente na bandeja de plástico, pois ela tem uma maior capacidade térmica que a de alumínio.","mais rapidamente na bandeja de alumínio, pois ela tem um calor especíﬁco menor que a de plástico.","com a mesma rapidez nas duas bandejas, pois apresentarão a mesma variação de temperatura.",2016,55,CN,A,portuguese
