question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_HABILIDADE,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
QUESTÃO 91,"A deficiência de lipase ácida lisossômica é uma doença hereditária associada a um gene do cromossomo 10. Os pais dos pacientes podem não saber que são portadores dos genes da doença até o nascimento do primeiro filho afetado. Quando ambos os progenitores são portadores, existe uma chance, em quatro, de que seu bebê possa nascer com essa doença. Essa é uma doença hereditária de caráter ",recessivo.,dominante. ,codominante. ,poligênico. ,polialélico.,2021,91,CN,A,portuguese,13.0,2.45876,0.44934,0.19743,916
QUESTÃO 92,"O quadro lista alguns dispositivos eletrônicos que estão presentes no dia a dia, bem como a faixa de força eletromotriz necessária ao seu funcionamento. Descrição da imagem: Quadro com cinco dispositivos eletrônicos e suas respectivas faixas de força eletromotriz, em volt. Dispositivo 1 — relógio de parede: 1,2 a 1,5. Dispositivo 2 — celular: 3,5 a 3,8. Dispositivo 3 — câmera digital: 7,5 a 7,8. Dispositivo 4 — carrinho de controle remoto: 10,5 a 10,9. Dispositivo 5 — notebook / laptop: 19,5 a 20,0. Considere que uma bateria é construída pela associação em série de três pilhas de lítio-iodo, nas condições-padrão, conforme as semiequações de redução apresentadas. Descrição da imagem: Primeira semiequação: iodo mais 2 elétrons forma 2 iodo de carga negativa, com potencial de redução igual a mais 0,54 volt. Segunda semiequação: lítio de carga positiva mais 1 elétron forma lítio, com potencial de redução igual a menos 3,05 volts. Essa bateria é adequada para o funcionamento de qual dispositivo eletrônico?", 1, 2, 3, 4, 5,2021,92,CN,D,portuguese,5.0,2.9738,1.96749,0.12076,916
QUESTÃO 93,"O alcoolômetro Gay Lussac é um instrumento destinado a medir o teor de álcool, em porcentagem de volume (v/v), de soluções de água e álcool na faixa de O grau GL a 100 graus GL, com divisões de 0,1 grau GL. A concepção do alcoolômetro se baseia no princípio de flutuabilidade de Arquimedes, semelhante ao funcionamento de um densímetro. A escala do instrumento é aferida a 20 graus Celsius, sendo necessária a correção da medida, caso a temperatura da solução não esteja na temperatura de aferição. É apresentada parte da tabela de correção de um alcoolômetro, com a temperatura. Descrição da imagem: Tabela que indica os valores da concentração de álcool em graus GL em função da temperatura para o intervalo de 20 a 25 graus Celsius. Na primeira linha: 35 graus GL a 20 graus Celsius; 34,6 graus GL a 21 graus Celsius; 34,2 graus GL a 22 graus Celsius; 33,8 graus GL a 23 graus Celsius; 33,4 graus GL a 24 graus Celsius; 33,0 graus GL a 25 graus Celsius. Na segunda linha: 36 graus GL a 20 graus Celsius; 35,6 graus GL a 21 graus Celsius; 35,2 graus GL a 22 graus Celsius; 34,8 graus GL a 23 graus Celsius; 34,4 graus GL a 24 graus Celsius; 34,0 graus GL a 25 graus Celsius. É necessária a correção da medida do instrumento, pois um aumento na temperatura promove o(a) ", aumento da dissociação da água., aumento da densidade da água e do álcool., mudança do volume dos materiais por dilatação., aumento da concentração de álcool durante a medida., alteração das propriedades químicas da mistura álcool e água.,2021,93,CN,C,portuguese,6.0,1.7383,1.40697,0.1367,916
QUESTÃO 94,"Curagem é um método centenário empregado na conservação de alimentos. Um dos primeiros métodos utilizados na história foi a salga, em que o alimento é esfregado com sal ou mergulhado em solução salina saturada. Esse método visa preservar o alimento, evitando a proliferação de organismos decompositores. Qual dos métodos a seguir utiliza o mesmo princípio de preservação”?  ",Congelamento de carnes.,Pasteurização de líquidos. ,Embalagem a vácuo de alimentos sólidos. ,Adição de açúcar na fabricação de geleias e compotas. ,Uso de vinagre na fabricação de vegetais em conservas. ,2021,94,CN,D,portuguese,8.0,2.74396,2.11943,0.04965,916
QUESTÃO 95,"Estudo aponta que a extinção de preguiças-gigantes, cuja base da dieta eram frutos e sementes, provocou impactos consideráveis na vegetação do Pantanal brasileiro. A flora, embora não tenha desaparecido, tornou-se menos abundante que no passado, além de ocupar áreas mais restritas. O OUVON enem2021 O evento descrito com a flora ocorreu em razão da redução",da produção de flores., do tamanho das plantas., de fatores de disseminação das sementes. , da quantidade de sementes por fruto., dos hábitats disponíveis para as plantas.,2021,95,CN,C,portuguese,16.0,1.73579,-0.23373,0.13306,916
QUESTÃO 96,"Carros elétricos estão cada vez mais baratos, no entanto, os órgãos governamentais e a indústria se preocupam com o tempo de recarga das baterias, que é muito mais lento quando comparado ao tempo gasto para encher o tanque de combustível. Portanto, os usuários de transporte individual precisam se conscientizar dos ganhos ambientais dessa mudança e planejar com antecedência seus percursos, pensando em pausas necessárias para recargas. Após realizar um percurso de 110 quilômetros, um motorista pretende recarregar as baterias de seu carro elétrico, que tem um desempenho médio de 5,0 quilômetros por quilowatt-hora, usando um carregador ideal que opera a uma tensão de 220 volts e é percorrido por uma corrente de 20 amperes. VOOS enemo021 Quantas horas são necessárias para recarregar a energia utilizada nesse percurso? ","0,005"," 0,125"," 2,5"," 5,0"," 8,0",2021,96,CN,D,portuguese,23.0,3.28052,1.65567,0.21068,916
QUESTÃO 97,"Nas angiospermas, além da fertilização da oosfera, existe uma segunda fertilização que resulta num tecido triploide. Essa segunda fertilização foi importante evolutivamente, pois viabilizou a formação de um tecido de", nutrição para o fruto., reserva para o embrião. ,revestimento para a semente., proteção para o megagametófito., vascularização para a planta jovem.,2021,97,CN,B,portuguese,16.0,3.29305,1.87858,0.17777,916
QUESTÃO 98,"Com o objetivo de proporcionar aroma e sabor a diversos alimentos, a indústria alimentícia se utiliza de flavorizantes. Em geral, essas substâncias são ésteres, como as apresentadas no quadro. Descrição da imagem: Quadro com os nomes, fórmulas e aromas de algumas substâncias, respectivamente. Benzoato de metila; CLH.CO,CH,; kiwi. Acetato de isoamila; CH.CO,, abre parêntese, CH,, fecha parêntese, 2, CH, abre parêntese, CH,, fecha parêntese, 2; banana. Acetato de benzila; CH,CO,CH.C,H,; pêssego. Propanoato de isobutila, CH,CH,CO,CH,CH, abre parêntese, CH,, fecha parêntese, 2; rum. Antranilato de metila; CH NH,CO,CH,; uva. O aroma do flavorizante derivado do ácido etanoico e que apresenta cadeia carbônica saturada é de",kiwi.,banana.,pêssego.,rum.,uva.,2021,98,CN,B,portuguese,24.0,3.87694,1.86924,0.19867,916
QUESTÃO 99,"Algumas usinas termelétricas convertem a energia térmica gerada da combustão do gás natural em energia elétrica. Seus componentes devem ser bastante resistentes à oxidação, à tração mecânica e à temperatura elevada, pois quanto maior a temperatura operacional, mais eficiente é a conversão de energia. Esses requisitos são cumpridos pelas ligas de níquel que suportam cerca de 1150 graus Celsius. Pesquisas em busca de ligas melhores destacam o nióbio, elemento químico de número atômico 41. Em sua forma pura, o nióbio é um metal macio, dúctil e de aspecto cinza brilhante, que lentamente se torna azulado quando exposto ao ar. O nióbio funde a 2468 graus Celsius, entra em ebulição a 4744 graus Celsius e conduz bem a eletricidade e o calor, porém em grau bem menor do que a prata e o cobre. A propriedade do nióbio, que o torna um promissor candidato para uso em futuras usinas termelétricas, é a",maciez.,temperatura de fusão.,condutividade térmica.,resistência à oxidação.,temperatura de ebulição.,2021,99,CN,B,portuguese,18.0,2.76753,1.0015,0.14193,916
QUESTÃO 100,"Entre 2014 e 2016, as regiões central e oeste da África sofreram uma grave epidemia de febre hemorrágica causada pelo vírus ebola, que se manifesta em até 21 dias após a infecção e cuja taxa de letalidade (enfermos que vão a óbito) pode chegar a 90 por cento. Em regiões de clima tropical e subtropical, um outro vírus também pode causar febre hemorrágica: o vírus da dengue, que, embora tenha período de incubação menor (até 10 dias), apresenta taxa de letalidade abaixo de 1 por cento. Segundo as informações do texto e aplicando princípios de evolução biológica às relações do tipo patógeno- “hospedeiro, qual dos dois vírus infecta seres humanos há mais tempo? "," Ebola, pois o maior período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro."," Dengue, pois o menor período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro.","Ebola, cuja alta letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo de sua evolução. ","Ebola, cujos surtos epidêmicos concentram-se no continente africano, reconhecido como berço da origem evolutiva dos seres humanos.","Dengue, cuja baixa letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo da coevolução patógeno-hospedeiro.",2021,100,CN,E,portuguese,16.0,1.27392,1.76469,0.13413,916
