CO_ITEM,TX_GABARITO,answer_distribution,correct_probability
5961,D,[0.19747523 0.20340343 0.16093284 0.29917035 0.13612553 0.00289263],0.299170347068048
6864,D,[0.03437323 0.06931181 0.10171473 0.52399433 0.2664902  0.0041157 ],0.5239943337995397
8020,E,[0.17161716 0.17821782 0.28052805 0.25412541 0.11221122 0.00330033],0.11221122112211221
8364,A,[0.30289268 0.23251223 0.19079644 0.08102527 0.18897879 0.0037946 ],0.30289268208030895
9678,E,[0.17798595 0.12880562 0.17681499 0.21428571 0.29976581 0.00234192],0.2997658079625293
9716,E,[0.21086187 0.11231829 0.3039175  0.08117845 0.28797367 0.00375022],0.28797366883315506
10322,C,[0.13173283 0.23376347 0.48785543 0.09187904 0.05188972 0.00287951],0.48785542961655054
10409,E,[0.11996131 0.27776468 0.08460044 0.12126942 0.39347935 0.0029248 ],0.3934793467636995
10500,B,[0.16543154 0.18716814 0.26278534 0.24796905 0.13267527 0.00397066],0.18716814439318283
10776,B,[0.09182525 0.60530304 0.06575514 0.13861043 0.09425649 0.00424965],0.6053030446861967
10992,A,[0.10561056 0.35313531 0.23762376 0.20462046 0.0990099  0.        ],0.10561056105610561
14797,D,[0.23458671 0.30229791 0.2465314  0.15084202 0.06071178 0.00503018],0.1508420193275237
16785,D,[0.11943794 0.18852459 0.21896956 0.30327869 0.16393443 0.0058548 ],0.30327868852459017
18228,D,[0.12714302 0.31767745 0.1632545  0.2488097  0.14073051 0.00238482],0.24880969709243334
19807,E,[0.0666538  0.15085204 0.52635965 0.16229414 0.09112489 0.00271549],0.09112488634901347
26545,C,[0.2948481  0.14750052 0.15934343 0.15119906 0.24343989 0.003669  ],0.15934342954904554
28034,A,[0.30749896 0.31383388 0.14011347 0.12225946 0.1140845  0.00220973],0.3074989610559469
28632,C,[0.20736374 0.22242685 0.17815306 0.21884117 0.17066106 0.00255411],0.1781530633555467
28683,A,[0.26909548 0.26183341 0.1756886  0.21445757 0.07528969 0.00363525],0.26909547526680294
30053,C,[0.10346459 0.23445276 0.31151973 0.22405699 0.12367126 0.00283468],0.31151972727982297
30327,D,[0.20788268 0.06615015 0.10709562 0.55740983 0.05878947 0.00267225],0.5574098333681407
30493,D,[0.18587447 0.14943549 0.16259685 0.30373925 0.19549657 0.00285736],0.3037392493022726
31313,D,[0.3241843  0.0715458  0.20887944 0.28540901 0.10780284 0.00217862],0.28540900643196027
31381,C,[0.10089887 0.28002443 0.21456726 0.22426214 0.17769213 0.00255517],0.21456726134347595
31516,A,[0.31085638 0.10089812 0.29412829 0.18524379 0.10608998 0.00278344],0.31085637968766566
32369,D,[0.28983006 0.23463998 0.20664597 0.1971631  0.06770435 0.00401655],0.19716310261391995
37769,B,[0.14427188 0.27564082 0.31945842 0.12936119 0.1291302  0.00213748],0.27564082280149943
39101,E,[0.51158396 0.06638852 0.04296587 0.06486703 0.30959847 0.00459614],0.30959847185569117
39443,X,[0.17853331 0.08568652 0.16287742 0.38533169 0.18367898 0.00389208],0.0
40571,E,[0.26346604 0.29742389 0.2236534  0.06674473 0.14754098 0.00117096],0.14754098360655737
41054,A,[0.45768017 0.09954139 0.15719593 0.16049734 0.12283747 0.00224771],0.4576801697750607
41810,A,[0.51563075 0.12097861 0.12835738 0.11445564 0.11662996 0.00394766],0.5156307543599912
42674,B,[0.14518162 0.51765836 0.13458228 0.13448788 0.06522354 0.00286633],0.5176583572237727
42940,D,[0.08622708 0.10734454 0.09070984 0.65163415 0.059859   0.00422539],0.6516341482451866
43073,A,[0.47285192 0.15328591 0.07510353 0.07838279 0.21813184 0.00224401],0.47285191724731507
43182,C,[0.18078154 0.25778628 0.34237953 0.13856297 0.07720462 0.00328507],0.34237952995428644
44230,A,[0.45583064 0.09061965 0.07481505 0.10788089 0.26400781 0.00684596],0.4558306384073884
44570,A,[0.52656585 0.04971796 0.12668789 0.04068494 0.25366109 0.00268227],0.5265658521767196
44969,B,[0.16286424 0.26600396 0.25862324 0.23173041 0.07684178 0.00393638],0.2660039574802917
45201,C,[0.14052958 0.25092925 0.30973295 0.19788456 0.09689182 0.00403184],0.30973295446155275
47309,B,[0.15653986 0.31918682 0.19213082 0.14985159 0.17736515 0.00492576],0.3191868179622352
49544,C,[0.15564595 0.1358654  0.26932858 0.21560831 0.21974036 0.0038114 ],0.2693285784502963
53461,C,[0.11057634 0.14584559 0.25078369 0.20401644 0.28455043 0.0042275 ],0.25078369079337354
54528,E,[0.58051395 0.08635313 0.11189533 0.09055162 0.12760501 0.00308097],0.1276050071829533
60382,E,[0.08137067 0.15845971 0.14272237 0.16839638 0.44460513 0.00444573],0.4446051341685916
60441,E,[0.04056681 0.12568164 0.059676   0.10529619 0.66483507 0.0039443 ],0.6648350663131093
61248,D,[0.24068589 0.22255869 0.16902723 0.244145   0.11942952 0.00415367],0.24414499650872606
63204,E,[0.11494888 0.18970802 0.19665365 0.26441073 0.22977171 0.00450701],0.2297717065473516
63646,C,[0.11485806 0.38044511 0.28955093 0.1200515  0.09217751 0.00291689],0.28955093037276625
64203,A,[0.16329353 0.18539825 0.29997374 0.21884486 0.12805803 0.0044316 ],0.16329352648199832
66576,A,[0.85821894 0.03903635 0.03094999 0.0355688  0.03376463 0.0024613 ],0.8582189440109358
67229,A,[0.21735744 0.19455527 0.22678971 0.17629697 0.17944212 0.00555848],0.21735744488213488
67980,E,[0.18169866 0.20018131 0.29706786 0.15853917 0.15578781 0.00672519],0.15578781492661997
68123,B,[0.07207318 0.28816194 0.09041714 0.11412352 0.4314471  0.00377712],0.28816194448136123
68369,A,[0.27192225 0.17310179 0.12429937 0.18733005 0.23923875 0.00410778],0.2719222469037358
68538,D,[0.29372937 0.18811881 0.20462046 0.17491749 0.1320132  0.00660066],0.17491749174917492
75825,B,[0.1054871  0.36258198 0.26385171 0.1245715  0.1383826  0.00512511],0.36258198165129873
75829,C,[0.21653862 0.22365723 0.28729915 0.15558635 0.11226397 0.00465468],0.28729914627277503
75845,D,[0.09948177 0.2526906  0.30837196 0.26278134 0.07238477 0.00428955],0.26278134038796985
76318,C,[0.23335042 0.14082097 0.36362112 0.06524517 0.19002052 0.0069418 ],0.3636211208433601
78112,E,[0.1241074  0.15514757 0.1545838  0.07879151 0.48276566 0.00460405],0.48276565852176717
78377,B,[0.21743886 0.29739642 0.23996285 0.15985446 0.08110936 0.00423805],0.29739641675052053
78716,C,[0.14813022 0.13945899 0.4831728  0.06003462 0.1672874  0.00191598],0.4831727980187284
81969,A,[0.24151494 0.11340312 0.22680782 0.10865825 0.30641835 0.00319752],0.24151493864428877
81994,C,[0.15431853 0.09042558 0.39111866 0.15812728 0.20209308 0.00391687],0.39111866323235006
82581,A,[0.17725915 0.13986138 0.31671972 0.24609526 0.11629159 0.0037729 ],0.1772591495636435
82765,E,[0.13313673 0.15193739 0.08948684 0.30959425 0.31360816 0.00223663],0.3136081630414375
82962,A,[0.32098519 0.27220703 0.12705547 0.18219282 0.09138963 0.00616985],0.3209851932014033
83727,C,[0.31023102 0.21122112 0.18481848 0.13861386 0.14851485 0.00660066],0.1848184818481848
83806,E,[0.16052477 0.07312848 0.25667403 0.0616405  0.44186291 0.00616932],0.4418629057946709
83901,B,[0.09302927 0.30591839 0.49505315 0.07210114 0.03245461 0.00144345],0.30591839489999767
84199,A,[0.36632745 0.13303969 0.17980694 0.11588076 0.19836501 0.00658015],0.3663274540702347
85013,B,[0.20608325 0.22904286 0.22589755 0.15259979 0.18268645 0.0036901 ],0.22904286356185882
85228,C,[0.19507256 0.23009394 0.24496349 0.19141305 0.1336351  0.00482186],0.2449634945647932
85343,D,[0.13689064 0.27588711 0.29732522 0.14788657 0.13699822 0.00501225],0.14788656629517824
