CO_ITEM,NSE_LEVEL,TX_GABARITO,answer_distribution,correct_probability
5961,1,D,[0.17715449 0.24600769 0.19172133 0.23854332 0.14259217 0.003981  ],0.23854331599185705
5961,2,D,[0.18086618 0.23935467 0.18306477 0.25156946 0.14198493 0.00315999],0.25156946035077776
5961,3,D,[0.18476724 0.22741081 0.17515537 0.26701003 0.1426866  0.00296994],0.26701003244936056
5961,4,D,[0.19089704 0.21614213 0.16632591 0.28207953 0.14167832 0.00287706],0.28207952698378536
5961,5,D,[0.19956792 0.20120938 0.15833383 0.30038837 0.13777319 0.00272732],0.30038836758695964
5961,6,D,[0.21016588 0.18322778 0.14792507 0.32382148 0.13205278 0.00280701],0.32382147995599064
5961,7,D,[0.2176793  0.15679916 0.13614374 0.36529996 0.12128223 0.00279561],0.36529996443336227
5961,8,D,[0.22527451 0.1333189  0.12812389 0.39814633 0.11232241 0.00281396],0.39814632610492345
6864,1,D,[0.06029492 0.10276823 0.13999457 0.46218563 0.22869549 0.00606115],0.46218563415958025
6864,2,D,[0.04970592 0.09135536 0.12528527 0.49577264 0.23328202 0.00459878],0.49577264163947987
6864,3,D,[0.0416106  0.08053018 0.11323971 0.51571273 0.24478291 0.00412386],0.5157127332005071
6864,4,D,[0.03610661 0.07056545 0.10179103 0.52749403 0.25976773 0.00427515],0.5274940261152196
6864,5,D,[0.03088603 0.06323006 0.09484932 0.53414045 0.2728952  0.00399894],0.5341404535891753
6864,6,D,[0.02625204 0.0581071  0.08940151 0.53881035 0.28347267 0.00395632],0.538810354129275
6864,7,D,[0.02242056 0.05359444 0.086623   0.53280485 0.30088604 0.00367111],0.5328048458705703
6864,8,D,[0.01938213 0.05035419 0.08756395 0.52316017 0.31591893 0.00362062],0.5231601731601732
8020,1,E,[0. 0. 1. 0. 0. 0.],0.0
8020,2,E,[0.16455696 0.16455696 0.24050633 0.27848101 0.15189873 0.        ],0.1518987341772152
8020,3,E,[0.15189873 0.17721519 0.32911392 0.2278481  0.11392405 0.        ],0.11392405063291139
8020,4,E,[0.16666667 0.18181818 0.3030303  0.25757576 0.07575758 0.01515152],0.07575757575757576
8020,5,E,[0.18181818 0.21212121 0.24242424 0.24242424 0.12121212 0.        ],0.12121212121212122
8020,6,E,[0.28571429 0.14285714 0.19047619 0.28571429 0.0952381  0.        ],0.09523809523809523
8020,7,E,[0.2  0.2  0.25 0.25 0.1  0.  ],0.1
8020,8,E,[0.  0.5 0.  0.5 0.  0. ],0.0
8364,1,A,[0.24510292 0.287582   0.14589459 0.08541054 0.23116942 0.00484053],0.24510291789187966
8364,2,A,[0.25771707 0.27958035 0.14728222 0.0796087  0.23152173 0.00428992],0.2577170719749346
8364,3,A,[0.26871823 0.26765384 0.16111771 0.07801111 0.2204486  0.00405051],0.2687182340818578
8364,4,A,[0.28401928 0.25021946 0.1759737  0.0793769  0.20665009 0.00376057],0.2840192785823106
8364,5,A,[0.30401257 0.22808769 0.19576321 0.07994957 0.18847251 0.00371445],0.3040125676540849
8364,6,A,[0.33022541 0.2038748  0.21823779 0.08214729 0.16194248 0.00357223],0.3302254069455807
8364,7,A,[0.36829827 0.17010796 0.24361617 0.08615158 0.1284491  0.00337692],0.3682982702376081
8364,8,A,[0.40225904 0.14172144 0.25784171 0.09105042 0.10370341 0.00342398],0.4022590420717069
9678,1,E,[0.27272727 0.09090909 0.27272727 0.09090909 0.27272727 0.        ],0.2727272727272727
9678,2,E,[0.21656051 0.11464968 0.1910828  0.21019108 0.26751592 0.        ],0.267515923566879
9678,3,E,[0.22352941 0.11176471 0.21176471 0.17647059 0.27647059 0.        ],0.27647058823529413
