CO_ITEM,NSE_CLASS,TP_COR_RACA,TX_GABARITO,answer_distribution,correct_probability
5961,Medium,0,D,[0.19735082 0.20701558 0.15912327 0.2952496  0.13720499 0.00405574],0.29524960089744146
5961,Medium,1,D,[0.20397612 0.19564271 0.15392533 0.30721991 0.13662    0.00261592],0.30721990577263536
5961,Medium,2,D,[0.18510475 0.22544707 0.17513573 0.26697954 0.14396491 0.00336799],0.2669795405048925
5961,Medium,3,D,[0.19185472 0.21331801 0.16610723 0.28636252 0.13953247 0.00282504],0.2863625242680851
5961,Medium,4,D,[0.19708625 0.20361855 0.16206111 0.30044265 0.13361124 0.0031802 ],0.30044264901800677
5961,Medium,5,D,[0.18931631 0.22291282 0.17318999 0.27750714 0.13321015 0.0038636 ],0.27750713925751724
5961,Very High,0,D,[0.23609885 0.14232127 0.13526037 0.37930274 0.10392763 0.00308914],0.3793027360988526
5961,Very High,1,D,[0.22186879 0.14729014 0.13174092 0.37739245 0.11904869 0.00265902],0.3773924467520314
5961,Very High,2,D,[0.20032736 0.18253629 0.15421292 0.32415315 0.13556789 0.00320239],0.324153145459721
5961,Very High,3,D,[0.21093099 0.17003242 0.14238073 0.35141269 0.12215532 0.00308785],0.35141269106067624
5961,Very High,4,D,[0.22572429 0.11811525 0.12113976 0.43377905 0.09773957 0.00350207],0.4337790512575613
5961,Very High,5,D,[0.22194514 0.18204489 0.16458853 0.27930175 0.14713217 0.00498753],0.2793017456359102
5961,Very Low,0,D,[0.19071608 0.24253329 0.16138899 0.26628284 0.13512055 0.00395826],0.266282835552357
5961,Very Low,1,D,[0.18674207 0.23462319 0.17685461 0.26056592 0.13834855 0.00286566],0.26056591957185965
5961,Very Low,2,D,[0.1749411  0.24202996 0.19087038 0.24159768 0.14669203 0.00386885],0.24159768301381113
5961,Very Low,3,D,[0.17952249 0.24094912 0.1845281  0.24987885 0.1420247  0.00309674],0.2498788487678033
5961,Very Low,4,D,[0.1839934  0.2310231  0.18729373 0.25       0.14389439 0.00379538],0.25
5961,Very Low,5,D,[0.19151444 0.24985268 0.18444313 0.22598704 0.14407778 0.00412493],0.22598703594578667
6864,Medium,0,D,[0.03813632 0.07346851 0.10163934 0.5204918  0.26121657 0.00504745],0.5204918032786885
6864,Medium,1,D,[0.02831972 0.06113724 0.091022   0.53962226 0.27608968 0.00380911],0.539622261901768
6864,Medium,2,D,[0.03865475 0.07148859 0.10632203 0.51400023 0.26481142 0.00472297],0.514000233081646
6864,Medium,3,D,[0.03708449 0.07294937 0.10546342 0.52470011 0.2556915  0.00411111],0.5247001140411393
6864,Medium,4,D,[0.03631285 0.07722389 0.11082939 0.51976794 0.2513107  0.00455522],0.5197679415556511
6864,Medium,5,D,[0.04585923 0.08617504 0.11842768 0.49118092 0.2538216  0.00453553],0.4911809171846128
6864,Very High,0,D,[0.02537511 0.05957635 0.07347749 0.53662842 0.30097087 0.00397176],0.5366284201235657
6864,Very High,1,D,[0.0205872  0.05147701 0.08530462 0.5326084  0.30662156 0.00340121],0.5326084022422776
6864,Very High,2,D,[0.02611542 0.05714082 0.09321853 0.52195261 0.296378   0.00519462],0.5219526079840603
6864,Very High,3,D,[0.02559511 0.05694835 0.09003057 0.52738584 0.29584118 0.00419896],0.527385840871901
6864,Very High,4,D,[0.01957664 0.05315932 0.09804234 0.54225688 0.28314499 0.00381983],0.5422568836543052
6864,Very High,5,D,[0.02244389 0.08977556 0.12468828 0.48379052 0.27680798 0.00249377],0.4837905236907731
6864,Very Low,0,D,[0.06151079 0.09442446 0.12859712 0.47284173 0.23633094 0.00629496],0.47284172661870505
6864,Very Low,1,D,[0.04232995 0.08581728 0.11351864 0.50995162 0.24379091 0.00459159],0.5099516174935964
6864,Very Low,2,D,[0.05185713 0.08766016 0.12972926 0.49046045 0.23491282 0.00538018],0.49046044813206285
6864,Very Low,3,D,[0.05210204 0.09489909 0.12886379 0.49079544 0.2288437  0.00449594],0.49079544380376217
6864,Very Low,4,D,[0.05132013 0.09521452 0.12755776 0.48910891 0.23267327 0.00412541],0.4891089108910891
6864,Very Low,5,D,[0.06216853 0.11343547 0.15527401 0.42692988 0.23541544 0.00677666],0.4269298762522098
8020,Medium,0,E,[0.66666667 0.33333333 0.         0.         0.         0.        ],0.0
8020,Medium,1,E,[0.17857143 0.20238095 0.28571429 0.22619048 0.10714286 0.        ],0.10714285714285714
8020,Medium,2,E,[0.17857143 0.21428571 0.32142857 0.25       0.03571429 0.        ],0.03571428571428571
8020,Medium,3,E,[0.14457831 0.14457831 0.30120482 0.27710843 0.12048193 0.01204819],0.12048192771084337
8020,Medium,4,E,[1. 0. 0. 0. 0. 0.],0.0
8020,Very High,1,E,[0.08333333 0.25       0.16666667 0.33333333 0.16666667 0.        ],0.16666666666666666
8020,Very High,2,E,[0. 0. 1. 0. 0. 0.],0.0
8020,Very High,3,E,[0.375 0.25  0.125 0.25  0.    0.   ],0.0
8020,Very High,4,E,[0. 0. 1. 0. 0. 0.],0.0
8020,Very Low,0,E,[0.  0.  0.5 0.  0.5 0. ],0.5
8020,Very Low,1,E,[0.16666667 0.16666667 0.33333333 0.16666667 0.16666667 0.        ],0.16666666666666666
8020,Very Low,2,E,[0.07142857 0.07142857 0.5        0.28571429 0.07142857 0.        ],0.07142857142857142
8020,Very Low,3,E,[0.18518519 0.18518519 0.18518519 0.2962963  0.14814815 0.        ],0.14814814814814814
8364,Medium,0,A,[0.30129007 0.2341114  0.18526988 0.08025197 0.19454632 0.00453035],0.30129007205419167
8364,Medium,1,A,[0.31397061 0.21941819 0.20321186 0.07960181 0.18035737 0.00344017],0.31397060957558987
8364,Medium,2,A,[0.27142726 0.26029876 0.17127695 0.08133493 0.21104874 0.00461336],0.2714272568326125
8364,Medium,3,A,[0.28677792 0.2486372  0.17753413 0.07947611 0.20377623 0.00379841],0.28677791995888285
8364,Medium,4,A,[0.29184752 0.24328506 0.17998195 0.08161073 0.19923503 0.00403971],0.29184752245476814
8364,Medium,5,A,[0.26474047 0.26860407 0.1595834  0.0797917  0.22341676 0.0038636 ],0.2647404669914329
8364,Very High,0,A,[0.37555163 0.16835834 0.24227714 0.09311562 0.11606355 0.00463372],0.3755516328331862
8364,Very High,1,A,[0.38279148 0.1581062  0.25130702 0.08631255 0.11837381 0.00310894],0.3827914803250218
8364,Very High,2,A,[0.31532878 0.21100199 0.22210362 0.08988044 0.15727299 0.00441218],0.31532877882152005
8364,Very High,3,A,[0.35172148 0.18343369 0.23314806 0.08761772 0.14011116 0.00396789],0.35172147599197157
8364,Very High,4,A,[0.41849729 0.13514804 0.24514486 0.09089462 0.10681312 0.00350207],0.41849729385546003
8364,Very High,5,A,[0.3042394  0.20698254 0.21945137 0.09725686 0.16209476 0.00997506],0.30423940149625933
8364,Very Low,0,A,[0.25962576 0.27240014 0.14807485 0.08096438 0.23587621 0.00305865],0.25962576466354803
8364,Very Low,1,A,[0.26438047 0.269068   0.15829427 0.07830262 0.22581747 0.00413717],0.2643804679938512
8364,Very Low,2,A,[0.24617978 0.2830311  0.14831305 0.08651955 0.23081246 0.00514406],0.24617978256640802
8364,Very Low,3,A,[0.25766799 0.28251285 0.14362626 0.07885468 0.23312452 0.0042137 ],0.25766798652561906
8364,Very Low,4,A,[0.25429043 0.28762376 0.14389439 0.07491749 0.23630363 0.0029703 ],0.2542904290429043
8364,Very Low,5,A,[0.23482616 0.29905716 0.1402475  0.08721273 0.23187979 0.00677666],0.23482616381850324
9678,Medium,0,E,[0.16666667 0.16666667 0.         0.16666667 0.5        0.        ],0.5
9678,Medium,1,E,[0.14285714 0.13419913 0.15584416 0.23809524 0.32900433 0.        ],0.329004329004329
9678,Medium,2,E,[0.30769231 0.15384615 0.17307692 0.17307692 0.19230769 0.        ],0.19230769230769232
9678,Medium,3,E,[0.17508418 0.13468013 0.20875421 0.2020202  0.27272727 0.00673401],0.2727272727272727
9678,Medium,4,E,[0.2 0.  0.1 0.3 0.4 0. ],0.4
9678,Medium,5,E,[0.4 0.  0.  0.4 0.2 0. ],0.2
9678,Very High,1,E,[0.13207547 0.13207547 0.0754717  0.20754717 0.45283019 0.        ],0.4528301886792453
9678,Very High,2,E,[0.   0.   0.5  0.25 0.25 0.  ],0.25
9678,Very High,3,E,[0.04761905 0.14285714 0.19047619 0.23809524 0.38095238 0.        ],0.38095238095238093
9678,Very High,4,E,[0. 0. 0. 1. 0. 0.],0.0
9678,Very Low,0,E,[0.25  0.125 0.25  0.    0.375 0.   ],0.375
9678,Very Low,1,E,[0.2   0.05  0.225 0.175 0.35  0.   ],0.35
9678,Very Low,2,E,[0.33333333 0.         0.19047619 0.19047619 0.28571429 0.        ],0.2857142857142857
9678,Very Low,3,E,[0.19354839 0.17204301 0.19354839 0.21505376 0.22580645 0.        ],0.22580645161290322
9678,Very Low,4,E,[0.33333333 0.         0.         0.66666667 0.         0.        ],0.0
9678,Very Low,5,E,[0.33333333 0.         0.         0.33333333 0.33333333 0.        ],0.3333333333333333
9716,Medium,0,E,[0.22657463 0.11186368 0.29219154 0.08537532 0.28028473 0.00371009],0.28028472821397754
9716,Medium,1,E,[0.21624665 0.10477077 0.29886307 0.07285668 0.30382903 0.00343381],0.30382903317541043
9716,Medium,2,E,[0.20784749 0.11869376 0.31815031 0.08807419 0.26284863 0.00438562],0.26284862573834744
9716,Medium,3,E,[0.20871992 0.11655603 0.30960937 0.08813022 0.27314789 0.00383657],0.27314788742309265
9716,Medium,4,E,[0.20253545 0.11581435 0.3062312  0.08727976 0.28371294 0.0044263 ],0.2837129351095832
9716,Medium,5,E,[0.21333781 0.12817067 0.30740803 0.10112548 0.24475055 0.00520746],0.2447505459432219
9716,Very High,0,E,[0.24315975 0.0951015  0.27096205 0.05692851 0.32833186 0.00551633],0.3283318623124448
9716,Very High,1,E,[0.22081755 0.09367717 0.27489045 0.05412689 0.3536491  0.00283884],0.353649099759756
9716,Very High,2,E,[0.21924144 0.11364122 0.2925354  0.06966484 0.30078987 0.00412723],0.3007898669323276
9716,Very High,3,E,[0.22467504 0.10200994 0.2817932  0.06611813 0.32152891 0.00387477],0.32152891413751583
9716,Very High,4,E,[0.20181442 0.10122553 0.27343626 0.06095814 0.36017826 0.00238739],0.36017825879356996
9716,Very High,5,E,[0.25436409 0.11471322 0.25685786 0.08229426 0.28927681 0.00249377],0.2892768079800499
9716,Very Low,0,E,[0.20593525 0.13417266 0.3205036  0.09910072 0.23615108 0.00413669],0.23615107913669064
9716,Very Low,1,E,[0.19943079 0.12196186 0.32467508 0.09539892 0.25449198 0.00404136],0.25449198368276255
9716,Very Low,2,E,[0.19269247 0.13277587 0.32728333 0.10464337 0.23765692 0.00494803],0.23765692184697823
9716,Very Low,3,E,[0.19365016 0.13271576 0.32269709 0.10501347 0.24157529 0.00434824],0.24157529067019567
9716,Very Low,4,E,[0.18613861 0.13052805 0.3290429  0.10742574 0.24438944 0.00247525],0.2443894389438944
9716,Very Low,5,E,[0.1935769  0.13847967 0.32203889 0.11873895 0.22009428 0.0070713 ],0.22009428403064232
10322,Medium,0,C,[0.13459879 0.23494392 0.47018982 0.10043141 0.05569456 0.0041415 ],0.47018981880931837
10322,Medium,1,C,[0.12281808 0.23383741 0.52265635 0.07533869 0.04281715 0.00253231],0.5226563542837466
10322,Medium,2,C,[0.14698865 0.2561506  0.42176124 0.10832163 0.06333074 0.00344715],0.4217612385222624
10322,Medium,3,C,[0.14046771 0.24683043 0.45353176 0.10042308 0.05579744 0.00294958],0.45353175552958735
10322,Medium,4,C,[0.1363988  0.24293081 0.46119467 0.09888268 0.05762785 0.00296519],0.46119467125053715
10322,Medium,5,C,[0.15823954 0.23786326 0.39173526 0.13405006 0.07475223 0.00335965],0.3917352595330086
10322,Very High,0,C,[0.09201236 0.16879965 0.66284201 0.04854369 0.02338923 0.00441306],0.6628420123565755
10322,Very High,1,C,[0.08338807 0.17441986 0.67989059 0.03830408 0.02198188 0.00201553],0.67989058549358
10322,Very High,2,C,[0.11634526 0.22336868 0.55646481 0.06091226 0.03935103 0.00355796],0.5564648117839607
10322,Very High,3,C,[0.09791905 0.19713483 0.62207848 0.05145265 0.02875976 0.00265522],0.6220784834357344
10322,Very High,4,C,[0.07973898 0.1387872  0.72640458 0.03501512 0.01830336 0.00175076],0.7264045837975489
10322,Very High,5,C,[0.13466334 0.19700748 0.56109726 0.06483791 0.04239401 0.        ],0.5610972568578554
10322,Very Low,0,C,[0.17679856 0.24316547 0.34928058 0.14082734 0.08543165 0.0044964 ],0.34928057553956837
10322,Very Low,1,C,[0.16311545 0.25350536 0.37516365 0.13156247 0.07295323 0.00369984],0.3751636467128356
10322,Very Low,2,C,[0.17050193 0.24902228 0.33318208 0.15453426 0.08850284 0.00425661],0.3331820833603423
10322,Very Low,3,C,[0.16982938 0.25291852 0.33813451 0.15078812 0.08491469 0.00341478],0.33813451176859816
10322,Very Low,4,C,[0.16171617 0.26138614 0.34009901 0.15594059 0.07838284 0.00247525],0.3400990099009901
10322,Very Low,5,C,[0.1770772  0.2421921  0.29139658 0.18208603 0.10223925 0.00500884],0.2913965822038892
10409,Medium,0,E,[0.12443371 0.26806748 0.08603357 0.12667731 0.39103421 0.00375372],0.3910342149544807
10409,Medium,1,E,[0.10981454 0.28520127 0.08126191 0.10921667 0.41184711 0.00265849],0.41184710787775597
10409,Medium,2,E,[0.13817368 0.27669703 0.09575166 0.13646821 0.34952302 0.0033864 ],0.34952302076623415
10409,Medium,3,E,[0.12917926 0.27642471 0.08696027 0.13086372 0.37356218 0.00300986],0.37356217646220163
10409,Medium,4,E,[0.12505909 0.27396966 0.08681078 0.12639134 0.38454596 0.00322317],0.3845459624392969
10409,Medium,5,E,[0.14480094 0.26373257 0.08819083 0.153872   0.34705191 0.00235176],0.3470519066017134
10409,Very High,0,E,[0.06928508 0.26279788 0.07237423 0.08230362 0.50882613 0.00441306],0.5088261253309797
10409,Very High,1,E,[0.06876119 0.28372821 0.06685803 0.06916162 0.50912887 0.00236208],0.509128865932998
10409,Very High,2,E,[0.09358098 0.28643609 0.08411614 0.10041275 0.43296328 0.00249075],0.43296327924850553
10409,Very High,3,E,[0.0835572  0.2750193  0.07157635 0.0888683  0.47770573 0.00327312],0.4777057279604755
10409,Very High,4,E,[0.05603311 0.2785737  0.05078001 0.06510665 0.54727794 0.00222859],0.5472779369627507
10409,Very High,5,E,[0.09476309 0.26683292 0.10224439 0.12219451 0.41147132 0.00249377],0.4114713216957606
10409,Very Low,0,E,[0.16084923 0.26358402 0.09463836 0.16714646 0.31108312 0.00269881],0.3110831234256927
10409,Very Low,1,E,[0.14844476 0.27062418 0.09411117 0.15366367 0.33036646 0.00278974],0.330366462338451
10409,Very Low,2,E,[0.16249162 0.25875894 0.10744159 0.17096419 0.29634513 0.00399853],0.2963451271964899
10409,Very Low,3,E,[0.16334732 0.26459429 0.09514804 0.16623131 0.30744637 0.00323267],0.3074463684179422
10409,Very Low,4,E,[0.1549505  0.26419142 0.10049505 0.16765677 0.31039604 0.00231023],0.3103960396039604
10409,Very Low,5,E,[0.16971126 0.25751326 0.09074838 0.18444313 0.29228049 0.00530348],0.2922804949911609
10500,Medium,0,B,[0.17256255 0.18295945 0.26225194 0.24089733 0.136195   0.00513374],0.18295944779982742
10500,Medium,1,B,[0.15347279 0.18286811 0.26983338 0.25868463 0.13149836 0.00364274],0.18286810893002578
10500,Medium,2,B,[0.17101446 0.18003104 0.26159735 0.24659425 0.1364141  0.00434881],0.18003103666128945
10500,Medium,3,B,[0.1705267  0.1832525  0.26121405 0.24806588 0.13317823 0.00376265],0.18325249552986891
10500,Medium,4,B,[0.17060593 0.18431457 0.26110872 0.24941985 0.13111302 0.0034379 ],0.1843145681134508
10500,Medium,5,B,[0.19250798 0.18998824 0.24374265 0.22879221 0.14060138 0.00436755],0.18998824122291283
10500,Very High,0,B,[0.14739629 0.21822595 0.25816417 0.24691086 0.12378641 0.00551633],0.21822594880847307
10500,Very High,1,B,[0.13494606 0.2124495  0.27138127 0.25145541 0.12518333 0.00458443],0.21244949926667087
10500,Very High,2,B,[0.14658792 0.19092009 0.26933751 0.25503451 0.13228492 0.00583505],0.19092008823738704
10500,Very High,3,B,[0.14481769 0.20102504 0.26981383 0.25076415 0.12806817 0.00551113],0.2010250393652166
10500,Very High,4,B,[0.14531275 0.22139106 0.25672449 0.2468566  0.12175712 0.00795798],0.22139105522839408
10500,Very High,5,B,[0.159601   0.21945137 0.25187032 0.24189526 0.12219451 0.00498753],0.2194513715710723
10500,Very Low,0,B,[0.20647482 0.18219424 0.24514388 0.225      0.1368705  0.00431655],0.18219424460431655
10500,Very Low,1,B,[0.19151883 0.18150081 0.25582013 0.23337444 0.134048   0.00373779],0.18150080637510674
10500,Very Low,2,B,[0.20090318 0.17931765 0.24433353 0.22471425 0.14628033 0.00445107],0.17931764655042026
10500,Very Low,3,B,[0.20559008 0.1842211  0.24362534 0.22503899 0.13814515 0.00337934],0.1842210984024955
10500,Very Low,4,B,[0.20676568 0.18778878 0.24273927 0.22194719 0.13630363 0.00445545],0.18778877887788778
10500,Very Low,5,B,[0.23129051 0.18856806 0.23246906 0.20241603 0.14142605 0.00383029],0.18856806128461992
10776,Medium,0,B,[0.09413287 0.58796376 0.0702761  0.14542709 0.09792925 0.00427092],0.5879637618636756
10776,Medium,1,B,[0.08488564 0.63848495 0.05837278 0.1310805  0.08335542 0.00382071],0.6384849463842498
10776,Medium,2,B,[0.09527519 0.59379389 0.0674158  0.14157257 0.09658781 0.00535474],0.5937938944876191
10776,Medium,3,B,[0.09503252 0.58957861 0.06965133 0.14202698 0.09943754 0.00427302],0.5895786109507652
10776,Medium,4,B,[0.08942845 0.59183498 0.07155135 0.14512248 0.09729265 0.00477009],0.5918349806617963
10776,Medium,5,B,[0.10448513 0.51772216 0.08634302 0.15975139 0.12565093 0.00604737],0.5177221568956828
10776,Very High,0,B,[0.06090026 0.66372462 0.05560459 0.13592233 0.07921447 0.00463372],0.6637246248896734
10776,Very High,1,B,[0.07586582 0.67985009 0.04774737 0.12185411 0.07117792 0.00350468],0.6798500949278818
10776,Very High,2,B,[0.08916246 0.64584075 0.05201736 0.13157333 0.07549989 0.00590621],0.6458407457482388
10776,Very High,3,B,[0.08149372 0.656936   0.05183859 0.12854673 0.07686252 0.00432246],0.6569359967890334
10776,Very High,4,B,[0.07034856 0.64953048 0.0504536  0.14642687 0.07942066 0.00381983],0.6495304790705078
10776,Very High,5,B,[0.09975062 0.59850374 0.05985037 0.1446384  0.09226933 0.00498753],0.5985037406483791
10776,Very Low,0,B,[0.11600719 0.50359712 0.08776978 0.16258993 0.125      0.00503597],0.5035971223021583
10776,Very Low,1,B,[0.10088227 0.55715776 0.07862632 0.14825918 0.11029314 0.00478133],0.5571577649179394
10776,Very Low,2,B,[0.11058534 0.51524384 0.08679588 0.15565783 0.12655301 0.00516411],0.5152438365636006
10776,Very Low,3,B,[0.11474974 0.5011166  0.09037362 0.16102065 0.12808985 0.00464954],0.5011165989223935
10776,Very Low,4,B,[0.11023102 0.52029703 0.08118812 0.16056106 0.12541254 0.00231023],0.5202970297029703
10776,Very Low,5,B,[0.14584561 0.39687684 0.1175604  0.17147908 0.16028285 0.00795522],0.3968768414849735
10992,Medium,0,A,[0.         0.33333333 0.         0.33333333 0.33333333 0.        ],0.0
10992,Medium,1,A,[0.0952381  0.41666667 0.22619048 0.19047619 0.07142857 0.        ],0.09523809523809523
10992,Medium,2,A,[0.17857143 0.32142857 0.25       0.21428571 0.03571429 0.        ],0.17857142857142858
10992,Medium,3,A,[0.13253012 0.36144578 0.25301205 0.14457831 0.10843373 0.        ],0.13253012048192772
10992,Medium,4,A,[0. 1. 0. 0. 0. 0.],0.0
10992,Very High,1,A,[0.08333333 0.5        0.25       0.08333333 0.08333333 0.        ],0.08333333333333333
10992,Very High,2,A,[0. 1. 0. 0. 0. 0.],0.0
10992,Very High,3,A,[0.    0.375 0.125 0.5   0.    0.   ],0.0
10992,Very High,4,A,[0. 0. 0. 1. 0. 0.],0.0
10992,Very Low,0,A,[0.  0.  0.5 0.  0.5 0. ],0.0
10992,Very Low,1,A,[0.         0.16666667 0.25       0.16666667 0.41666667 0.        ],0.0
10992,Very Low,2,A,[0.07142857 0.         0.42857143 0.28571429 0.21428571 0.        ],0.07142857142857142
10992,Very Low,3,A,[0.11111111 0.35185185 0.2037037  0.27777778 0.05555556 0.        ],0.1111111111111111
