CO_ITEM,RENDA,TX_GABARITO,answer_distribution,correct_probability
5961,A,D,[0.18267183 0.24118138 0.18262277 0.24924692 0.14126478 0.00301231],0.24924692145415298
5961,B,D,[0.18507122 0.23040726 0.17635395 0.26295748 0.14224681 0.00296328],0.2629574822001006
5961,C,D,[0.19056824 0.21558948 0.16747997 0.2810831  0.14225027 0.00302895],0.2810830956599739
5961,D,D,[0.19681453 0.20683852 0.16086525 0.29270821 0.13998447 0.00278902],0.29270821134085456
5961,E,D,[0.20488402 0.19484828 0.1533604  0.30709867 0.13702911 0.00277952],0.3070986665983528
5961,F,D,[0.20926027 0.18313047 0.15072065 0.32079177 0.13336736 0.00272948],0.3207917716111709
5961,G,D,[0.20867042 0.17827485 0.14734351 0.33291365 0.13013662 0.00266095],0.3329136530047326
5961,H,D,[0.21421034 0.17063059 0.14116032 0.34441736 0.12692943 0.00265195],0.3444173646711675
5961,I,D,[0.2194928  0.15872139 0.14076169 0.35440046 0.12386233 0.00276133],0.35440045948572946
5961,J,D,[0.21586    0.15456409 0.13766357 0.36667192 0.12290714 0.00233328],0.366671921803563
5961,K,D,[0.21593047 0.14994176 0.12991667 0.38087985 0.12019532 0.00313592],0.3808798494758534
5961,L,D,[0.22164839 0.14874425 0.13282632 0.38015564 0.11330032 0.00332508],0.3801556420233463
5961,M,D,[0.21743863 0.14946325 0.13133398 0.38375497 0.11515652 0.00285264],0.3837549733503491
5961,N,D,[0.22011494 0.14049112 0.13176594 0.39404389 0.1107628  0.00282132],0.3940438871473354
5961,O,D,[0.22732098 0.13448176 0.12314225 0.40378305 0.108232   0.00303995],0.40378305346458215
5961,P,D,[0.22715335 0.12826285 0.11909739 0.41689446 0.10580479 0.00278716],0.4168944632041593
5961,Q,D,[0.21938733 0.12265879 0.12444851 0.42524765 0.10447016 0.00378756],0.42524764838092066
6864,A,D,[0.05317427 0.09515447 0.13027696 0.48390546 0.23282873 0.00466011],0.4839054636070206
6864,B,D,[0.04483064 0.08335444 0.11780707 0.5074834  0.24217795 0.0043465 ],0.5074833977599366
6864,C,D,[0.03475891 0.06916098 0.10202831 0.52915207 0.26056709 0.00433263],0.5291520745767636
6864,D,D,[0.03102977 0.06444478 0.09621181 0.53571568 0.26859076 0.0040072 ],0.5357156796842812
6864,E,D,[0.0288682  0.06030431 0.09243843 0.5378719  0.27650841 0.00400876],0.5378718989741159
6864,F,D,[0.02646031 0.05902258 0.08777944 0.53878072 0.28451767 0.00343929],0.5387807178121706
6864,G,D,[0.02538393 0.05775    0.08601786 0.53941071 0.28758929 0.00384821],0.5394107142857143
6864,H,D,[0.02382931 0.05523134 0.08498996 0.53605677 0.29588683 0.00400579],0.5360567720248378
6864,I,D,[0.02242053 0.05511254 0.08274613 0.53747432 0.29838086 0.00386561],0.5374743213094475
6864,J,D,[0.02115518 0.0564033  0.08263447 0.53814869 0.29759127 0.00406709],0.5381486852891103
6864,K,D,[0.02118796 0.05151407 0.0842143  0.53207311 0.30666547 0.0043451 ],0.5320731051782834
6864,L,D,[0.02016272 0.05072515 0.0858861  0.53636364 0.30350195 0.00336045],0.5363636363636364
6864,M,D,[0.02026723 0.05119351 0.08298304 0.53163939 0.31061402 0.00330281],0.5316393934844618
6864,N,D,[0.02100094 0.05114408 0.08133946 0.5354195  0.3076481  0.00344792],0.535419496395361
6864,O,D,[0.01838182 0.0533121  0.08158441 0.5331693  0.31012689 0.00342548],0.5331692960872292
6864,P,D,[0.01908131 0.05000804 0.08661628 0.53181112 0.3089457  0.00353755],0.5318111164710296
6864,Q,D,[0.0197686  0.04931746 0.08652406 0.51897786 0.32199933 0.00341269],0.5189778591643083
8020,A,E,[0.21428571 0.         0.5        0.07142857 0.21428571 0.        ],0.21428571428571427
8020,B,E,[0.15714286 0.22142857 0.25       0.25       0.12142857 0.        ],0.12142857142857143
8020,C,E,[0.14285714 0.10714286 0.30357143 0.32142857 0.125      0.        ],0.125
8020,D,E,[0.21052632 0.13157895 0.34210526 0.21052632 0.10526316 0.        ],0.10526315789473684
8020,E,E,[0.0625 0.0625 0.4375 0.375  0.0625 0.    ],0.0625
8020,F,E,[0.25  0.25  0.125 0.375 0.    0.   ],0.0
8020,G,E,[0.3 0.1 0.1 0.2 0.2 0.1],0.2
8020,H,E,[0.25 0.25 0.5  0.   0.   0.  ],0.0
8020,I,E,[0.33333333 0.33333333 0.33333333 0.         0.         0.        ],0.0
8020,J,E,[0.33333333 0.33333333 0.         0.33333333 0.         0.        ],0.0
