CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
5961,AC,D,[0.19611808 0.21067529 0.17598059 0.27319046 0.14096239 0.00307319],0.2731904569348969
5961,AL,D,[0.18855125 0.21749284 0.17206483 0.28115878 0.1374795  0.0032528 ],0.2811587756123328
5961,AM,D,[0.1919228  0.20971023 0.17267829 0.28308682 0.14026502 0.00233683],0.283086820256227
5961,AP,D,[0.18738498 0.21708215 0.16563493 0.27998996 0.14664547 0.00326251],0.2799899615191568
5961,BA,D,[0.18465739 0.22471199 0.1726177  0.2724379  0.14218552 0.00338949],0.2724379037091297
5961,CE,D,[0.19954417 0.20309121 0.16475054 0.30098477 0.12913238 0.00249693],0.3009847695203721
5961,DF,D,[0.18968351 0.19835127 0.15583417 0.30909717 0.13584796 0.01118592],0.3090971743625086
5961,ES,D,[0.19895257 0.19066046 0.15592086 0.31245272 0.13939482 0.00261856],0.31245272039569394
5961,GO,D,[0.19411506 0.20541532 0.16232756 0.29966246 0.13545641 0.00302319],0.2996624596419137
5961,MA,D,[0.18191326 0.22097714 0.17618136 0.280483   0.13757929 0.00286595],0.28048300123602676
5961,MG,D,[0.20166694 0.19022289 0.15534996 0.31660711 0.13406061 0.00209249],0.31660710507135637
5961,MS,D,[0.1955672  0.20227414 0.16478636 0.29683752 0.1382251  0.00230967],0.29683752331882385
5961,MT,D,[0.19126122 0.21169362 0.16593902 0.28640285 0.14138521 0.00331808],0.28640285005762983
5961,PA,D,[0.18332346 0.22558469 0.16690898 0.28504119 0.13583903 0.00330264],0.28504119325830596
5961,PB,D,[0.19033372 0.22085071 0.16643302 0.28268823 0.13748889 0.00220543],0.2826882308691787
5961,PE,D,[0.1953566  0.20582571 0.16012586 0.30586384 0.12995805 0.00286995],0.30586384439359265
5961,PI,D,[0.18548472 0.21039807 0.17512866 0.29541015 0.13088961 0.00268879],0.295410145993068
5961,PR,D,[0.20580901 0.18582116 0.15245847 0.31408578 0.13943101 0.00239457],0.31408578270201865
5961,RJ,D,[0.1971716  0.20563408 0.15900523 0.30001349 0.13507316 0.00310244],0.3000134888574938
5961,RN,D,[0.19398588 0.21690227 0.1656369  0.28186392 0.13906689 0.00254414],0.2818639172102454
5961,RO,D,[0.1865758  0.21827183 0.16767391 0.28352835 0.14105696 0.00289315],0.28352835283528355
5961,RR,D,[0.18912113 0.21380005 0.17879627 0.27600101 0.14051876 0.00176278],0.27600100730294636
5961,RS,D,[0.2030498  0.1955087  0.15561115 0.29823684 0.14488921 0.00270431],0.29823683583512034
5961,SC,D,[0.20839861 0.18459632 0.1473731  0.31356824 0.14335149 0.00271224],0.3135682386775468
5961,SE,D,[0.17627478 0.22917234 0.17088818 0.28031472 0.13941595 0.00393403],0.2803147223483129
5961,SP,D,[0.21714375 0.18194104 0.14774094 0.31852469 0.13227857 0.00237101],0.3185246906680486
5961,TO,D,[0.19388242 0.20859732 0.16758635 0.28782615 0.14013216 0.00197561],0.2878261461952449
6864,AC,D,[0.04196313 0.07713454 0.11950194 0.50954075 0.24668499 0.00517464],0.5095407503234153
6864,AL,D,[0.04119413 0.08372248 0.10721036 0.50714365 0.25550367 0.00522571],0.5071436513231042
6864,AM,D,[0.04681272 0.07292669 0.12292806 0.4885236  0.26474065 0.00406828],0.4885235987795157
6864,AP,D,[0.04600201 0.08263633 0.1323185  0.4870358  0.24673804 0.00526932],0.48703579792572765
6864,BA,D,[0.03932274 0.07726059 0.11036466 0.51050981 0.25812122 0.00442098],0.5105098107102195
6864,CE,D,[0.04396587 0.08900503 0.10624762 0.51466436 0.24258615 0.00353096],0.5146643645442031
6864,DF,D,[0.02602428 0.05758732 0.09553718 0.5244872  0.28205332 0.0143107 ],0.5244871998727938
