CO_ITEM,TP_COR_RACA,TX_GABARITO,answer_distribution,correct_probability
5961,0,D,[0.20152103 0.20413623 0.15625094 0.3018607  0.13232332 0.00390778],0.30186070279856914
5961,1,D,[0.20785183 0.18466386 0.14922391 0.32381313 0.13180262 0.00264464],0.32381313226992003
5961,2,D,[0.18395694 0.22618259 0.17707904 0.26531855 0.14400154 0.00346134],0.2653185506259963
5961,3,D,[0.19079357 0.21565166 0.16807732 0.28391885 0.13865503 0.00290358],0.2839188493391829
5961,4,D,[0.19991014 0.19319873 0.15913622 0.31538008 0.12903316 0.00334166],0.3153800791890146
5961,5,D,[0.19142388 0.23061141 0.17675421 0.259643   0.13756668 0.00400082],0.25964300369306526
6864,0,D,[0.04030416 0.07507814 0.10230825 0.5147271  0.26247295 0.0051094 ],0.5147270978600625
6864,1,D,[0.02708177 0.06006834 0.09091449 0.53567884 0.28250987 0.00374669],0.5356788374260322
6864,2,D,[0.04060134 0.07393662 0.11034754 0.50962318 0.26060251 0.00488882],0.5096231762077656
6864,3,D,[0.03932525 0.07628843 0.10915441 0.51776361 0.2532689  0.0041994 ],0.5177636122045527
6864,4,D,[0.03591385 0.07603965 0.11141999 0.51851852 0.25375565 0.00435234],0.5185185185185185
6864,5,D,[0.05057448 0.09581453 0.13151416 0.46850636 0.24835864 0.00523184],0.4685063602790316
8020,0,E,[0.4 0.2 0.2 0.  0.2 0. ],0.2
8020,1,E,[0.16666667 0.2037037  0.27777778 0.23148148 0.12037037 0.        ],0.12037037037037036
8020,2,E,[0.13953488 0.1627907  0.39534884 0.25581395 0.04651163 0.        ],0.046511627906976744
8020,3,E,[0.17241379 0.16551724 0.24827586 0.28275862 0.12413793 0.00689655],0.12413793103448276
8020,4,E,[0.5 0.  0.5 0.  0.  0. ],0.0
8364,0,A,[0.30444585 0.23155079 0.18682178 0.08212343 0.19075961 0.00429855],0.30444584723599966
8364,1,A,[0.32998901 0.20551156 0.21372334 0.08139911 0.1659834  0.00339358],0.32998901223809346
8364,2,A,[0.268959   0.26190647 0.16971754 0.08294675 0.2117596  0.00471064],0.2689590012716949
8364,3,A,[0.28588117 0.25051832 0.17487187 0.08000244 0.2048265  0.0038997 ],0.28588116636932703
8364,4,A,[0.30779815 0.23175423 0.18533599 0.08210946 0.18923928 0.00376288],0.3077981522563253
8364,5,A,[0.25594994 0.27667214 0.15531391 0.08309397 0.22384079 0.00512926],0.2559499384489126
9678,0,E,[0.2  0.15 0.1  0.1  0.45 0.  ],0.45
9678,1,E,[0.14814815 0.12345679 0.15123457 0.22530864 0.35185185 0.        ],0.35185185185185186
9678,2,E,[0.2987013  0.1038961  0.19480519 0.18181818 0.22077922 0.        ],0.22077922077922077
9678,3,E,[0.17274939 0.14355231 0.20437956 0.20681265 0.2676399  0.00486618],0.26763990267639903
9678,4,E,[0.21428571 0.         0.07142857 0.42857143 0.28571429 0.        ],0.2857142857142857
9678,5,E,[0.375 0.    0.    0.375 0.25  0.   ],0.25
9716,0,E,[0.22538471 0.11330849 0.29403102 0.08379418 0.2794542  0.00402741],0.27945419572012503
9716,1,E,[0.21641045 0.10280112 0.29385224 0.06909981 0.31452914 0.00330724],0.31452914390489684
9716,2,E,[0.20542426 0.12129366 0.3184311  0.09034907 0.26001603 0.00448589],0.2600160274346703
9716,3,E,[0.20682873 0.11879096 0.31012467 0.08991497 0.27039307 0.00394761],0.2703930655724218
9716,4,E,[0.19961812 0.11574425 0.30432707 0.08606408 0.29051189 0.00373459],0.2905118917249319
9716,5,E,[0.20814526 0.1312064  0.31042265 0.10648338 0.23799754 0.00574477],0.23799753795650389
10322,0,C,[0.13584996 0.22730825 0.47622626 0.10011421 0.05626352 0.0042378 ],0.47622625631161336
10322,1,C,[0.11443267 0.21846879 0.55697325 0.06868561 0.03897472 0.00246496],0.5569732465544805
10322,2,C,[0.14993262 0.25261117 0.41188269 0.11491402 0.06703766 0.00362184],0.41188268634131275
10322,3,C,[0.14322699 0.24410227 0.44279396 0.10709522 0.05975758 0.00302396],0.44279396403650695
10322,4,C,[0.1307107  0.22769775 0.4873782  0.09732401 0.05422177 0.00266757],0.4873782045882122
10322,5,C,[0.16382848 0.23768978 0.36376693 0.14792778 0.08299138 0.00379565],0.3637669265490357
10409,0,E,[0.12300478 0.26660054 0.08561036 0.12739351 0.39372351 0.0036673 ],0.39372350978447107
10409,1,E,[0.10086134 0.28381768 0.07807373 0.1009308  0.43373243 0.00258402],0.433732429053158
10409,2,E,[0.14040587 0.27359352 0.09744139 0.14134621 0.34375616 0.00345686],0.3437561569737243
10409,3,E,[0.13270325 0.27381553 0.08744529 0.13493361 0.36802421 0.00307812],0.3680242060657289
10409,4,E,[0.11796917 0.27311786 0.08278341 0.12260257 0.40063464 0.00289236],0.40063463536547694
10409,5,E,[0.15141568 0.26169471 0.08965942 0.16321297 0.33063192 0.00338531],0.3306319244973328
10500,0,B,[0.17480164 0.18763525 0.25883626 0.23905987 0.1346177  0.00504929],0.18763524885789853
10500,1,B,[0.15080478 0.19108016 0.26933519 0.25497097 0.12989552 0.00391338],0.1910801643646025
10500,2,B,[0.17567053 0.1805683  0.2585073  0.24259179 0.13819857 0.00446351],0.1805683023902367
10500,3,B,[0.17584867 0.18489189 0.25819749 0.24342543 0.13381356 0.00382296],0.18489189263304323
10500,4,B,[0.17229663 0.19144694 0.25720945 0.24429281 0.13034566 0.0044085 ],0.19144694353185635
10500,5,B,[0.20465737 0.19070579 0.24015183 0.22014772 0.14013131 0.00420599],0.19070578580221584
10776,0,B,[0.0932616  0.5841849  0.07120101 0.14700048 0.09990382 0.00444818],0.5841849002163981
10776,1,B,[0.08341857 0.64468277 0.05673837 0.12963412 0.08173022 0.00379594],0.6446827748018052
