CO_ITEM,TP_SEXO,TX_GABARITO,answer_distribution,correct_probability
5961,F,D,[0.19643505 0.21259079 0.16324034 0.28639414 0.13870825 0.00263142],0.28639414404419117
5961,M,D,[0.19907616 0.18926318 0.15738137 0.31883417 0.13215047 0.00329465],0.31883417440776574
6864,F,D,[0.03210083 0.06541108 0.10345458 0.53929468 0.25566424 0.0040746 ],0.5392946761378071
6864,M,D,[0.03787023 0.07531466 0.09903728 0.50044856 0.28315034 0.00417894],0.5004485565850785
8020,F,E,[0.21259843 0.1496063  0.28346457 0.25984252 0.09448819 0.        ],0.09448818897637795
8020,M,E,[0.14204545 0.19886364 0.27840909 0.25       0.125      0.00568182],0.125
8364,F,A,[0.29652216 0.24301399 0.17860073 0.07532616 0.20289874 0.00363822],0.2965221560596212
8364,M,A,[0.31269755 0.21634899 0.20956682 0.08979675 0.16755462 0.00403528],0.31269754534837624
9678,F,E,[0.18012422 0.10973085 0.16356108 0.23188406 0.31055901 0.00414079],0.3105590062111801
9678,M,E,[0.17520216 0.15363881 0.19407008 0.19137466 0.28571429 0.        ],0.2857142857142857
9716,F,E,[0.2036768  0.10150037 0.31311319 0.07646896 0.30147061 0.00377007],0.3014706138259626
9716,M,E,[0.22191902 0.12896604 0.28976621 0.0884259  0.26720315 0.00371967],0.2672031492689197
10322,F,C,[0.14078548 0.26391262 0.42910044 0.10431596 0.05915344 0.00273206],0.4291004388697277
10322,M,C,[0.11780167 0.18736677 0.57827379 0.07273981 0.04071153 0.00310642],0.5782737935836324
10409,F,E,[0.12778751 0.29885859 0.08599543 0.12391347 0.36065173 0.00279327],0.3606517291759667
10409,M,E,[0.10791601 0.24529909 0.08245342 0.11719997 0.44400426 0.00312724],0.4440042643009439
10500,F,B,[0.16684532 0.17409485 0.25762018 0.25907583 0.13861723 0.00374658],0.1740948529386174
10500,M,B,[0.16325585 0.2072867  0.27073403 0.23087676 0.12353114 0.00431552],0.20728670130148358
10776,F,B,[0.08672811 0.61611341 0.06402069 0.13332365 0.09556641 0.00424774],0.6161134100630288
10776,M,B,[0.09966927 0.58866692 0.06842429 0.14674629 0.09224064 0.00425258],0.5886669166086445
10992,F,A,[0.11811024 0.32283465 0.26771654 0.17322835 0.11811024 0.        ],0.11811023622047244
10992,M,A,[0.09659091 0.375      0.21590909 0.22727273 0.08522727 0.        ],0.09659090909090909
14797,F,D,[0.22900403 0.30925089 0.25133123 0.14551003 0.06014099 0.00476283],0.14551002509318586
14797,M,D,[0.24317792 0.29159793 0.23914493 0.15904745 0.06159017 0.00544159],0.15904745326977665
16785,F,D,[0.12215321 0.18219462 0.2194617  0.30848861 0.16356108 0.00414079],0.3084886128364389
16785,M,D,[0.11590296 0.1967655  0.21832884 0.29649596 0.16442049 0.00808625],0.29649595687331537
18228,F,D,[0.12755848 0.32155473 0.16565766 0.24620296 0.1368092  0.00221697],0.24620295897733957
18228,M,D,[0.12650367 0.31171067 0.15955626 0.25282122 0.14676504 0.00264314],0.2528212200739114
19807,F,E,[0.06857818 0.16295605 0.52301108 0.15798701 0.08496445 0.00250323],0.08496444841975576
19807,M,E,[0.06369236 0.13222511 0.53151277 0.16892239 0.10060522 0.00304215],0.10060521664613571
26545,F,C,[0.31043769 0.14596943 0.15562474 0.15115164 0.23315868 0.00365783],0.15562473679997493
26545,M,C,[0.27085721 0.14985673 0.16506615 0.15127203 0.25926169 0.0036862 ],0.16506614535911307
28034,F,A,[0.29341887 0.30806323 0.15258032 0.12917509 0.11469605 0.00206645],0.2934188682659947
28034,M,A,[0.32916689 0.32271437 0.12092818 0.11161695 0.11314338 0.00243024],0.3291668898291468
28632,F,C,[0.21479819 0.22066516 0.17035785 0.22224262 0.16960697 0.00232921],0.1703578476241521
28632,M,C,[0.19592282 0.22513791 0.19014916 0.21360666 0.17228322 0.00290022],0.1901491618017246
28683,F,A,[0.2711839  0.25986065 0.18242502 0.20442594 0.07875293 0.00335156],0.27118390416560806
28683,M,A,[0.26588158 0.26486932 0.16532189 0.22989529 0.0699601  0.00407182],0.2658815810615393
30053,F,C,[0.10906835 0.24023419 0.29352154 0.23181353 0.12277389 0.0025885 ],0.2935215380278357
30053,M,C,[0.09484093 0.22555567 0.33921724 0.2121204  0.12505222 0.00321354],0.3392172352846661
30327,F,D,[0.23753955 0.07046974 0.11341006 0.51786019 0.05821637 0.0025041 ],0.517860188146689
30327,M,D,[0.16224359 0.0595027  0.09737829 0.61827299 0.05967142 0.00293102],0.6182729901987039
30493,F,D,[0.16040671 0.15027895 0.16714985 0.30535814 0.2140099  0.00279645],0.30535814345227946
30493,M,D,[0.22506695 0.14813749 0.15559022 0.30124792 0.16700632 0.0029511 ],0.30124792458893473
31313,F,D,[0.34874221 0.06710687 0.19722165 0.27459898 0.11028212 0.00204817],0.27459897887091106
31313,M,D,[0.286392   0.07837689 0.22681967 0.30204461 0.10398747 0.00237936],0.3020446146430293
31381,F,C,[0.10518865 0.29342235 0.18938569 0.21886757 0.19072735 0.00240839],0.1893856867911001
31381,M,C,[0.09429731 0.2594063  0.25331932 0.23256387 0.15763216 0.00278105],0.25331931872958063
31516,F,A,[0.27074746 0.10922485 0.29931891 0.19724345 0.12080867 0.00265666],0.2707474575548495
31516,M,A,[0.37258794 0.08808246 0.28613941 0.16677515 0.08343646 0.00297858],0.37258793781406363
32369,F,D,[0.28053903 0.23465957 0.21205221 0.19798471 0.07107967 0.0036848 ],0.1979847143866439
32369,M,D,[0.30412806 0.23460982 0.19832628 0.19589872 0.06251004 0.00452707],0.19589871994001393
37769,F,B,[0.14136582 0.27342785 0.32670127 0.12700337 0.12963624 0.00186546],0.2734278475197422
37769,M,B,[0.14874404 0.27904638 0.30831236 0.13298966 0.12835145 0.0025561 ],0.279046382089872
39101,F,E,[0.52519151 0.06852598 0.04089215 0.0639215  0.29680175 0.00466712],0.2968017499103815
39101,M,E,[0.49064324 0.06309919 0.04615714 0.0663221  0.32929141 0.0044869 ],0.3292914144930641
39443,F,X,[0.19189153 0.08280838 0.16390618 0.37448274 0.18335862 0.00355255],0.0
39443,M,X,[0.15797627 0.09011569 0.16129425 0.40202721 0.18417198 0.0044146 ],0.0
